#Event,WhiteElo,BlackElo,Ply,Result
1,2354,2411,38,1/2-1/2
2,2523,2460,13,1/2-1/2
3,1915,1999,106,0-1
4,2446,2191,77,1-0
5,2168,2075,49,1-0
6,2437,2254,58,1/2-1/2
7,2449,2201,75,1-0
8,1813,1643,127,1/2-1/2
9,2553,2052,91,1-0
10,2611,2520,59,1-0
11,2306,2093,75,1-0
12,2108,2273,100,0-1
13,2047,2186,78,0-1
14,2357,2110,63,1-0
15,1877,1851,141,1/2-1/2
16,2406,2147,72,1/2-1/2
17,2054,2099,63,1-0
18,2250,2132,176,0-1
19,1860,2464,78,0-1
20,1942,1663,80,0-1
21,2295,2191,71,1-0
22,2345,2560,116,0-1
23,1979,2263,103,1-0
24,2550,2502,85,1-0
25,2392,2272,102,0-1
26,2413,2315,72,1/2-1/2
27,2332,2334,111,1-0
28,2119,2136,67,1-0
29,2522,2285,97,1-0
30,2324,2365,26,1/2-1/2
31,2482,2329,123,1/2-1/2
32,2345,2291,84,0-1
33,1933,2207,115,1-0
34,1941,2184,67,1/2-1/2
35,2224,2008,78,1/2-1/2
36,1889,2307,76,0-1
37,2369,2394,173,1-0
38,2529,2255,83,1-0
39,1992,2119,139,1-0
40,2130,1943,33,1/2-1/2
41,2376,2591,64,0-1
42,1870,2086,71,1-0
43,2450,2170,67,1-0
44,2133,2214,47,1/2-1/2
45,2430,2550,10,1/2-1/2
46,2024,2517,100,0-1
47,2079,2202,80,1/2-1/2
48,2101,2330,69,0-1
49,2336,2481,19,1/2-1/2
50,2281,2524,84,0-1
51,2148,2197,101,1/2-1/2
52,2124,2392,108,0-1
53,2246,2426,61,1-0
54,2613,2742,122,0-1
55,2269,2106,56,0-1
56,2485,2293,51,1/2-1/2
57,2207,2402,94,0-1
58,2607,1765,49,1-0
59,2700,2753,62,0-1
60,1962,2057,70,0-1
61,2360,1924,115,1-0
62,2311,2352,65,1-0
63,2453,2268,123,1-0
64,1934,1792,86,0-1
65,2232,2344,89,1-0
66,2271,2211,77,1-0
67,2353,2327,50,1-0
68,1629,1895,106,1/2-1/2
69,1902,2145,40,1/2-1/2
70,2248,2512,90,0-1
71,2359,2064,130,1/2-1/2
72,2368,2248,89,1-0
73,2056,2265,45,1/2-1/2
74,2241,1776,73,1/2-1/2
75,1827,1540,39,1-0
76,2466,2233,56,1/2-1/2
77,2516,2706,80,0-1
78,2152,2255,152,0-1
79,2706,2713,53,1-0
80,2103,1870,129,1-0
81,1381,1735,62,0-1
82,2391,2431,81,1/2-1/2
83,2380,2192,63,1-0
84,2051,2185,81,0-1
85,1945,2171,96,0-1
86,2270,2152,59,1/2-1/2
87,2460,2329,123,1/2-1/2
88,2443,2407,123,1-0
89,2548,2475,71,1-0
90,2172,1880,75,1-0
91,2484,2507,50,1-0
92,2119,2199,51,1/2-1/2
93,2583,2461,135,1/2-1/2
94,2531,2552,100,0-1
95,2291,2459,82,0-1
96,2171,2040,120,1-0
97,1962,2061,186,1-0
98,2183,1931,52,1/2-1/2
99,2250,2680,60,0-1
100,2645,2522,39,1/2-1/2
101,1766,2053,100,0-1
102,1890,2498,40,0-1
103,2220,2122,119,1-0
104,2668,2390,47,1-0
105,2534,2731,74,0-1
106,2382,2580,31,1/2-1/2
107,1769,1799,89,1-0
108,1828,2030,84,1-0
109,2065,2282,54,0-1
110,2467,2109,95,1-0
111,2469,2663,41,1/2-1/2
112,2371,1822,49,1-0
113,2432,2120,69,1-0
114,1903,1633,44,1/2-1/2
115,2359,2356,75,1-0
116,1935,2210,80,1/2-1/2
117,2543,2176,77,1-0
118,2523,1960,77,1-0
119,2527,2507,63,1-0
120,2368,2222,94,0-1
121,2552,2331,53,1-0
122,2253,2156,99,1-0
123,2430,2410,34,1/2-1/2
124,2391,2170,97,1-0
125,2276,2455,46,1/2-1/2
126,2706,2739,72,0-1
127,2087,2372,64,0-1
128,2595,2614,117,1-0
129,2476,2169,81,1-0
130,1861,1513,121,1-0
131,2427,2322,90,0-1
132,2577,2574,78,0-1
133,2489,2621,81,1/2-1/2
134,2409,2354,73,1/2-1/2
135,2191,1991,82,1/2-1/2
136,1585,1613,57,1-0
137,1612,1580,70,1/2-1/2
138,2069,2515,58,0-1
139,2392,2295,138,1/2-1/2
140,2072,2251,134,0-1
141,2451,2655,66,0-1
142,2484,2463,137,0-1
143,2597,2605,61,1/2-1/2
144,2090,1658,21,1-0
145,2409,1936,119,1/2-1/2
146,2126,2168,61,1-0
147,2480,1799,57,1-0
148,2250,2122,98,0-1
149,2164,2191,82,1/2-1/2
150,2211,2317,121,1/2-1/2
151,2013,2245,80,0-1
152,2437,2359,75,1-0
153,2050,2088,107,1-0
154,1846,2337,64,0-1
155,2275,2422,61,1-0
156,2225,2050,55,1/2-1/2
157,2230,1846,71,1-0
158,2336,2225,108,0-1
159,1788,2212,72,0-1
160,1965,2083,44,0-1
161,2469,2608,134,0-1
162,2319,2107,43,1-0
163,1876,1904,109,1/2-1/2
164,2556,2693,82,0-1
165,2512,2571,75,1-0
166,2298,2202,114,0-1
167,2430,2550,74,1-0
168,2329,2468,59,1-0
169,2253,2046,87,1/2-1/2
170,2554,2607,61,1/2-1/2
171,2075,2369,137,0-1
172,2030,2232,93,1-0
173,2346,2114,51,1-0
174,2347,2479,100,0-1
175,1985,2255,106,0-1
176,2390,2034,63,1-0
177,2298,2516,82,0-1
178,2284,2092,58,0-1
179,2177,2356,90,1/2-1/2
180,2145,2351,47,1/2-1/2
181,2316,2242,127,1/2-1/2
182,2160,2047,165,1-0
183,2017,1958,60,1-0
184,2334,2166,113,1/2-1/2
185,2119,2363,104,0-1
186,1956,1945,75,1-0
187,2559,2440,48,1/2-1/2
188,2091,2581,86,0-1
189,2506,2498,20,1/2-1/2
190,2144,2068,60,1-0
191,2591,2590,98,0-1
192,2330,2151,55,1-0
193,2229,2457,42,1/2-1/2
194,2538,2394,96,1/2-1/2
195,2411,2201,113,1-0
196,2442,2171,68,1-0
197,1915,1803,82,0-1
198,2398,2053,65,1-0
199,2022,2205,26,0-1
200,2154,2307,54,0-1
201,2287,2496,88,1/2-1/2
202,2167,1758,69,1-0
203,1818,1837,75,1-0
204,1922,2363,104,0-1
205,2549,2185,62,1-0
206,2548,2477,104,0-1
207,2049,2309,99,1/2-1/2
208,2585,2546,58,0-1
209,2625,2244,93,1-0
210,2505,2287,81,1-0
211,2172,2351,114,0-1
212,2525,2150,69,1-0
213,2624,2621,37,1/2-1/2
214,2160,2275,106,0-1
215,1641,1543,119,1/2-1/2
216,2459,2312,99,1-0
217,2311,2492,97,1-0
218,2379,2091,83,1/2-1/2
219,2359,2353,34,1/2-1/2
220,2260,2204,75,1-0
221,2039,1872,46,1/2-1/2
222,2129,2003,65,1-0
223,2190,2306,45,1-0
224,1778,1959,93,1-0
225,2091,2419,114,0-1
226,2205,2310,88,0-1
227,2194,2024,63,1-0
228,2379,2297,76,1-0
229,2436,2263,109,1/2-1/2
230,2263,2307,59,1/2-1/2
231,2442,2280,177,1-0
232,1894,2465,54,0-1
233,1683,2086,80,0-1
234,2140,2375,138,0-1
235,2411,2493,78,1-0
236,2231,1858,67,1-0
237,2165,1850,85,1/2-1/2
238,1639,1924,98,0-1
239,2264,1692,97,1-0
240,2257,2101,80,1/2-1/2
241,2045,2387,76,0-1
242,2221,1981,67,1-0
243,2408,2399,205,1/2-1/2
244,2506,2194,37,1-0
245,2773,2761,181,1/2-1/2
246,2699,2764,43,1/2-1/2
247,1640,1464,69,1-0
248,2026,2447,38,0-1
249,2497,2554,21,1/2-1/2
250,2229,2051,57,1-0
251,2388,2233,75,1-0
252,2366,2394,15,1/2-1/2
253,2504,2519,29,1/2-1/2
254,2142,1858,55,1-0
255,2159,2076,78,1/2-1/2
256,2705,2577,141,1-0
257,2449,2303,115,1-0
258,1972,2356,62,0-1
259,1969,2228,24,1/2-1/2
