Count,Simple Fen
112,1n1q1rk1/r3bppp/pp1pp3/8/2P1Q3/5NP1/PP2PPBP/R2R2K1 w - -
100,1n1q1rk1/r3bppp/pp1pp3/8/2PNQ3/6P1/PP2PPBP/R2R2K1 b - -
162,1n1q1rk1/rbp1bppp/p3pn2/1p6/3P4/5NP1/PPQBPPBP/RN3RK1 w - -
107,1n1qkb1r/rp2pppp/p1p2n2/3p1b2/2PP4/1QN1PN2/PP3PPP/R1B1KB1R w KQk -
172,1qr2rk1/1b1nbppp/pp1ppn2/8/1PPNP3/P1N1BP2/3QB1PP/2R2RK1 w - -
106,1qr2rk1/1b1nbppp/pp1ppn2/8/1PPNP3/P1N1BP2/3QB1PP/2RR2K1 b - -
150,1qr2rk1/1b1nbppp/pp1ppn2/8/2PNP3/2N1BP2/PP1Q2PP/2RR1BK1 w - -
119,1r1q1r1k/6pp/2np2b1/p2Np1b1/R1B5/1PP1N3/5PPP/3Q1RK1 w - -
150,1r1q1r1k/6pp/2np4/p2Npbb1/R1B5/1PP1N3/5PPP/3Q1RK1 b - -
167,1r1q1r1k/6pp/2np4/p2Npbb1/R1B5/1PP5/2N2PPP/3Q1RK1 w - -
131,1r1q1rk1/1p2npbp/2npb1p1/p1pNp3/2P5/P2P2P1/1P2PPBP/1RBQNRK1 w - -
254,1r1q1rk1/1ppbppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/2R1KB1R w K -
215,1r1q1rk1/1ppbppbp/p1np1np1/8/2PPP3/4BP2/PP1QN1PP/2RNKB1R b K -
243,1r1q1rk1/2p2ppp/1bnp1n2/1N2p3/3PP1b1/1BP2N2/1P3PPP/R1BQ1RK1 w - -
103,1r1q1rk1/2p2ppp/1bnp1n2/1N2p3/3PP1b1/2P2N2/1PB2PPP/R1BQ1RK1 b - -
104,1r1q1rk1/p2bpp1p/3p1npQ/np6/3NP3/1BN2P2/PPP3PP/2KR3R w - -
115,1r1q1rk1/p2bppbp/3p1np1/np6/3NP2P/1BN1BP2/PPPQ2P1/2KR3R w - -
123,1r1q1rk1/pp1bpp1p/3p1npQ/n7/3NP3/1BN2P2/PPP3PP/2KR3R b - -
123,1r1q1rk1/pp1bpp1p/3p1npb/n7/3NP3/1BN2P2/PPPQ2PP/2KR3R w - -
126,1r1q1rk1/pp1bppbp/2np1np1/8/2BNP2P/2N1BP2/PPPQ2P1/2KR3R b - -
525,1r1q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R w - -
315,1r1q1rk1/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPPQ2PP/2KR3R b - -
327,1r1q1rk1/pp1bppbp/3p1np1/n7/3NP3/1BN1BP2/PPPQ2PP/2KR3R w - -
160,1r1q1rk1/pp1bppbp/3p1npB/n7/3NP3/1BN2P2/PPPQ2PP/2KR3R b - -
147,1r1qr1k1/1p1b1pbp/p2p2p1/2pPn2n/P3P3/N1N3PP/1P3PB1/R1BQ1RK1 w - -
115,1r1qr1k1/1p1b1pbp/p2p2p1/P1pPn2n/4P3/N1N3PP/1P3PB1/R1BQ1RK1 b - -
136,1r1qr1k1/1p1b1pbp/pn1p1np1/2pP4/P7/N1N3PP/1P2PPB1/R1BQ1RK1 w - -
115,1r2kb1r/p1pq2pp/Q1n1pn2/8/3pP3/5N2/PP1N1PPP/R1B2RK1 b k -
122,1r2kb1r/p1pq2pp/Q1n1pn2/8/3pP3/5N2/PP3PPP/RNB2RK1 w k -
137,1r2kbnr/p1pq2pp/Q1n1p3/8/3pP3/5N2/PP3PPP/RNB2RK1 b k -
137,1r2kbnr/pQpq2pp/2n1p3/8/3pP3/5N2/PP3PPP/RNB2RK1 w k -
132,1r3rk1/2qp1ppp/2p1pn2/8/1b2P3/3BB3/PPP2PPP/R2Q1RK1 b - -
131,1r3rk1/2qp1ppp/2pbpn2/8/4P3/3BB3/PPP2PPP/R2Q1RK1 w - -
137,1r3rk1/2qp1ppp/B1p1pn2/8/1b2P3/4B3/PPP2PPP/R2Q1RK1 w - -
630,1rN1k2r/2qpbppp/p1p1pn2/8/4P3/4B3/PPP1BPPP/R2Q1RK1 b k -
199,1rN2rk1/2qp1ppp/p1p1pn2/8/1b2P3/4B3/PPP1BPPP/R2Q1RK1 b - -
631,1rb1k2r/2qpbppp/pNp1pn2/8/4P3/4B3/PPP1BPPP/R2Q1RK1 w k -
307,1rb1r1k1/1pq1bppp/p1nppn2/8/P2NPP2/2N1BB2/1PP3PP/R2Q1R1K w - -
100,1rb1r1k1/1pq1bppp/p1nppn2/8/P2NPP2/2N1BB2/1PPQ2PP/R4R1K b - -
146,1rb1r1k1/1pq1bppp/p1nppn2/8/P2NPPP1/2N1BB2/1PP4P/R2Q1R1K b - -
199,1rb2rk1/2qp1ppp/pNp1pn2/8/1b2P3/4B3/PPP1BPPP/R2Q1RK1 w - -
108,1rbn1rk1/2q1bppp/p2p1n2/1ppPp3/P3P3/2P2N1P/1PBN1PP1/R1BQR1K1 w - -
119,1rbq1r1k/5p1p/2np2p1/p2Np1b1/R1B1P3/1PP1N3/5PPP/3QK2R w K -
106,1rbq1r1k/5ppp/2np4/p2Np1b1/2B1P3/2P1N3/RP3PPP/3QK2R b K -
145,1rbq1r1k/5ppp/2np4/p2Np1b1/2B1P3/2P5/RPN2PPP/3QK2R w K -
199,1rbq1r1k/5ppp/2np4/p2Np1b1/R1B1P3/1PP1N3/5PPP/3QK2R b K -
271,1rbq1r1k/5ppp/2np4/p2Np1b1/R1B1P3/1PP5/2N2PPP/3Q1RK1 b - -
504,1rbq1r1k/5ppp/2np4/p2Np1b1/R1B1P3/1PP5/2N2PPP/3QK2R w K -
168,1rbq1r1k/6pp/2np4/p2NpPb1/R1B5/1PP5/2N2PPP/3Q1RK1 b - -
194,1rbq1r1k/6pp/2np4/p2Nppb1/R1B1P3/1PP5/2N2PPP/3Q1RK1 w - -
140,1rbq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -
332,1rbq1rk1/1p2ppbp/p1np1np1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 w - -
276,1rbq1rk1/1p2ppbp/p1np1np1/2p5/P1P1P3/2NP2PP/1P2NPB1/R1BQ1RK1 b - -
101,1rbq1rk1/1p2ppbp/p1np1np1/3N4/P3P3/6P1/1PP1NPBP/R1BQ1RK1 b - -
199,1rbq1rk1/1p2ppbp/p1np1np1/8/P3P3/2N3P1/1PP1NPBP/R1BQ1RK1 w - -
112,1rbq1rk1/1p2ppbp/p1np1np1/8/P3P3/2N3PP/1PP1NPB1/R1BQ1RK1 b - -
395,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/1PN3P1/P1QNPPBP/R1B2RK1 b - -
125,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/1PN3P1/P2NPPBP/1RBQ1RK1 b - -
165,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/1RBQ1RK1 w - -
489,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PPQNPPBP/R1B2RK1 w - -
101,1rbq1rk1/1pn1ppbp/p1np2p1/2p5/P1P1P3/2NPB1PP/1P2NPB1/R2Q1RK1 w - -
114,1rbq1rk1/1pp1ppb1/p1np1np1/7p/2PPP2P/2N1BP2/PP1QN1P1/R3KB1R w KQ -
414,1rbq1rk1/1pp1ppbp/p1np1np1/3N4/2PP4/1P3NP1/P3PPBP/R1BQ1RK1 b - -
143,1rbq1rk1/1pp1ppbp/p1np1np1/6B1/2PPP3/2N2P2/PP1QN1PP/R3KB1R w KQ -
138,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP1B2/2N2NP1/PP2PPBP/2RQ1RK1 b - -
158,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -
802,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -
233,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -
151,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 b - -
197,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NP1/PP2PPBP/1RBQR1K1 b - -
242,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 w - -
695,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -
143,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP2P/2N1BP2/PP1QN1P1/R3KB1R b KQ -
267,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R1N1KB1R b KQ -
362,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/2R1KB1R b K -
1014,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ -
