#Event,WhiteElo,BlackElo,Result
1,2354,2411,1/2-1/2
2,2523,2460,1/2-1/2
3,1915,1999,0-1
4,2446,2191,1-0
5,2168,2075,1-0
6,2437,2254,1/2-1/2
7,2449,2201,1-0
8,1813,1643,1/2-1/2
9,2553,2052,1-0
10,2611,2520,1-0
11,2306,2093,1-0
12,2108,2273,0-1
13,2047,2186,0-1
14,2357,2110,1-0
15,1877,1851,1/2-1/2
16,2406,2147,1/2-1/2
17,2054,2099,1-0
18,2250,2132,0-1
19,1860,2464,0-1
20,1942,1663,0-1
21,2295,2191,1-0
22,2345,2560,0-1
23,1979,2263,1-0
24,2550,2502,1-0
25,2392,2272,0-1
26,2413,2315,1/2-1/2
27,2332,2334,1-0
28,2119,2136,1-0
29,2522,2285,1-0
30,2324,2365,1/2-1/2
31,2482,2329,1/2-1/2
32,2345,2291,0-1
33,1933,2207,1-0
34,1941,2184,1/2-1/2
35,2224,2008,1/2-1/2
36,1889,2307,0-1
37,2369,2394,1-0
38,2529,2255,1-0
39,1992,2119,1-0
40,2130,1943,1/2-1/2
41,2376,2591,0-1
42,1870,2086,1-0
43,2450,2170,1-0
44,2133,2214,1/2-1/2
45,2430,2550,1/2-1/2
46,2024,2517,0-1
47,2079,2202,1/2-1/2
48,2101,2330,0-1
49,2336,2481,1/2-1/2
50,2281,2524,0-1
51,2148,2197,1/2-1/2
52,2124,2392,0-1
53,2246,2426,1-0
54,2613,2742,0-1
55,2269,2106,0-1
56,2485,2293,1/2-1/2
57,2207,2402,0-1
58,2607,1765,1-0
59,2700,2753,0-1
60,1962,2057,0-1
61,2360,1924,1-0
62,2311,2352,1-0
63,2453,2268,1-0
64,1934,1792,0-1
65,2232,2344,1-0
66,2271,2211,1-0
67,2353,2327,1-0
68,1629,1895,1/2-1/2
69,1902,2145,1/2-1/2
70,2248,2512,0-1
71,2359,2064,1/2-1/2
72,2368,2248,1-0
73,2056,2265,1/2-1/2
74,2241,1776,1/2-1/2
75,1827,1540,1-0
76,2466,2233,1/2-1/2
77,2516,2706,0-1
78,2152,2255,0-1
79,2706,2713,1-0
80,2103,1870,1-0
81,1381,1735,0-1
82,2391,2431,1/2-1/2
83,2380,2192,1-0
84,2051,2185,0-1
85,1945,2171,0-1
86,2270,2152,1/2-1/2
87,2460,2329,1/2-1/2
88,2443,2407,1-0
89,2548,2475,1-0
90,2172,1880,1-0
91,2484,2507,1-0
92,2119,2199,1/2-1/2
93,2583,2461,1/2-1/2
94,2531,2552,0-1
95,2291,2459,0-1
96,2171,2040,1-0
97,1962,2061,1-0
98,2183,1931,1/2-1/2
99,2250,2680,0-1
100,2645,2522,1/2-1/2
101,1766,2053,0-1
102,1890,2498,0-1
103,2220,2122,1-0
104,2668,2390,1-0
105,2534,2731,0-1
106,2382,2580,1/2-1/2
107,1769,1799,1-0
108,1828,2030,1-0
