8/7p/1p1kp2R/8/8/3KP2P/r7/8 b - -,a2a7
K7/8/6Q1/8/8/4qk2/6p1/8 w - -,g6f5
qr4kb/p2n1n1p/1p1N1pp1/8/1P3N2/4BP2/P1Q3PP/2R4K w - -,d6f7
r1bqkb1r/p2npp1p/2pp1np1/1p6/3PP1P1/2N1B2P/PPP2PB1/R2QK1NR b KQkq -,e7e5
8/7p/1N4p1/p1p2p2/PkP2b2/3K3P/8/8 b - -,f4g5
8/R7/8/6k1/P1p5/8/2r5/6K1 w - -,a4a5
rnbqk2r/pp2nppp/2p1p3/b2p4/3PP3/P1N2P2/1PPB2PP/R2QKBNR w KQkq -,f1d3
r1b2rk1/1pp1qppp/n2p4/p2Pp2n/2P1P3/PP1B1NP1/3N1P1P/R2Q1RK1 b - -,g7g6
r4rk1/pp1nbpp1/1qp1pnp1/3p4/Q1PP2P1/2N1P2P/PP1B1PB1/2R1K2R w K -,g4g5
5rk1/3Rn1b1/2qNp1p1/1Qp1p3/4P2p/6P1/4BP1P/6K1 b - -,g7f6
r3k1nr/pppq1pb1/2npb1pp/4p3/2P5/2NP1NP1/PP2PPBP/1RBQR1K1 b kq -,g8f6:g8e7
4r1k1/ppp1r1p1/3p3p/2PP4/1P6/P1Q5/1q3P2/2R2KR1 b - -,b2e2
6k1/2pb2p1/3p3p/1p1P4/1P2Q3/P3N2P/5q2/7K w - -,h3h4
8/5pkp/2N3p1/2bP4/1p2p2P/1P4P1/P4P2/5K2 b - -,g7f8
6rk/1pr2b1p/p2p1q2/P2Pnp2/1PPNp1p1/Q7/4BPPP/3RR1K1 w - -,c4c5
r7/4bk2/2Np1n2/R2Pp2p/5p2/3P3P/1P1BKP2/8 b - -,a8a5
2r2bk1/p1pr4/2q1pNp1/1p1n3P/3P2P1/P1P2PB1/2Q5/3RR1K1 b - -,d5f6
1r3rk1/4pp2/2Np2pp/p1pP4/P1PbPP1q/3Q3P/6PK/3R1R2 b - -,b8b2
1r1q1rk1/1b1p1pb1/1pn1pnp1/p1p4p/2P2N1P/P1NP2P1/1P1BPPB1/1R1Q1RK1 w - -,f4h3
2b5/1pr2k1p/5pp1/PKN5/4P3/8/6PP/3R4 w - -,d1d6
8/2n1nk2/3p2p1/2pP2P1/1pP1B3/1P3K2/4N3/8 b - -,c7e8
r1bbk1nr/ppp4q/2np4/3Npp2/1PP3pp/3P2P1/P3PPBP/1RBQRNK1 b kq -,c6d4
2rr4/1b3kpp/pq2pn2/1p6/3N4/1QN1P3/P4PPP/1R3RK1 w - -,a2a4
r7/1pp1q1kp/1p4p1/3pP3/6b1/2PB3P/PPQ3P1/R5K1 b - -,g4e6
r2qkb1r/1p2pppp/p1np1n2/8/2B1P1b1/2N2N2/PP2QPPP/R1B2RK1 w kq -,f1d1
4B3/8/7p/7P/7k/P5p1/4K1b1/8 w - -,e8d7
3rr1k1/p1qnbp1p/2b1p1p1/2ppP3/5P2/1PNB3R/PBP1Q1PP/5R1K w - -,f4f5
3b4/1b6/p3k3/4p2p/pPN1p2P/P1KP2B1/8/8 w - -,d3e4
3r4/p3kp2/4p1p1/1p2P3/2rp3R/3R1P2/P4P2/5K2 w - -,f1e1
rn1q1rk1/pp2bppp/2p1pn2/3p3b/4PP1N/3P2PP/PPP3B1/RNB1QRK1 b - e3,f6e8
rnbq1rk1/p3bppp/2p1pn2/1p4B1/2BP4/1QN1PN2/PP3PPP/R3K2R w KQ b6,c4d3
r4rk1/1q3pp1/1p2p2p/p1n1P3/2pN1P2/2P5/PP4PP/R3QRK1 b - -,c5d3
2b1r1kb/5p1p/2pp2pB/p7/1r1Pq3/1P3R1P/P3N1P1/1RQ4K w - -,f3e3
r2q1rk1/1bp2ppp/2n1pn2/bB6/3P4/1Pp1PN2/2QN1PPP/R1B2RK1 w - -,c1a3
2r3k1/2q2ppp/p6P/6P1/1b6/1Pn1R2Q/3R4/K7 w - -,e3e5
2rq1rk1/5ppp/1n2b3/p1bpP3/1p1N4/nP1Q2PP/P3NPB1/2BR1RK1 w - -,c1b2
r3r1k1/pbp2p1p/1p1q2p1/1BnP4/8/P3PN1P/1PQ2PP1/3R1RK1 b - -,e8e7
rn1q1rk1/pp2ppbp/2pp1np1/8/2P1P3/2NPBBPP/PP3P2/R2QK2R b KQ -,b8d7
2r1k2r/1pqn1pb1/p3p1pn/P1ppPb1p/3P1N1P/2P1N3/1P1BBPP1/R2QK2R b KQk -,e8g8
3k4/7p/p5p1/1p6/2p3P1/2P2K2/PP5P/8 w - -,f3e4
1r4k1/5qpn/4Np2/4pP2/3nP1QP/P1rB2R1/8/2B1R1K1 w - -,e6d4
2r5/pp2kp2/3pbnp1/5p2/2NP4/P1NBPPP1/1P3K2/7R b - -,e6c4
8/5pk1/1p1Q2p1/3Pn2p/1PPb3P/6P1/4qB2/6K1 w - -,f2d4
5k2/1p1r1pp1/7p/P7/1P1q4/4QRP1/4P2P/6K1 w - -,e3d4
8/2p3Bp/3n4/1k1P1P2/1p3b2/3KN3/8/8 w - -,e3c2
1kb3rr/1p2bp2/p2pp3/4n1Pp/3NPNnP/1P4B1/1PPR2B1/4R2K b - -,b8a8
7r/6Q1/p1p2p2/1p1k3p/3nb2P/P5P1/1PP5/2K5 b - -,h8h7
r1bq1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N1B3/PP1NBPPP/R2QK2R w KQ -,b2b4:e1g1
r1b1k2r/ppP2p2/n7/7p/1bP3nR/4PNB1/Pq1N1PP1/R2QKB2 b Qkq -,b4c3
r2qkb1r/pp1n1ppp/2p1pnb1/3p2B1/3P4/2NBPN2/PPP2PPP/R2Q1RK1 w kq -,f3e5
r6k/p4B1p/7b/q2p4/1R1Pp1b1/PQ2P1Pp/7B/4NNK1 b - -,a8f8
2r3k1/5p1p/4pb2/p2p1p2/3N4/P2RP3/1r3PPP/3R2K1 w - -,h2h3
r3kb1r/pp1npp1p/2p2p2/3q1b2/3P4/2P2NP1/PP2QPBP/R1B1K2R b KQkq -,d5e4
6n1/1p3pk1/p7/3p4/1P1P1K2/3r1P2/4N1P1/2R5 b - -,d3d2
3rr1k1/2pRqpb1/p5pp/1p6/2n2B2/2P4P/PP3PPN/R2Q2K1 w - -,d7e7
r1bqk2r/2p1nppp/1pn1p3/p3P3/1bPP4/2N1BN2/PP4PP/R2QKB1R w KQkq -,f1d3
6r1/1b1p4/5kB1/p1rP1P1P/1p1R1K2/8/8/3R4 b - -,b4b3
rn1qk2r/ppp2ppp/4pn2/8/2NP2b1/4PN2/PP1Q1PPP/R3KB1R b KQkq -,g4f3
r3nrk1/pq1pbppp/np2p3/4P3/Q2P4/P4N2/1P1N1PPP/R1B1R1K1 b - -,f7f5
rnb2rk1/pp2ppbp/1q4p1/8/3pP3/2B2N2/PP2BPPP/2RQK2R w K -,c3d4
4qr2/2p2p1k/p3NPn1/1p2P2p/8/3r2QP/PPP5/1K2R3 w - -,e6f8
rnbq1rk1/1p3pbp/p1p1pnp1/3p4/2PP4/1QN1PN2/PP1BBPPP/R4RK1 b - -,b8d7
r4b1r/3q1kpp/p3pp2/3n4/P7/2N2P2/1P2QP1P/R1B2RK1 w - -,f1d1
3r1rk1/2p1qpbp/p5p1/1p1bP3/nP1B4/4PN2/P1Q1BPPP/1R1R2K1 w - -,e3e4
7k/3R3p/8/5p2/P7/3p4/2r3PP/6K1 b - -,d3d2
6R1/3k2Q1/1p2p1bp/p2n1q2/7P/P5P1/1P3P2/6K1 b - -,g6f7
r2q2k1/5pp1/4pn1p/p2pN3/Pb1Pn3/1P1BP1P1/1BQ2P1P/2R3K1 b - -,b4d2
r2qr1k1/1ppb1pp1/1p3n1p/4p3/4P3/1NPB1P2/PP2Q1PP/R4RK1 b - -,d8e7
1r1q1rk1/1p3ppp/p1B5/2N5/2bp1P2/8/PPP2RPP/R2Q2K1 b - -,b7c6
3r2k1/1p1rbpp1/2b1pn2/1p5p/NP3P2/P3P3/1BB3PP/2RR3K w - -,a4c3
1kr5/ppq2pp1/4n3/3Bp3/4P3/PQ6/1P3P2/1K1R4 w - -,d5e6
5k2/pr3rpQ/bp3p2/2p1qP2/3pR3/PP1P4/6RP/4N1K1 w - -,e4e5
r2r2k1/pp3pbp/2n1pnp1/q2p4/2P1PP2/2NBBP2/PP3Q1P/2RR2K1 w - -,e4e5
r4rk1/pp3ppp/1qp1pn2/2np4/2P3b1/2QP1NP1/PP1NPPBP/R3K2R w KQ -,b2b4
r3b2k/2p1n3/1p1p3q/p2PpB2/2P1PpR1/5Q2/PP3B1P/7K b - -,e7f5
r5nr/1ppk1ppp/p2b4/4n1N1/8/8/PP2PPPP/R1B1KB1R w KQ -,c1d2
