8/5K2/6PB/7k/8/8/1p6/8 w - -,g6g7
r4r2/ppp1k1p1/2np1n1p/2b1p3/4P1bN/1BNP4/PPP2PP1/R1B2RK1 b - -,e7d7
3rr1k1/4bp2/pqn1bnpp/1pp1p3/4P3/P1PPNQNP/1BB2PP1/RR4K1 b - -,g8h7
3rrbk1/p4p2/2p3p1/4pb2/3P2p1/4B1P1/PPNR1P1P/2R3K1 b - -,f8g7
8/8/R4kp1/8/1p3PKP/p5P1/Pr6/8 b - -,f6g7
5R2/8/P5k1/1P4P1/3K3p/r4p2/8/8 w - -,b5b6
4k2r/3pppbp/nr6/q1pP1p2/8/P1N1P3/1PQ1NPPP/R4RK1 b k -,e8g8
1rb2rk1/2q1bpp1/4pn1p/4p3/pp2P3/1N1Q1BN1/PPP2PPP/1K1R3R w - -,b3c1
2r2n2/p3q1nk/2N1p1pb/2R5/1P2P3/5QPP/P5K1/3R1B2 b - -,e7b7
r2q1rk1/ppp1b1pp/2b1Pp2/5P2/3p3Q/3P4/PP2N1PP/R1B2R1K b - -,d8d5
r1bq1rk1/pp3pp1/4nn1p/3p4/1b1N1B2/P1N3P1/1PQ1PPBP/R3K2R w KQ -,a3b4
5k2/5pp1/1R2b2p/p2p4/3N4/4P2P/P4PP1/2rB2K1 b - -,c1d1
2b3k1/2n1N1b1/4p2r/2pn1pN1/p2P1q2/P1P3R1/B1K1QPPP/4R3 b - -,d5e7
1n6/1bp1k1np/1p1p1bpB/1P1Pp3/2P1P1B1/5NNP/5P2/6K1 b - -,b8d7
r1b2rk1/p2pppbp/2p2np1/q7/2B1P3/2N1B2P/PPP2PP1/R2Q1RK1 b - -,d7d6
8/6p1/p1N1R3/1p6/1B2pr1k/P4p1P/1PP3r1/5K2 w - -,c6d4
rnb1k2r/ppp1qppp/1n2p3/1N1pP3/3P4/2P5/PP3PPP/R2QKBNR b KQkq -,a7a6
2B5/6kp/3p2p1/2p1n3/3q4/4N3/1r3PPP/Q4RK1 w - -,a1a7
2r3k1/r1p2ppp/1p3q2/n2PRb2/8/PpQ3P1/1P1N1PBP/R5K1 b - -,a5b7
r1b1rnk1/p3q1pp/1npb1p2/3p4/Np1PPP2/3B1N1P/PPQ3PB/2KRR3 b - -,d5e4
r2qkb1r/pp1n1pp1/2p2n1p/5P1b/3P4/P1N4P/1PP1N1B1/R1BQ1RK1 w kq -,d1d3
8/8/8/3r2PR/1K3p2/5P2/5k2/8 w - -,b4c4
r1bqkb1r/1ppn1ppp/4pn2/3p4/p1P5/1P3NP1/P2PPPBP/RNBQ1RK1 w kq -,c4d5
8/1pk3p1/3b1nb1/2pPpB1p/2P1P2P/1P1NK1P1/8/B7 b - -,g6f5
r3r2k/3qp1bp/1np1npp1/p7/P2P4/1B3NBP/1PP1QPP1/1R4K1 w - -,b3e6
2rr2k1/p2b1ppp/3Rp3/nNn5/Pp6/5NP1/1P2PPBP/R5K1 b - a3,a7a6
r4rk1/2N4p/1pNp2p1/2nP2Pn/p3P2q/P7/1PQ5/1K1RR3 b - -,f8f2
1rbq1rnk/4b1pp/2n1p3/1p1pP3/6P1/2PQBNNP/1P3RBK/R7 b - -,d8c7
8/8/2p2k2/7p/2Nb1K2/3P4/8/8 w - -,c4a5
r5k1/pp3pbp/6p1/3P4/2n4q/1QN2R1P/PP3P2/5RK1 w - -,b3b7
2kr1b1r/pp3ppp/2n2n2/1BP1pb2/8/2P1BN2/PP3PPP/RN2K2R b - -,f6d5
6k1/4pp2/3p2p1/q2P3p/2P1P2P/r5P1/PQ3P1K/R7 b - -,a5c5
1rb1r1k1/p2nqpbp/1pQ2np1/3pp3/8/1P1P1NP1/PB1NPPBP/2R2RK1 w - -,c6a4
8/R4nr1/p2p3p/Pp1P1k2/1Pp5/2P2PB1/5P1K/8 w - -,a7a6
b3r1k1/5ppp/np1rp3/p7/3PP1N1/P5P1/1R3PBP/R5K1 w - -,a1d1
rnbqk2r/ppp1p1bp/6p1/3p2B1/3P4/5N2/PPP2PPP/R2QKB1R b KQkq -,c7c5
r1bqk2r/pppnbppp/5n2/3p2B1/3P4/2N5/PPQ1PPPP/R3KBNR w KQkq -,e2e3
rnbqk2r/ppp1bppp/3ppn2/6B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f1d3
8/p5k1/1q1b1rpp/2p5/3pBP2/1P1P2P1/P2Q2KP/5R2 w - -,f1f2
r1b1k1nr/pp1pppbp/n5p1/2qN4/4P3/4B3/PPP2PPP/R2QKBNR b KQkq -,c5a5
1rb2rk1/2q1npp1/p3p2p/1p2P3/3RB3/P1N3P1/1PP1Q2P/2KR4 b - -,e7g6
1r1q1rk1/pp2npbp/2n1b1p1/2p1p3/P1N5/2NP2P1/1P2PPBP/R1BQ1RK1 w - -,a4a5
r1b2rk1/1pq1bppp/p1Nppn2/8/4P1P1/2N4P/PPP2PB1/R1BQR1K1 b - -,b7c6
8/1p6/p2kp3/4b1pp/P7/1B3KP1/2P4P/8 w - h6,h2h3
8/2Nn1k2/1p1p2p1/1Pn2p1p/2P1RP1P/6PB/7K/8 b - -,c5e4
8/1pp5/1k1p4/p2P4/P2b2rp/1P1K1B1R/2P5/8 b - -,g4f4
6k1/K1p2p2/P1pb2p1/2p5/2P5/1PB4p/5r2/3R4 b - -,h3h2
r3k2r/pppbqp2/3p1n1p/6p1/1PP1P3/2N3P1/1P3PP1/2RQKB1R w Kkq -,f1e2
2k2b1r/1b1r1ppp/3pp3/Bq6/1pP1P3/1N3P2/1P3QPP/1K1RR3 b - c3,b4c3
6k1/1p5q/3p2n1/2pPp2Q/2P1P3/3Nb1P1/r5B1/1R5K w - -,h5h7
2b2r1k/1pN1b1pp/p3p1q1/5p2/3r1P2/P7/BP2Q1PP/2R2R1K w - -,c7e6
5B2/n1k5/6p1/1R1P1p1p/1p5P/6P1/3r1P2/5K2 w - -,d5d6
3r2k1/1p1rppb1/7p/Pb4p1/1P1P4/R3BBP1/5P1P/2R3K1 b - -,b5a6
r3k1r1/pp3p2/2b1p3/3qPn2/5P2/P1pB4/2P2QPP/1RB1K1R1 w q -,b1b3:b1b4
5k2/1p3p2/3p2p1/p2P4/Pn1b1NBP/2r5/4RPK1/8 w - -,h4h5
8/6p1/2pbkpp1/8/5P2/p2R2PP/K7/8 b - -,e6e7
5rk1/p1pRrpp1/1p2p2p/2q1P3/2P2QPP/1P2P3/P4P2/3R2K1 w - -,d7d8
r1bqrnk1/pp2bppp/2p5/3p3n/3P4/3BPNB1/PPQ1NPPP/R4RK1 b - -,c8g4
r1bqr1k1/1p1p1ppp/2n1pn2/p1b5/2P5/PP1BPN2/1BQN1PPP/R3K2R b KQ -,h7h6
8/8/1B4p1/pP1p1p1p/Pbk2P1P/6P1/2K5/8 b - -,b4e1
2krr3/ppbn1pp1/2p1pq1p/7P/1BPPQ3/P4NP1/1P3P2/1K1R3R b - -,d7b6
r2qr1k1/1p3pbp/p1bp1np1/P1pN4/2P1PP2/3B3P/1PQ3P1/R1B2RK1 b - -,f6d7
r1bqkb1r/pp3ppp/4pn2/3p4/3Pn3/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3e5
4r1k1/5p1p/8/p1p3p1/1pPpP3/1P6/P1BKR3/1R2r1q1 w - -,b1e1
6k1/1p3r2/3p1bq1/3Pp3/4PnPp/r7/P1Q4N/R3BBRK w - -,c2c8
r4r1k/8/1p4q1/p1ppP3/Rn3Pb1/1N4Pp/1P5Q/2B2BK1 b - -,a8a7
7k/p5pp/1p6/3B1pB1/3n4/1PNn2P1/P5KP/4r3 b - -,f5f4
r3r1k1/ppqb1ppp/5n2/3pn1Q1/3N4/1N3P2/PPP3PP/R3RBK1 w - -,g5f4
r2q1rk1/pb1nbppp/1p2pn2/3p4/3P4/1P1BRN2/PBPN1PPP/R2Q2K1 b - -,f6g4
2n5/p2n1kp1/1p2pp1p/1N6/4P2B/P4P2/1P2K1PP/8 b - -,f7e7
1K6/8/2Bn4/3k4/8/8/5B2/8 b - -,d5c6
r1b1k2r/1p1qbppp/1pp1pn2/4B3/3P4/2NB1Q2/PPP2PPP/2KR3R b kq -,e8g8
8/5pk1/6p1/1p6/2p3P1/2P2P2/1P1KQ3/4b2q w - -,e2e1
4k3/1N1n4/2p1Kp2/8/4P3/1P3n2/1B6/8 b - -,f3g5
6k1/p1q2p1p/p3bp2/3p4/2r5/2N1P2P/PP1RQPP1/6K1 w - -,e2f3
1r4k1/3nppbp/r2p2p1/3P2BP/2q1P3/n1N2P2/P2QN1P1/R4R1K b - -,a6b6
rn1qk2r/p1ppbppp/bp2pn2/8/2PP4/P1N1P3/1P2NPPP/R1BQKB1R w KQkq -,e2f4:e2g3
