8/1RP5/7p/k1N2P2/7P/P7/K7/r5r1 w - -,a2b3
1rq3k1/3p1p1p/1pn1b2n/p1p2p2/5QP1/1P5P/P2R2B1/B3R1K1 b - -,c6d4
1r4k1/5p2/RR1p1p1p/8/2r5/P7/5KP1/8 b - -,c4c2
5R2/ppk1r3/2p5/5B2/3P2Pr/5P2/PPPK4/8 w - -,f5e4
8/8/p7/1p3k2/1P3p1p/1P5P/P4KP1/8 b - -,f5e4
1k3b1r/ppp3pp/4nqn1/3p1B2/3P1p2/4PN1P/PP3PP1/1QB2RK1 b - -,f8d6
8/8/6R1/2p2K2/2Pk3r/8/8/8 b - -,d4c4
rnb1r1k1/pp3pbp/1q4p1/2pPP1B1/6n1/2N2N2/PP2B1PP/R2Q1RK1 b - -,g4e5
3r1k2/1p3pp1/6p1/1pR5/3n1P2/PB1p4/1P3KPP/8 w - -,b3d1
2k4r/pp3pp1/3Q4/P1pP4/3q2N1/2Rn1KP1/1P6/8 b - -,h8e8
8/6pk/4p2p/4Pp2/4q3/2Q3P1/5P2/6K1 b - -,f5f4
rnbq1rk1/pp3pb1/3p1ppp/2pP4/4P3/2PB1N2/PP1N1PPP/R2QK2R b KQ -,b8d7
1k5r/3n4/1b1p4/pP4p1/3P4/4BpPp/5P1K/R4R2 w - -,e3g5
8/2p4p/6p1/3k2K1/3R3P/8/8/8 b - -,d5d4
3r2k1/p4p2/2p3q1/7p/3NPPnR/1PQ2K2/P5P1/8 b - -,g4h2
r3r1k1/1b3ppp/1p3q2/8/3Np3/3nP1P1/2R2PBP/1Q1R2K1 w - -,c2d2
8/1p3p2/p3b1pp/4N3/k3KPP1/b7/1B5P/8 w - -,b2c3
2q2bk1/pbP3pp/8/2p1B3/1r6/6P1/PPQR1P1P/6K1 w - -,d2d8
r2q1r1k/2pbn1bp/1p1p2p1/1N1Ppp2/PBP1Pn2/6P1/3N1P1P/R2QRBK1 b - -,f4h5
6k1/1b2b1pp/pq2pp2/8/1pNPp3/1P2P3/P1QN1PPP/6K1 b - -,b6c6
1k1r4/pp3R1B/1bp5/6P1/8/1nN5/1qP4P/4Q2K b - -,b6a5
7k/6r1/2pRb1q1/2P1p3/1P2Pp2/p4N2/5QP1/6K1 w - -,f2h4
