8/4k3/2P2r2/1K1Q4/8/8/8/8 b - -,f6d6
2k1r1r1/1pp2Q1p/p1pb1p2/5Pp1/4P3/P3B3/1PPN1KPq/4RR2 b - -,g8f8
4r3/3p1p1p/3k2p1/pp6/3p4/PP1N2P1/3KBP1P/8 w - -,d3f4
2r2bk1/p2q1bpp/5p2/1p1p4/3P4/1B2R2P/PP1BQPP1/6K1 b - -,b5b4
6k1/p4p1p/3p2p1/5bP1/2P1p2P/P2r4/1K6/4R3 b - -,e4e3
r1b1kb1r/1pqn1ppp/p1p2n2/2PpP3/1P6/P2BPN2/5PPP/RNBQK2R b KQkq -,d7e5
3r4/1pR1rkb1/p4p1p/3p1Q2/3P3P/5P2/PP4P1/6K1 w - -,f5h5
r1b2rk1/2q2ppp/p2bpn2/1pp1N3/3P1P2/2PBB3/PP4PP/R2Q1RK1 w - -,d1e1
8/B3bkpp/2B2n2/2pp4/2b2N2/4PP1P/1P4P1/6K1 w - -,g1f2
3rr3/pp5p/8/2p1k1p1/P1P1pp2/4P3/1P3PPP/3RR1K1 w - -,e3f4
8/2q2p1k/6p1/3b3p/3bn3/1p2P2P/rP1NQ1P1/1R2B1K1 w - -,e3d4
r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/2P1P3/2NP1NPP/PP3PBK/R1BQ1R2 b - -,g8h8
r2r2k1/1pqnbpp1/p3p2p/Pnp1P3/2pPb3/1N2B2P/1P1QBPPN/2R1R1K1 w - -,e2c4
bqr5/3n1kp1/pb1p1n2/1p2pP2/2P5/2N1B2B/PP2Q3/2R1R1K1 w - -,c3d5
8/4k2p/4p3/2n1Np2/6p1/bBK1PPP1/P6P/8 w - -,f3g4
r4rk1/pp3pbp/q1p3p1/8/5B2/1P3BPb/P3PP1P/2RQR1K1 w - -,a2a4
2rq1rk1/pp1n1pBp/4p3/3p1p2/8/2P2PP1/PP4BP/R1Q1R2K b - -,g8g7
Q5k1/3R2p1/r3np1p/p3p3/4N2P/P3P1P1/1P3PK1/8 b - -,a6a8
4nn1r/ppk1r3/3P1RP1/2pP3p/2P4P/2PBN3/P5K1/2B5 b - -,e8d6
r2q1rk1/1bp2pp1/1p1p1n1p/p2p4/2P1n3/1P3NP1/PBQ1PPBP/3R1RK1 w - -,c4d5
2kr1b1r/1ppn1ppp/p2qp3/3P2P1/2P2P2/2N1B3/PP2B1P1/R2QK2R w KQ -,a2a3
6k1/3r1pbp/2q3p1/pN6/P1pB4/2Pb4/1P1R2PP/4Q1K1 b - -,d7d8
8/5p2/6p1/5k2/1p5P/1R3KP1/P1r2P2/8 w - -,b3b4
5k2/p2rp1bp/6p1/2p2p2/8/1PPBP1B1/2R2PPP/4K3 b - -,d7d3
4rrk1/pp5p/6p1/2p1p3/3b2n1/1P3N1P/P2R2P1/4Q2K b - -,g4f6
4B3/n7/P7/6k1/6pp/6P1/5P2/5K2 w - -,g3h4
7R/3n4/3r4/3kp2p/8/5NPP/5PK1/8 b - -,d7f6
1Q6/4ppkp/2P2bp1/3P4/2p2P2/r4B1P/5qP1/4R2K w - -,e1c1
2r1r3/pp1q1kpp/3p1n2/8/P1PQ1P2/4p1P1/2R4P/5R1K b - -,d7a4
r3r1kb/1p1q1p1p/p1p2npP/2Pp1bB1/3P4/2NpPN1P/PP3PK1/R2Q3R b - -,f5e4
5rk1/pp2ppb1/1q5p/r2PP3/2p2P2/P1Nn2QP/3RB3/6RK b - -,b6g6
