4Q1k1/8/8/1p3PKp/2qp4/7P/6P1/8 b - -,g8h7
8/2p4p/3kp3/8/4KPn1/2P3P1/1P6/8 w - -,b2b3
1rb1r1k1/1pn2pq1/p2p3p/2pP2p1/P3P3/2N3PP/1P1Q1P1K/3RRB2 b - -,b7b5
8/8/8/8/6p1/1K6/PQ1qk3/8 w - -,b2g7
r2q1rk1/1bp1bppp/p7/1p1np3/P7/1n1P1N1P/1PPN1PP1/R1BQR1K1 w - -,d2b3
8/4k3/1K2pp1p/rp1p4/6P1/P2P4/R7/8 b - -,a5a8
2b2r2/5pp1/5k2/3p4/2pN4/2P2P2/6PP/4R1K1 w - -,g1f2
2nr4/5k1p/1p3Pp1/p1pPp1Pb/P1P1P3/2N1K1R1/8/1R6 w - -,b1h1
3r2k1/Bpr1ppbp/4bnp1/1B6/4P2Q/PqN5/1P3PPP/1RR3K1 b - -,f6g4
r1bq1rk1/p3p1bp/2p3pn/3pp3/3P4/5N1P/PP3PP1/RNBQR1K1 w - -,f3e5
5b2/p3kp2/1pB3pp/2p5/2P2P2/1P2PKPP/P7/8 b - -,f8g7
8/8/7B/1p1n3p/1P5P/1K1k4/8/8 b - -,d5e7
r4rk1/pbp1npp1/1p3qnp/8/3P4/P2BB3/2PQNPPP/1R3RK1 w - -,e2f4
rq2r1k1/pp3pb1/1n1pb1p1/6B1/4P2Q/2N5/PP2B1PP/3R1R1K b - -,a7a6
r1bq1rk1/p3b1pp/1pn1pn2/1Bpp4/3P1P2/2N1BN2/PPPQ2PP/R4RK1 b - -,c8b7:d8c7
8/3k2p1/3npp2/1p2b1pP/1P4P1/3BPK2/8/4B3 b - -,d7c6
8/3r4/3pk1pp/1ppR4/4P1P1/N1b5/rP3RK1/8 w - -,a3b5
8/3B2p1/4p2p/4k3/4n2P/5KP1/8/8 b - -,e4f6
2b5/1k2r3/1R6/KP2B3/8/8/8/8 b - -,b7a7
r4rk1/1p1q1ppp/p4n2/2pp4/P2n1P2/2N5/BPP3QP/R1B2RK1 w - -,c3d5
2rqkb1r/1p3ppp/p3pn2/2n5/2N5/4PP2/PPQ1BP1P/R1B2RK1 w k -,f1d1
r2br1nk/pp1b1ppp/2pp4/4nP1q/P3P3/2N2NQP/BPPB2P1/3RR1K1 b - -,d8c7
rn1q1rk1/ppp1npbp/3p2p1/3P4/8/2N2PPB/PP3P1P/R1BQK2R w KQ -,e1g1
8/2k5/R7/3K4/4N3/8/8/4r3 b - -,e1d1
2r1k2r/1pqb1pbp/4p1p1/p1B5/2nP4/2PB1N2/P3QPPP/R4RK1 b k -,b7b6
3r1rk1/pp1b2pp/2n1p1q1/2bp4/8/2P2NB1/PP1N1PPP/R2Q1RK1 w - -,d2b3
6k1/2p1qppn/p2p3p/2p2P2/2P3P1/4Q2P/PP3P2/4B1K1 b - -,g8f8
r1r3k1/pbpnqpbp/1p1pp1p1/1N6/1PPPnB2/4PN1P/P3BPP1/2RQR1K1 w - -,f3d2
r3r1k1/1p1n1ppb/1qp2n1p/p2Pp3/8/QP1P2P1/P2NPPBP/3RNRK1 b - -,c6d5
r3k1nr/pp1q2pp/5p2/3p4/1bp2B2/6P1/PP2PPBP/R2Q1K1R b kq -,g8e7
6k1/1p1q1bp1/2nP1pNp/p2p1p1P/P2P1B2/3Q1PP1/1P6/4rK2 w - -,f1e1
r1b1r1k1/3qnp1p/pp1p1np1/2pPp3/P1P1P1P1/1P1BbPN1/1B2N1KP/R2Q1R2 w - -,h2h3
8/4kp2/1p6/p1p2KN1/P1Pb4/1P1P4/8/8 b - -,d4b2
