6k1/pr6/8/6P1/3b1P1R/4p3/P3K3/8 w - -,e2d3
1r2r1k1/p1p2pp1/3b1qnp/6NQ/4b3/2P1P3/P3BPPP/R1BR2K1 w - -,g5e4
4n3/1pk2B2/1p6/4p1p1/PP2P1P1/2PK2P1/8/8 b - -,e8f6
r1bqkbnr/ppp1pppp/2n5/3p4/3P4/1P6/PBP1PPPP/RN1QKBNR b KQkq d3,g8f6
7r/np2b3/p1r1k1p1/RpPp1pPp/1P1PpP1P/2B1P3/1P3K2/R2B4 w - -,d1b3
q1r5/4k1r1/3p1p2/p3pb2/7p/P1P5/1P3Q2/K2B1R2 w - -,f2f5
3b1r2/1pp3p1/4k2p/1P3p2/8/4PPBP/5P2/3R1K2 b - -,g7g5
4r1k1/p4p2/1qpp2p1/7r/Q1P1P3/5nP1/P6P/3R1R1K w - -,f1f3
3rbnk1/r5p1/p3p2p/1p1pP3/8/P1N3P1/1PB2PP1/3RR1K1 b - -,a7c7
r6k/pp1q1p2/6rp/2p1pN2/2P5/4b1NQ/PP4PP/1B3R1K w - -,f5e3
3q1b1r/rb3kpp/p1np1n2/2p5/4P3/2PP2PN/P1P3BP/R1BQ1RK1 w - -,a1b1
r5k1/pp2rppp/5n2/2p5/2Pq1N2/3P1Q2/P1P3PP/R4R1K w - -,a1b1
4n3/1p1k1p2/1B1p4/2pb2P1/4PR2/5PK1/r7/7R b - -,d5e6
2rq1rk1/pp1nbpp1/3n2p1/4p3/3PP3/2N3P1/PP2BB1P/R2Q1RK1 w - -,e2g4
1r3k1r/pp3p1p/1q2pbp1/2P5/1P1pQ3/P2R1BP1/5P1P/5RK1 b - -,b6c7
3r4/q4ppk/p2r3p/1p2p3/2p1P3/P1P1NP1P/1n2R1PK/R4Q2 w - -,e3d5
q1R3k1/5pp1/pp1bp2p/1p1n4/3PN3/4QNP1/PP2PPKP/8 b - -,a8c8
6k1/1p1R4/2q1p1p1/p6p/P7/4B1N1/6KP/3B1R2 w - -,g3e4
8/8/N5pp/1P1k4/3bp3/6P1/4P1KP/8 w - -,g3g4
2r2rk1/1b2bppp/p2p4/P3p2n/2N1P3/BP2QP1q/2BN2R1/R5K1 w - -,d2f1
8/1b3k2/8/4BB2/3K4/r7/8/8 b - -,a3a5
2kr1bnr/pppqpppp/2n5/8/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQ -,d4d5
rnbqk2r/ppp1ppbp/6p1/3n4/7P/2N2N2/PP1PPPP1/R1BQKB1R w KQkq -,h4h5
8/3Q1bk1/5p1p/6pP/2r3P1/8/8/6K1 b - -,c4e4
2r5/1pr1kp1p/p1nbp3/P2p1p2/R2P4/2P1P3/3NNPPP/1R4K1 b - -,c6a7
r2qk2r/pppb1ppp/2N1pn2/3p4/Q1PP4/2P5/P3PPPP/R1B1KB1R b KQkq -,d7c6
1r1qk1nr/5pbp/3pp1p1/1Pp5/1p1nPP2/3P2PP/1P2N1B1/R1BQ1R1K b k -,g8e7
2r5/pp2kp2/4pp1P/2P5/3P2n1/1P3KP1/1R6/8 w - -,f3g4
r3k2r/1b2bp1p/p4p2/6q1/1pBp4/8/PPP3PP/1K2RQ1R b kq -,e8f8
5b2/pb3ppk/2n3rp/8/2N2Q2/1Pq3N1/P4BPP/4R1K1 b - -,f8c5
