6k1/5p1p/2Bp4/8/1b3N2/8/b4PPP/6K1 b - -,b4d2
1r1r2k1/pp3p1p/2nb2p1/8/2B4N/P4PP1/1PP4P/1K1R3R b - -,b7b5
r3k2r/pp1n1pp1/1qp1pn1p/3p4/1b2P1P1/2NP2QP/PPPB1PB1/R3K2R w KQkq -,e1g1
1r4k1/p4ppp/b2pP3/3Rq3/1rp1P1B1/6P1/PP2QP1P/1R4K1 b - -,e5f6
6k1/7p/1P4n1/B1p1b3/3p1p2/p2P2P1/1r5P/3B1R1K w - -,d1f3
8/pk5p/1p1P1n2/6B1/8/P7/1P3P1P/4K3 b - -,f6d7
5rk1/2P5/p2B4/1p1P4/1P2q3/7K/R3B3/8 b - -,e4h7
8/1p3rk1/4qpp1/Q2pp3/8/1P6/PB6/1KR5 b - -,e6d7
r4rk1/p1pq1ppp/2n1bb2/1p1pp3/4P2P/2PP1Q2/PPBN1PP1/R3K1NR w KQ b6,f3g3
r1b2r1k/ppp1q1bp/1n2p1p1/3p4/1PPP4/1Q3NP1/PB2P1BP/R3R1K1 w - -,c4c5
4r3/ppp2Npk/8/5P1p/7q/1BN5/PPP4P/R4R1K w - -,b3e6
r2q1rk1/1bp1npb1/pp1pp3/3PP1B1/P1B5/2N3Q1/1PP2P1P/4R1K1 b - -,e7f5
r1b2rk1/pp1n2pp/2p2q2/4pp2/2PP2n1/3NPN1P/P3BPP1/R2Q1RK1 b - -,e5e4
r3nrk1/pq1pb1pp/np2pP2/8/Q2P4/P4N2/1P1N1PPP/R1B1R1K1 b - -,e8f6
2rqr1k1/1b2nppp/p2p1n2/1p2pP2/4P3/PNNBQ2P/1PP3P1/3R1RK1 w - -,f1f3
1Q6/P4pbk/4b1p1/3p2Pp/4p1qP/1P2P3/3n1PB1/2R2K2 w - -,f1g1
rq3rk1/3nbppp/1pbpp3/pP6/P1P1PP2/2N1B1P1/4R1BP/2RQ2K1 b - -,c6b7
7k/3n3p/ppp1qp2/2p1p2N/P3P1rP/1P1P1R2/2P2QPK/8 b - -,g4g6
r1bqr1k1/3nbpp1/5n1p/pp1p4/3P1BP1/3BP2P/PPQ1NP2/R3K2R w KQ -,f4c7
rnbqkb1r/pp1ppppp/5n2/2p5/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq -,e7e6
1r2r1k1/1bq1ppbp/6p1/2Pn4/1p6/1P3NP1/2QB1PBP/2R1R1K1 b - -,d5c3
3n4/8/1p3k1p/p1pBp1p1/8/2P2K2/1P1B2PP/8 w - a6,f3e4
4r2k/1bpn2p1/pb4p1/1p1p1r2/3Pp3/2P3RN/PPB1NPP1/R5K1 b - -,d7f8
8/8/1pk5/8/pPPK4/P2R2P1/8/3r4 b - -,d1b1
r2qrbk1/1b3ppp/1pp2n2/p2pB3/3P4/PPN3P1/4PPBP/R2QR1K1 w - -,d1c2
4rrk1/pb1n1pbp/5np1/qp2p3/4P3/1P2BNNP/P4PP1/R1Q1RBK1 w - -,e3d2
r4rk1/pp2Qp1p/6p1/q2P4/2B3b1/4PN2/P3KPPP/2R5 w - -,d5d6
r1bq1rk1/1p2bppp/p1nppn2/6B1/3NP3/3B4/PPP1NPPP/R2Q1RK1 w - -,d4c6
r1bq1rk1/1p3pbp/2pp1np1/2nPp1B1/2P1P1P1/1pN4P/P2NBP2/R2QK2R w KQ -,a2b3
2r1r3/pp1q1pk1/4b2p/2NnR1p1/2pP4/2P2P2/P3Q1PB/4R1K1 b - -,c8c5
3Q4/qB2pk2/Pn1p1pp1/3P3p/2p1P2P/1P4P1/5PK1/8 w - -,b3c4
1r3rk1/2qnbppp/p2p4/2nP4/2P2R2/1P2B3/2BNQ1PP/R5K1 b - -,g7g6
8/3q2k1/1p1np3/pP1p1p2/P2P1P2/4PN2/6PK/2Q5 w - -,f3e5
1R6/8/5k2/1p6/1np5/P2r4/5K2/8 w - -,a3b4
7k/1p4p1/p6p/8/6q1/P7/1P1Q1PK1/8 w - -,g2f1
2kr3r/4bnpp/p3p3/P3Pp2/3p1P2/1p1PBKP1/1P3N1P/R4R2 w - -,e3d2
rnbqkb1r/ppp3pp/4pn2/3p1p2/2PP4/6PN/PP2PPBP/RNBQK2R b KQkq -,c7c6:f8d6
8/6k1/8/3p3P/p5N1/Pb6/2R3P1/6K1 b - -,b3c2
4r1k1/p4ppp/nrq5/3p4/2pP4/BnP1PP2/4R1PP/R3Q1KN w - -,a1d1
2bK4/4n3/p4k2/2P5/6p1/1N4P1/8/8 b - -,c8e6
3r2k1/2q3pp/4Q3/1pPp4/2n2P2/1N4P1/7P/3R2K1 b - -,c7f7
r1bqr1k1/2pnbp1p/1p1p1npB/p2Pp3/1PP1P1P1/P1N2N1P/4BP2/R2QK2R b KQ g3,c8b7
r1bq1rk1/4ppb1/nnp3p1/p2pP1Pp/P2P3P/1PN1BP2/B2QN3/R3K2R b KQ -,c8f5
r3kb1r/pQ1qpp1p/3p1np1/3P4/8/2P1BN2/P4PPP/1R3RK1 b kq -,d7b7
8/3kP3/3P1K2/3R3p/7P/6P1/8/5r2 w - -,f6g6
r4r2/1pp4k/3p1qp1/3Ppb1p/2P1B2P/4bP2/Pp2Q1P1/1K3R1R w - -,e2e3
r4bk1/3q1p2/p7/2pPnN1p/6pP/6Pn/RPQ1PP2/4RK2 w - -,f5e3
r1b1r1k1/3nq1pp/2p5/1p1p1p2/p2Pn3/P1NBP3/1P1N1PPP/2RQ1RK1 w - -,c3a2
6n1/p1q2pk1/1p2r1p1/3pP3/5Q2/P2B1PK1/1P4P1/4R3 w - -,f4d4
8/8/1R6/6pp/5k2/7P/4r1K1/8 w - -,g2f1
8/ppp1k3/8/6p1/3P2Rn/1KP5/PP3rp1/6R1 w - -,g4g5
5R2/8/4k3/1p3pB1/3Pp1p1/1P1n2P1/P3K2r/8 w - -,e2e3
8/8/3k2p1/1p3PP1/1P1NK3/8/8/5b2 b - -,g6f5
2k3r1/2p2p2/b3p3/2B4p/2P5/P2r1p2/5RPP/4R1K1 w - -,f2c2
6r1/8/8/3k1K2/5P2/7R/8/8 w - -,h3d3
6k1/3nppb1/1p1p2p1/qNnP3p/2P1P3/Q3BPPP/4B1K1/8 w - -,g2f2
r2q3k/pp2b1p1/1np2r1p/5B2/3P2Q1/8/PP4PP/R1BR2K1 b - -,d8d5
8/5pkp/3p2p1/2rPq3/4P3/3Q2PP/5P2/5BK1 b - -,f7f5
r5n1/3bqpbk/3p2p1/1p1Pp2p/nPp1P3/2P1B2P/2BQNPPN/5R1K b - -,g7h6
8/1pb1kpp1/p3q2p/2P5/1P2Q3/P3NPPP/6K1/8 b - -,e6e4
r1bqkbnr/pppp1ppp/8/4n3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -,g1f3:f2f4
r1bqr1k1/pp2bppp/5n2/2np4/8/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,e7f8
r4rk1/1p1n2bp/4b3/q3pp1B/p1P5/2N1B3/PP3QPP/3R1RK1 w - -,d1d6
3b3k/pp1b2pp/2p1p3/4Pp2/1PB2P2/P3P3/1B3KPP/8 b - -,a7a5
5rk1/1pp4p/1nbpqpp1/5PP1/4P3/1PQ3NP/r1P5/3RRBK1 b - -,e6e5
1r3rk1/1bqnbp1p/pN2pnp1/P1p5/1p2P3/1N1BBP2/1P2Q1PP/R1R3K1 b - -,f8d8
1R6/5kpp/p7/3p1r2/5r2/2P5/P5PP/4R1K1 w - -,b8b7
r3b3/3n4/3P1bk1/5p2/8/p2P1KP1/7R/B7 w - -,d3d4
4r3/5k2/2b2qp1/1pBp3p/3P1p1P/P6Q/5PP1/4R1K1 w - -,e1c1
rn1qkb1r/pp3pp1/2p1pn2/7p/3P3P/2P3N1/PP2QPP1/R1B1K1NR b KQkq -,f8d6
