2b5/6pp/8/3k2B1/5P2/4n1P1/7K/8 w - -,h2g1
5k2/1pp4p/p7/3P1Pp1/2P4r/1P4K1/P7/4R3 w - -,f5f6
5k1r/p4nR1/bp1r1p2/2p1pP1p/2P1P2P/1nP5/P3BB2/2K3R1 w - -,a2b3
3r2k1/1pbn1p2/2p3pp/p7/P2B4/2P2BP1/1P3P1P/4RK2 w - -,f3g4
8/8/4kp2/1p1r2p1/1K4P1/5R1P/8/8 w - -,f3e3
r1r2bk1/p4p1p/1p2p1p1/nB1bP3/3P4/4B2P/PqN1QPP1/R1R3K1 w - -,a1b1
8/5pk1/5qpp/8/2p3P1/7P/PP3Q2/5NK1 b - -,f6e5
4k1q1/8/4b3/1pBpQnp1/p2Pp3/2P4P/8/6NK b - -,e8f7
r2qkBr1/p4p1p/4p1n1/3p1N2/8/1P5P/P2Q1PP1/R3R1K1 b q -,g6f8
5rk1/2q2ppp/pr1p4/3Pp3/1n2P1B1/4PQ2/3R2PP/5RK1 b - -,a6a5
8/3n4/2bP2k1/p1p1p2N/Pp3pP1/1P5P/2PR4/6K1 w - -,g1f2
1q6/3p2pp/p2N1pk1/1p1Rn3/3R2B1/P5PP/1P4K1/8 b - -,h7h5
2b1r1k1/p4p1p/5np1/2p1q3/2B5/1P3QNP/P4PP1/3R2K1 w - -,c4b5
4r2k/1B1b2bp/1p6/3Q4/2Pp1qp1/B7/PP3PP1/3R2K1 b - -,e8e2
r3qnk1/1b4pp/1p3n2/p1b5/P1p2B2/2N2NP1/1P2QPBP/R5K1 w - -,e2c4
2rq1rk1/3n1pbp/p1b1p1p1/2Pp4/8/2N1BN2/PP3PPP/2RQR1K1 w - -,b2b4
r3qnk1/5p1p/p1b2bp1/2Pp1p2/3P1B2/3N1N1P/P2Q1PP1/2R3K1 b - -,f8e6
2rbk2r/1p3ppp/2n5/1p1N4/6b1/5N2/1P2BPPP/R2R2K1 w k -,e2b5
2b3k1/5pp1/7p/pPNp4/3P4/2n4P/5PP1/6K1 w - -,b5b6
2r1r1k1/p4p2/2pb2p1/3p2qp/P2P4/2NQP1P1/5PKP/RR6 w - h6,h2h4
8/6B1/1pk3p1/2b5/2P2Kp1/p7/4R3/6r1 b - -,g4g3
1k1r4/1p2qp2/p2p1n2/1p1Pn1p1/3Q2P1/1NPB1P2/PP6/1K5R w - -,d3e2
r7/1pp1kbpp/5p2/p1P1p3/P2nP3/2K1N3/1P1RBPPP/8 b - -,a8d8
r4rk1/1bq1bppp/1p2nn2/p1ppN3/3P1P2/2PBB2P/PP2N1P1/R2QR1K1 b - -,b7a6
6k1/p4p2/5Bp1/2p3P1/5P1p/1P4q1/P2r2Q1/5RK1 w - -,g2g3
r2r3k/1p3Q1p/1q2p1p1/1b1Pb3/2B1P3/7R/P4PPP/5RK1 b - -,e5g7
1R5R/pp3k2/2p1p3/4P1r1/8/8/6r1/1K6 b - -,b7b6
6k1/5p2/6p1/2bPQ2p/7P/3qN1P1/5PK1/8 w - -,e3f1:e5e8
r1b1r1k1/ppp2pp1/1b2n2p/4P3/4N3/1BP2QPq/PP3P1P/R1B1R1K1 w - -,c1e3
5r1k/q2N4/p2P2p1/1p1R1p1p/3b4/4R1P1/PPP3BP/1K6 w - -,d7f8
