6k1/7p/4N1p1/1p4P1/4B3/1P4K1/r6P/8 w - -,e6d4
5rk1/1ppq2bp/3p2p1/1P5n/2Pp1Nb1/3P2P1/4P1BP/1RB2QK1 w - -,f1e1
6k1/1p2npb1/6p1/4P2p/2b1NP2/2PrB3/1P3K1P/R4B2 b - -,d3e3
r4r2/1q2bkp1/p6p/np1R4/1P2Q3/4B1P1/P3PP1P/2R3K1 b - b3,e7b4
r1bq1rk1/ppp1npb1/2np2pp/4p3/4P3/2NPBNP1/PPP2PBP/R2Q1RK1 w - -,d1d2
r1q1rnk1/p3bppp/2p5/4P3/4NB2/5NP1/PPQ2PKP/3R4 b - -,c6c5
1r2q1k1/1pr4p/p6R/2Pp1p2/P2Pp1pP/B3PnP1/5PB1/1R1Q1K2 b - -,b7b5
r3r1k1/p1q2pb1/2p1b1pp/2Bnp1P1/4N2P/5P2/PPPQ4/2KR1B1R b - -,h6h5
5k2/5pp1/1p1r3p/p1pP4/P6P/2P2KP1/5P2/1R6 b - -,d6d5
8/p5b1/3k3p/2p2pp1/P3R1P1/3KP3/1r2N1P1/8 w - -,g4f5
8/3k2pp/4bp2/p2P4/2p3P1/2p1Nn2/1r5P/R1B3K1 w - -,g1f1
rn1qk1nr/pp3ppp/2pbp1b1/7N/3P1N2/8/PPP2PPP/R1BQKB1R b KQkq -,d6f4
r2q1rk1/pb2npbp/1p1pp1p1/2p5/1PPnP3/P1NPB1P1/4NPBP/1R1Q1RK1 b - b3,f7f5
r1b2rk1/1p4pp/p3p1q1/2bp4/4P3/1P1QnPB1/P1PN2PP/2R1KB1R b K -,c8d7
8/p3ppk1/3p2p1/1PqP3p/3b3P/p2B1QP1/P4P2/6K1 b - -,c5c3
8/8/6p1/5b1p/5R1P/5P2/5kPK/6r1 w - -,f4b4
6k1/8/6K1/8/8/8/7b/5R2 w - -,f1f2
r2q1rk1/p5pp/2p1pn2/2bp4/8/P7/1BPPQPPP/RN3RK1 b - -,f6e4
2B5/2k3p1/p4b1p/4q3/1pn5/8/PPP2Q1P/1K1R4 w - -,f2a7
5q1k/7p/2p2Ppn/1p1b4/p4QP1/P6P/1PP1R2K/8 b - g3,h6f7
8/8/6R1/5p1P/8/5k2/7K/r7 b - -,f5f4
5k2/1R6/3P2np/8/1P6/6N1/5KPP/3r4 w - -,g3f5
6k1/7R/2p3p1/6Np/2P3bP/1P4P1/r7/4K3 w - -,h7c7
2r5/1p4k1/3p2p1/PPrNbp2/2P1p2p/1B2P1P1/3R2KP/8 b - -,c5d5
r4r1k/3nqpbp/2p1pnp1/1pPp4/pP1P1P2/3BPN2/PBQ2P1P/R3K2R w KQ -,e1c1
1R6/8/6kp/1P6/6P1/6PK/1r6/8 w - -,b5b6
k2r4/1b1PNp2/pp6/6p1/2pn2Br/8/PPP3PP/R4R1K w - -,g4f5
