1k6/R4r2/8/2p5/1b2R3/4P3/KP6/8 b - -,b8a7
r2qk1nr/pp1n1ppp/3p4/2pPp1b1/2P5/2NB1P1P/PP3PP1/R1BQK2R w KQkq -,c3e4
r6k/1R1b3p/4nn2/p2p1pp1/4p3/2N1P1PP/P4P2/1R3BK1 b - -,d5d4
r2qkb1r/pp1n1ppp/2p1p1n1/3pP2B/3P4/2P4P/PP3PP1/RNBQ1RK1 b kq -,f8e7
2r2rk1/1pq3p1/p2p3p/3P1pb1/2N3n1/1BP3Q1/PP4PP/3R1R1K b - -,c8d8
rnbqkb1r/pp2pppp/5n2/2pP4/5P2/5N2/PPPP2PP/RNBQKB1R b KQkq -,f6d5
2r1r1k1/p2b4/2p3p1/3p4/3B3P/2N5/PPP2PP1/3R2K1 w - -,d4a7
2rr2k1/2n1qp1p/1p1p2p1/p2Rp3/2P5/1P2PP2/PQ2BP1P/3R3K w - -,d5d2
rn1q1rk1/pp2ppbp/2p1bnp1/6B1/3P4/2NQPN2/PP3PPP/R3KB1R b KQ -,d8a5
8/7p/3pk3/1p6/1P1B2PP/b1P5/P1K5/8 b - -,e6d5
rn2kb1r/ppp1pppp/5n2/3q4/6b1/5N2/PPPPBPPP/RNBQK2R w KQkq -,e1g1:h2h3:d2d4
rn1qk2r/pbppbpp1/1p2p2p/8/3P4/2PBPNP1/PP3PP1/RN1QK2R w KQkq -,b1d2
6k1/4R2p/r5p1/3Nbp2/3p4/6P1/5PKP/8 b - -,e5g7
r4rk1/p7/3p1b1p/1q1P2p1/1pbB1p2/5N2/PPPQ2PP/1K2R1R1 w - -,e1e6
r2k3r/ppb2ppp/2b1pn2/8/2N5/P1B1P3/1P2BPPP/R3K2R w KQ -,c3e5
7r/p3kp2/1pb1p3/3pP1p1/3P4/2P1N3/P3KpPr/1R5R w - -,h1h2
r2q1rk1/2pnbppp/p1n1b3/P3p1B1/1p1pP2N/1B1P4/1PPN1PPP/R2QR1K1 w - -,g5e7
r1q2rk1/ppp2pbp/2n3p1/4n3/2N1P3/2P2NP1/PP4KP/R1B1QR2 w - -,c4e5
r2r2k1/2Q2p2/6pp/4P3/5Pn1/1P6/1PP1b1BP/1K2b3 w - -,g2a8
5rk1/p4pp1/2p1b2p/2P5/1r6/4PN2/P1R2PPP/5RK1 b - -,e6d5
3rrbk1/1p1q3p/p1n1bp1B/2pnpN2/4p3/2PP2PB/1P2Q2P/R4RK1 w - -,d3e4
1r5k/3q2b1/p1rp3p/3Rp1pP/1p2PpP1/1P1Q1P2/1PP3R1/1K2B3 b - -,d7c7
2br1r1k/7n/pq6/1p2Q2P/n1p1P3/2P3N1/PP2B1PK/R4R2 b - -,h8g8
r4rk1/p2qpp2/1pb4b/4PP2/2N3p1/1P6/1B2Q2P/3R1RK1 b - -,d7b7
2kr1b1r/pp1n1ppb/2p4p/4n2N/5N1P/2P1B3/PP2BPP1/R2K3R w - -,d1e1
r3r1k1/2p2p1p/6p1/3p4/1Pb5/p1P2P2/P1NR1KPP/R7 b - -,c7c6
3R1bk1/1pr4p/5rpB/2P5/5PP1/3p4/4R1K1/8 w - -,e2e8
r2q1rk1/1pp3pp/p1n1pn2/2p1p3/4P3/P1NP2N1/1PP2PPP/R2Q1RK1 b - -,c6e7
r1bq1rk1/pp1n1pbp/2n3p1/2p1pP2/3pP3/3P1NP1/PPP1QNBP/R1B2RK1 b - -,f8e8
r2rbnk1/1p4p1/p1nbpq1p/3pN3/1P1P4/P7/1BB2PPP/R1NQR1K1 b - -,d6e5
r1b2rk1/1p4pp/p1pq1p2/3n4/2Bp4/P5B1/1PQ2PPP/R2R2K1 b - -,d6d8
8/1p5p/p2kp1p1/4b3/4K3/1B4P1/P1P4P/8 w - -,a2a4
