8/7k/2R5/7P/7P/2p1K3/8/2r5 b - -,c1e1
rnbqkbnr/ppp2ppp/4p3/8/2p5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,g8f6:a7a6
8/8/8/7p/1r2pR1P/6P1/4kPK1/4b3 w - -,g2g1
r1bqr1k1/1p2p1bp/2pp1np1/p2P1p2/PnP5/BPN2NP1/4PPBP/2RQ1RK1 b - -,e7e5
r4r2/1pp2kn1/n2p3R/pN1Pp1p1/2P1P3/4K3/PP2B1P1/7R b - -,f7e7
4r2k/p5rp/1ppq1pn1/8/2P1PP2/2NQ2R1/P5PP/4R2K b - -,d6d3
1rk2b1r/4qp1p/p1Bp4/Q3p3/8/2P5/P4PPP/1R3RK1 b - -,e7a7
4r1k1/5p2/1qn1bQp1/1p6/1P2N3/P2p4/6PP/2R1K2R w K -,f6f2
8/5k2/7n/1p4pP/1PpB2P1/2P2K2/8/8 w - -,d4b6
rn1q1rk1/pbp2ppp/1p3n2/3p4/1b1PP3/2NB1N2/PPQ2PPP/R1B1K2R w KQ -,e4e5
5Q2/P1k1R2p/3p4/2p2p2/7p/1P4qP/6b1/6K1 b - -,c7b6
8/5bk1/p1R3p1/1p6/1P1N4/P1P1K3/8/5r2 b - -,g6g5
r1r3k1/2q1bppp/ppbppn2/8/2Q1P3/P1N1B1P1/1PP2PBP/R3R1K1 w - -,h2h3
1r3nk1/1bp1qrb1/p2p1p1p/N1PPp1pP/2B1PnP1/1QN1BP2/P7/2KR3R b - -,f8d7
r1b3k1/1p2q1pp/n1p5/p3p3/2P1N3/1P2P1P1/P5BP/R4QK1 b - -,a6c5
2R5/r6p/1p1q2pk/p1pB2N1/P1P2N1n/1P6/5P2/4R1K1 w - -,f4e6
r2qrbk1/5pp1/p1bpn2p/1p2p3/4P3/1BP1N1NP/PP3PP1/R2QR1K1 w - -,d1g4
3q1rk1/4ppbp/1rbp1np1/8/1P6/1P4P1/1B1QPPBP/R2N1RK1 b - -,c6g2
r1r3k1/1p2pqbp/6p1/3p4/1PR1BP2/4B3/3Q2PP/1R4K1 b - -,d5c4
4kb1r/pq3ppp/nprPp3/1NB5/2P5/5Q2/5PPP/R3R1K1 b k -,b6c5
2r5/8/1p4k1/1PbR4/4pr2/8/5PK1/3R1B2 w - -,d1d2
2b3k1/q3bp2/p3p1p1/P2nP3/1p1pQ3/3B1N2/1P1B1PP1/6K1 b - -,a7c7
r1bq1rk1/pp2bppp/1n6/3pP3/3Q4/1N3N2/PP1B1PPP/R4RK1 b - -,c8e6
r2qk2r/pp1nppb1/4b1p1/2ppPB1p/3P1B1P/2N2P2/PPPQN1P1/2KR3R b kq -,g6f5
5r1k/rq4bp/3p2p1/PR1Pp3/5n2/1N1B1P2/1P5P/1K1R1Q2 b - -,b7e7
6k1/p1p4p/1p1p2pn/P2Pp3/1PP5/5r2/5P1P/3RR1K1 b - -,h6f5
4n3/1pk1rpp1/2p5/p5p1/2Pr4/P1K2PP1/1PB4P/3R4 w - -,d1d4
8/1p3pp1/p2k3p/8/PnBP1P2/6P1/3K3P/8 b - -,f7f6
