8/4k3/3bpp2/8/2K3Pp/3N1R1P/8/1r6 w - -,c4d4
8/p1r2kp1/Rn5p/3p4/P7/1P3PP1/2P2KP1/4N3 w - -,f2e3
1r5k/1pQ1b2p/2p3p1/2q1p3/p7/P3P2P/5PPB/3R2K1 w - -,c7b8
1b1r1qk1/pp5p/1np1rNp1/8/3P1P2/P5P1/1BQ3BP/4RRK1 b - -,e6f6
1n2r3/1R3pkp/3p2p1/b2P2B1/2p1N3/P6P/5PP1/6K1 w - -,g5f6
rnbqr1k1/ppp1ppbp/3p1np1/8/3PP3/2P2N2/PP1NBPPP/R1BQ1RK1 b - -,e7e5
1q1rrbk1/6pp/1np1npb1/1p2pN2/1P2P3/5NPP/2PB1P2/R1Q1RBK1 b - -,g6f7
8/8/1p6/p1k5/8/2Q3Kp/8/8 b - -,c5b5
8/8/5q2/3b2p1/8/Q3p2P/3k2P1/6NK w - -,a3a5
1r3rk1/p1ppbpp1/2b5/2p1P2p/2P2Pn1/PPB3PB/3N3P/3RR1K1 w - -,h3f1
1r4k1/1qr1b2p/3N3P/p1pRp3/P1P2p2/1P3P2/2Q3P1/3R2K1 b - -,b7b3
3k4/R7/1KB1r3/7p/8/8/8/8 w - -,b6c5
1k4rr/p2qn3/1p3p1p/3p1P1P/1PpPpP2/P1P3NQ/7R/6RK w - -,h2g2
1q2nrk1/5pbp/r3b1p1/p1pNp3/2P1BP2/7P/RP1BQ1P1/R5K1 w - -,d5e7
3r3k/pp1q2pp/8/3r1p2/2pPp2P/4P1P1/PPQR1P2/1K1R4 b - -,d8c8
8/1p2k3/8/p1r2ppp/P7/1P1R1K1P/5PP1/8 w - a6,g2g3
8/7Q/4P3/kB4q1/P1pb4/2P3p1/1P4K1/R4R2 w - -,b2b4
7r/pp4pP/4k3/3pp1b1/8/7P/PP2B1P1/R5K1 b - -,h8h7
r3qr1k/pppbp1b1/n2p3p/3P1pp1/1PP3n1/1QN1PNP1/PB3PBP/1R3RK1 w - -,c3e2
b5k1/p5R1/1p3P2/nN5p/P6r/1B6/1P4P1/6K1 b - -,g8h8
2rr1bk1/pbq2ppp/1p3n2/2p1p3/P1N1P3/1nP1N1P1/1P1B1PBP/1Q1RR1K1 w - -,d2c1
4r1k1/pp2bppp/2p1bn2/2q5/1n2P3/P3N1P1/1P2QPBP/R1BN2K1 b - -,b4a6
5b2/p4k1p/1p2p1p1/8/3Pp3/4BP1P/P1n1K1P1/2N5 w - -,f3e4
8/6p1/2Pk1b1p/1K3R1P/1N1p4/P7/1r6/8 w - -,b5b6
8/p4pkp/3R2p1/1b2p3/2p5/8/PPP3PP/2K5 w - -,c1d2
r2qk2r/pp1nbppp/2p1pn2/8/3P4/2NQ2PP/PPP2PB1/R1B1K2R b KQkq -,e8g8
8/8/5k2/P7/r4PR1/7P/5pK1/8 b - -,a4a5
6k1/5b2/p1p1Q3/q2p3p/1p1Pp3/4P2P/6P1/5NK1 w - -,e6c8
r4r1k/5ppp/p2p1b2/4p3/2q1P2P/2PRB3/P1P1QP2/4K1R1 w - -,e2g4
rn1qk2r/pp3pp1/2pb3n/3pp2p/4P1b1/2PP1NP1/PPQN1PBP/R1B1K2R b KQkq e3,g4e6
3kr3/8/pq1p4/4p3/4Q3/P7/2P3PP/5R1K w - -,h2h3
2r5/bpp5/p1p2PR1/2P1P3/8/1N5p/PP2KP2/7k b - -,c8e8
r1q2rk1/pppb1pb1/3p1np1/4n2p/3NP3/1PN1BPPP/P1P3BK/R2Q1R2 b - -,f8e8
2r2rk1/3Rbppp/p3p3/1pq1p3/2P1P3/1P3N2/P1R1QPPP/6K1 b - -,f8d8
2R5/8/5pk1/2P5/2r2PK1/6P1/8/8 b - -,f6f5
8/2N2P2/8/3K4/8/b3k3/8/8 w - -,c7e6
r2r1n2/6pp/pp2kb2/2p2p2/2P5/2B1PN2/PP2KPP1/2RR4 w - -,c3f6
r2qr1k1/pb1nbppp/1pp1pn2/3p4/3P1B2/1QP1PN1P/PP1NBPP1/R4RK1 w - -,a1d1
3r3k/3r1p1p/2q1pPpQ/pp2P3/1P1P4/8/P3R1PP/4R1K1 b - -,d8g8
2r2rk1/4q2n/p4p2/3RpPpN/b3P1P1/8/P3Q1B1/1R4K1 b - -,e7a7
3Q3R/3rq1r1/5kp1/2p2p2/pnP4P/N7/PP3P2/KR2N3 w - -,d8e7
5rk1/p2bq1b1/1r1p1n1p/2pP2p1/2P5/3BPN1P/P1QKR1PB/1R6 w - -,b1b6
r1bq1rk1/pp2ppbp/2np1np1/8/2BPP3/2N2N1P/PP2QPP1/R1B1K2R b KQ -,a7a6
