8/7k/3N2p1/1P2P3/4P2p/6RP/6PK/r7 b - -,h4g3
8/1kp4p/p2qPpp1/1p6/1P1r4/5P1P/P1Q1R1P1/7K w - -,e2e1
N2r2k1/pp4pp/5B2/3PK3/4P1b1/1PN3P1/P2q2BP/R6R b - -,g7f6
2k1r3/ppp1rpp1/4bn1p/8/3N4/1PP5/P2N1PPP/R3R1K1 w - -,d4e6
r4rk1/p1pn1pb1/1p1pq1pp/4p3/2PPP2P/B1P2NP1/P1Q2PK1/3R1R2 w - -,d4d5
6k1/p7/8/1N6/1n3K2/1P1p1pr1/P7/2BR4 b - -,g3g2
R7/1k6/8/1p6/8/2K5/P6r/8 w - -,a8a5
3r1rk1/pp3q2/2nnR2p/2Pp1pp1/3P4/2NQ1B1P/PP3PP1/3R2K1 b - -,d6e4
r3r1k1/1p1n1p1p/p2p2p1/2pP4/P3PP2/B1Pb2PP/3N2K1/R3R3 b - -,b7b5
rn1qk2r/pp2bppp/2p1pn2/3p1b2/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,e8g8:h7h6
8/5p2/1R2nkpp/8/4KPPP/8/8/8 b - -,f6g7
4kr2/2q2pQ1/4p3/p1p4p/1pP5/PR4P1/1PP2P2/6K1 w - -,g7h6
1rr3k1/5pp1/8/1n1R3p/1P6/5PP1/5PK1/1B3R2 b - -,h5h4
6k1/pp4pp/4p3/2NnP3/1P1PQ1P1/P1r5/2q2b1P/2B2RK1 w - -,f1f2
3kr3/q1p2pp1/1pPb1nb1/pP1P4/P3p2r/4P3/N2R1QB1/2R2NK1 b - -,e8h8
2k2b1r/2p3pp/p1p5/Pq2p1Q1/1P2N3/2Pr1P2/6PP/R4RK1 b - -,b5d5
r1bq1rk1/4npbp/p2B2p1/1p6/2P1P3/2p2N1P/P1B2PP1/R2Q1RK1 b - -,b5c4
r3qrk1/1pp1b1pp/1nn1b3/1p2pp2/8/P1NP1NP1/1B2PPBP/2RQ1RK1 w - -,c3b5
r1b1kn1r/pp3p1p/2p2qpQ/2p1p3/4P3/3P1N2/PPP1NPPP/R3K2R w KQkq -,h2h3
4r3/1r3pbk/p1pB2pp/4P3/2P1N1n1/6P1/P2q1PK1/3RR3 w - -,d1d2
rn1q1rk1/1bp1npb1/pp1pp1pp/6B1/P1BPP3/2N2N2/1PP1QPPP/R3R1K1 w - -,g5h4
1k5r/pp1b1q2/2nb1p2/2p1pP2/2PpN3/P2P1N2/1P1B4/RQ2KBr1 w Q -,f3g1
b1rr2k1/2qnbppp/p2ppn2/N7/1PP1P3/2N1B3/2Q1BPPP/R2R2K1 b - b3,c8b8
q4rk1/3n2b1/2b1p1pp/p1p1P3/2PpNB1P/6P1/1P2QP1K/3R3B b - -,g8h7
2r5/k1r3p1/7p/n3P3/1p6/1P1Q2R1/q1P2P1P/1NK5 w - -,d3d4
r3r1k1/p1pB1pbp/bp1p2p1/3P4/2PN4/2n1B2P/P4PP1/3RR1K1 w - -,d1d3
r1bq3r/pp1ppk1p/2n3p1/3Qn3/8/2P2N2/PP3PPP/RN3RK1 b - -,f7f6
8/5pp1/8/R5Pb/4BK1k/8/p3r3/8 w - -,e4d5
rnbqkb1r/p3pp1p/2pp1np1/1p6/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq b6,c4b3
2k5/p2qr1p1/2p2p1p/1pp2P2/3p1Q2/1P1PrRPP/P1P3P1/5RK1 b - -,c8b7
r4r2/pp4k1/3p3p/2NPb1p1/2P4n/3B4/PP3PP1/R3R1K1 b - -,f8f7
5k2/3R4/8/r4PK1/8/8/8/8 b - -,a5a6
8/4kp1R/p5P1/1p6/1P5p/P1p5/5r2/1K6 w - -,g6f7
3r4/4qppk/2p1b2p/bp2p3/4P3/5P2/1PPNQBPP/3R3K w - -,c2c3
r4rk1/p3Rpbp/n2B2p1/N4b2/2p5/8/NP3PPP/2KR4 w - -,a5c6
r1b3k1/4qpb1/1r1pnnpp/p1p1p3/2P1P3/BP1B1NNP/P2Q1PP1/1R2R1K1 b - -,f6h7
6k1/5p2/4p2p/r3P3/1R3p2/5KP1/7P/8 w - -,f3f4
8/8/7n/7P/3n4/6K1/4k3/8 b - -,e2e3:d4e6
1r2N2k/3n1rb1/p1B4p/4p1p1/5pb1/6P1/PP1R1P1P/2R1B1K1 w - -,e8g7
2rq1rk1/pR4bp/2n1bpp1/2p1p3/7Q/P1NP2P1/3BPPBP/5RK1 b - -,f8f7
6r1/8/3nk3/R6p/5P2/5K2/8/8 b - -,h5h4
r2q1rk1/3n1ppp/p1p1p3/Pp2P3/3P1PPb/1N1Q4/1P5P/R1B2RK1 b - -,f7f6
6k1/R7/4p2p/3P2p1/8/3q1PP1/6PK/8 b - -,e6d5
8/1kb5/1p1p1p1r/nP1Pp1p1/PK2P1P1/5PB1/6B1/6R1 w - -,g1c1
r7/p3kp2/3p4/1N1Pp3/2p1P3/Pb3P2/3KB3/8 w - -,b5c3
8/2k5/1p1rpp2/p7/2Pp1PP1/1P1R1Kp1/P3R2r/8 b - -,h2e2
8/5r2/3k4/R7/8/5NK1/8/8 w - -,g3g4
q3nr2/5pbk/7r/2pPp2p/2N3pP/2N3P1/PP1Q1PK1/3RR3 w - -,g2g1
1rrq2k1/5p1p/6p1/2p1Qb2/p1Ppn3/P2P1PP1/1PN4P/1R2R1K1 w - -,f3e4
r1b2nk1/ppq2ppp/2p2n2/3p4/P2P4/3B2NP/1PP2PP1/R1Q1N1K1 w - -,e1f3
r3k2r/pp2bppp/1qn1bn2/3p2B1/8/1QN2NP1/PP2PPBP/R4RK1 w kq -,b3b6
8/5k2/5p1p/1R4p1/2P3P1/1p3PK1/1r4P1/8 b - -,f7g6:f7g7
1r2r2k/2p4p/3p3B/1P1PpP2/P3n2q/8/5P1p/1R2QR1K b - -,e8g8
3r1r1k/ppq1bppp/3p4/1P1Qn3/2B2B2/2P5/P5PP/3R1RK1 w - -,c4b3
1kr3r1/pp1bbp1p/3ppp2/8/3NPP2/2NRQ1P1/PPP4q/1K4R1 b - f3,h2h5
r2qkb1r/pp2ppp1/2np1n1p/2p5/2P1P1b1/2NPBN2/PP2BPPP/R2QK2R b KQkq -,e7e6
8/8/p1N2p1p/1p2k2P/1Pn2pP1/P4P2/8/5K2 b - -,e5e6
r2qrnk1/1p2bppp/2p2n2/3p1QB1/p2P4/P1N1P3/1P1N1PPP/3RR1K1 b - -,f8e6
r1b2rk1/p1p1bppp/1p2q3/nP2p3/2P5/3P1N2/P2B1PPP/RN1Q1RK1 w - -,d2a5
4rr2/ppqb2k1/2pb1np1/5p2/2BP3p/2N2P2/PPQ1R1PP/1R3NK1 w - -,b1e1
r1bq1rk1/p2nbppp/2n1p3/2ppP3/1p1P4/1BP2N2/PP1N1PPP/R1BQR1K1 w - -,d2f1
r2b1rk1/ppq2ppp/5n2/3p1N2/8/2PN1P2/PP1Q2PP/R4RK1 b - -,c7d7
2rq1rk1/p3npb1/1pb4p/2p3pQ/3pP3/P1NP1BP1/1P1B1P1P/1R1R2K1 w - -,c3e2
r7/pp1Rqpk1/2p2n1b/P3pQ2/4P1r1/1PN3P1/2P2P2/3R2K1 b - -,e7e8
r6k/2p3r1/1p1p4/p2PpQpq/2P2b2/PP3P1p/1R4PP/4RNK1 w - -,g2g3
8/1p3k2/8/p3BP1p/P3p3/1P5K/4P3/4b3 b - -,f7e7
3rR3/3P4/p3Bbk1/P6p/1p6/1PpK4/6P1/8 b - -,h5h4
r4rk1/1bqn1ppp/3R1n2/4P1B1/5P2/2p5/1PQ3PP/5R1K w - -,d6f6
r4rk1/p3q2p/1p1n4/1PpPppb1/2P5/1P1Q2P1/4N1BP/4RRK1 b - -,e7g7
1b5r/1p2k3/p3Pp2/n4R1p/3pP1r1/N2B3Q/Pq4PP/R5K1 w - -,a3c2
r1b1r1k1/pp3pbp/1q1p1np1/2p1n3/2P1P3/P1N1B1PP/1P1N1P2/R2QRBK1 b - -,b6d8
r2r2k1/1p3pp1/1b3n1p/N2b4/PP1p4/3B1PP1/2PKN2P/4RR2 b - -,b6a5
r2r4/p1q1bppk/1np1p2p/1p2P3/2P5/PP4P1/1B1NQP1P/2R2RK1 b - -,c7d7
r3rnk1/pb2bppp/5n2/qp3B2/2pPP3/P1N5/1PQ1NBPP/R4RK1 b - -,a5b6
3r1r2/p3ppkp/2pp2p1/q1n5/2P1PP2/1PN2Q1P/P5P1/4RR1K b - -,c5e6
8/p4k1p/3p2p1/3P4/2PR2P1/2r4P/P5K1/8 w - -,g4g5
8/7p/p2pk1p1/1bpNp3/3rP3/1P3P1P/2R2KP1/8 b - -,d4d3
1brqr1k1/pb3pp1/1pn1pn1p/1N6/2PP2N1/P2B3R/1B3PPP/2RQ2K1 b - -,f6g4
8/k7/7p/2K1p2P/4B3/8/8/3r4 w - -,e4f3
1r1q2k1/3npp2/pN1p2pp/P1nP4/1Q3PP1/7P/2P4K/1R3B2 b - -,d7b6
1r1qr1k1/5pbp/1p4p1/2pNP3/2P2P2/1QB1P1Pb/7P/4R1KB b - -,h7h5
7R/8/4k3/3n4/6rp/8/5K2/8 b - -,e6f5
8/1p3k1p/p1p1p3/2P5/1P1qp3/5pP1/P4P2/4Q2K b - -,d4d3
r1bq1rk1/pp2bppp/2n1pn2/2pp4/2PP4/1P1BPN2/PB3PPP/RN1QK2R w KQ -,e1g1
8/8/8/4N1kp/P2K4/1PR3P1/4r3/7b w - -,c3e3
4r1k1/qR4bp/2pp2p1/p4p2/2PPnP2/P3Q1P1/6NP/B3R1K1 b - -,a7b7
rnbqkb1r/p2p2pp/1p2pn2/2p5/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq -,b1c3
8/2p4p/8/6k1/5n2/5Rb1/R3B3/1r5K w - -,f3f1
r3r1k1/pb4pp/1p2p3/3nB1b1/5N2/6P1/PPR2PBP/3R2K1 w - -,f4d5
r2q1rk1/p3bppp/np2p3/3bP3/8/P3BNP1/1P3PBP/RQ3RK1 b - -,d8c7
4r3/r6k/p1pn1qpp/PpN2b2/1P1PpP2/4P1NP/7R/3Q2RK b - -,d6c4
rn2qr1k/4p2p/p1p3p1/2P5/Np3Pp1/4Q3/PP4PP/3R1RK1 w - -,e3d4
2n2rk1/1pp4p/2b3p1/2P1pPp1/4P3/1P4NP/r7/3RRBK1 w - -,b3b4
1b6/6kp/4pp2/q2r4/3pQ3/P2N2P1/4PP1P/2R3K1 w - -,d3c5
r4r2/6k1/3p1bpp/pqpP1P2/4Q3/8/1P3BPP/1R3RK1 b - -,b5e8
5r2/3p2pk/3n3p/1ppPp3/2n1P1QP/2P5/6P1/2B3K1 b - -,f8a8
5b2/1b3pk1/4q1p1/2pN4/1p3Pp1/1P2P2P/3R1KB1/3R4 w - -,h3g4
3rnb1r/1kpqp1p1/pp3p2/3PB2p/P2Q3P/2N3P1/1PP2P2/3RR1K1 w - -,d5d6
3r2k1/1p3p2/p1p3p1/3nPnNp/2B4P/P5P1/1P3P2/K3R3 b - -,f5d4
6k1/2r5/p7/P5K1/6P1/8/1P1R4/8 b - -,c7c5
2r2rk1/1p2q1pp/p1n1p3/2Npb3/1P3nQ1/PN4P1/1B3P1P/4RRK1 b - -,h7h5
r1b2rk1/5ppp/pnn1p3/1p1pP3/1P3P2/P1N2N2/2P3PP/2KR1B1R b - -,f7f6
1R6/1P6/3p4/3k4/5ppK/8/3r2P1/8 b - -,d5c6
r3kb1r/pp1bppp1/3p1nqp/8/2BnP3/P1NQ3P/1P3PPN/R1B2R1K b kq -,d4c6
rn1qkb1r/pbpp1p1p/1p2pp2/8/3P4/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,f6f5
rnbq1rk1/pp2bppp/2p1p3/3pP3/3P4/2NB1N2/PPPQ1PPP/R3K2R b KQ -,c6c5
2R5/1p5p/3Q2p1/6n1/2P1b1k1/5n2/PPq2PB1/7K w - -,d6g3
r3kb1r/pp1n1ppp/2p1pn2/8/2P5/2N2NP1/PPbRPPBP/R1B3K1 b kq -,c2g6
7Q/p4k2/1b2p2p/3q1pp1/6P1/P4N1P/1P3PK1/8 b - -,d5c5
rn1qk2r/1p2bppp/p2pbn2/4pP2/4P3/1NN5/PPP1B1PP/R1BQK2R b KQkq -,e6d7
rnbq1rk1/p1p1bppp/1p2pn2/3P4/3P4/2N1PN2/PPQ2PPP/R1B1KB1R b KQ -,e6d5
8/8/1p3N2/pP4K1/P5B1/3k3P/3b4/8 w - -,g5f5
5rk1/p2pb1pp/4p3/2Pn4/R3Nq2/3Q1N2/Pr3PPP/3R2K1 b - -,f4b8
r1bq1rk1/1pp3bp/n2p4/p1nPpP2/1PP5/P1N1BN1P/5P2/R2QKB1R b KQ b3,e5e4
r4rk1/2nb2pp/4pn2/1p1pNp2/p2P1P2/2N1P3/PP3PBP/R4RK1 w - -,a2a3
4b3/p3r1kp/2p3p1/2Npq3/4p3/P7/1PQ4P/1KR2B2 b - -,g6g5
r2q1rk1/6pp/1p1p4/pPnPppb1/2P5/8/1PBBQPPP/R4RK1 w - -,f2f4
5rk1/p4p1p/p1QB2p1/8/4P3/1q6/bb3PPP/R3R1K1 w - -,d6f8
r1b1k2r/pp3ppp/1qn2n2/2b5/8/1QN1PN2/PP3PPP/R1B1KB1R b KQkq -,b6b3
5r2/1p2R1R1/p1kp4/6K1/1nP5/8/PP6/8 b - -,c6c5
1Q6/8/8/K7/6p1/6Pp/7k/8 w - -,b8f4
3r1rk1/2b2ppp/N1B1p1b1/8/1ppP2P1/4B2P/4PP2/5RK1 b - -,c7d6
6k1/3n4/3B1p1p/6p1/p3PPP1/1b2K2P/1P6/1B6 b - -,d7b6
8/8/1p3K2/1p6/1Pk5/P3Q3/8/4q3 w - -,e3e1
r3r1k1/p4pp1/1pn2n1p/3q4/3P4/1N2BP2/P2Q2PP/2R2RK1 b - -,a8c8
rn3rk1/1pqb1p1p/p2p2p1/2pPB3/4P3/1QN4P/PP2BPP1/R4RK1 b - -,d6e5
1r2q2k/Q2bB1bp/3P2p1/8/8/5rP1/PP3P1P/R2R2K1 w - -,d1d2
r3kb1r/ppqn1pp1/2p1p2p/7P/3PQ3/5N2/PPPB1PP1/2KR3R b kq -,d7f6
8/8/8/8/1r2BK1p/6p1/2R3Pk/8 w - -,f4f3
2r1kb1r/5ppp/3pb3/pq1NP1P1/np6/8/PPPQ1BBP/1K1RR3 w k -,e5d6
5r1k/2p3pp/3br1q1/5p2/1P1Rp3/2P4P/4QPP1/4RNK1 b - -,e6e5:f8e8
r2qkb1r/pbpp2pp/1p3n2/n2Npp2/2P5/3PP1P1/PP2NPBP/R1BQK2R b KQkq -,f6d5
2r1k2r/1b2P2p/p2p2p1/2q3P1/1p3Q2/3R4/PPP1R1PP/2K5 b - -,e8d7
8/8/p2p4/P2kbp2/1n6/1N5R/4KP2/8 w - -,h3f3
8/4qppk/2p3p1/p1Pp2P1/P4Q2/1PK2P2/6P1/8 w - -,c3d4
