8/3n4/P2p4/3P1k2/R1p2P2/7r/5KN1/8 b - -,c4c3
r5k1/1p5p/2p3p1/4pq2/p1P2P2/6Q1/PP5P/4R1K1 w - -,e1e5
r2qk2r/pp2nppp/2n1p3/4Pb2/1bBN4/2N1B3/PP3PPP/R2QK2R w KQkq -,c4b5
r3k2r/1bq1bp2/p2ppnp1/1pn5/3NPP1p/P1NB4/1PP1QBPP/4RRK1 b kq -,a8c8
r3k3/1R4Bp/2p5/b7/5p2/5P2/P6P/2K5 b - -,a5d8
8/8/2k1r1p1/2p5/2Pp2P1/1P1K2b1/2PB3R/8 w - -,h2g2
2r3k1/7p/3q1pp1/1P1Pp3/1bB1n1P1/4B2P/Q7/5RK1 w - -,c4d3
8/8/1pk1pB2/2b2p1r/KpP2P2/P4R2/8/8 w - -,a3b4
2k1r2r/1p4pp/p2R1p2/2p2b2/8/2N5/PPP2PPP/3R2K1 b - -,f5c2
2rqr1k1/1p2pp1p/p2pb1p1/8/3bNP2/4B2P/PPnQ2P1/R3RBK1 w - -,e3d4
2r1kb1r/1bq2ppp/pp1ppn2/2n1P3/2PQ4/BPN2NP1/P4PBP/R2R2K1 b k -,d6e5
2krq2r/pp2bppp/4bn2/3pB3/P1p5/1BNP4/1PP2PPP/R2QR1K1 w - -,b3a2
1r1r2k1/pB3pp1/1n1Nb2p/8/8/1P4P1/P4P1P/2RR2K1 w - -,b7f3
rnbq1rk1/pp2b2p/2p1p3/3p1pp1/2PPn3/3N2P1/PP1NPPBP/R1BQ1RK1 w - -,d1c2
2n1R1k1/1p3pp1/pb1B1q1p/3p1P2/b2P2P1/1NP3Q1/P6P/1K1R4 b - -,a4e8
r2qkb1r/1p1b1ppp/p2ppn2/8/3QPP2/2N1B3/PPP1B1PP/R3K2R b KQkq -,d7c6
8/3k1p1p/p2bpn2/1p3p2/3P4/4PPP1/NN2K2P/8 b - -,d7c6
r1qr2k1/pb2bpp1/1p2pn1p/7P/3N1B2/2PB4/PP2QPP1/1K1R3R w - -,h1h3
r2q1rk1/1p4pp/p2pp3/2p5/P1n1P1b1/2P2N2/1P3PB1/2RQRNK1 w - -,b2b3
5rk1/rpNb2pp/pQnq4/3pP3/8/8/PP3PPP/R3R1K1 b - -,d6b4
5n2/4p3/1p1p1k1p/r7/1rP2PB1/1PR3KP/1R6/8 b - -,h6h5
r4rk1/pb1qb2p/1p1npp2/3p2p1/3N4/1Q4P1/PP2PPBP/R1BR2K1 b - -,a8c8
2rqk2r/5ppp/p3p3/4P3/P1pB4/Rp2P1P1/1PR2PKP/3Q4 b k -,b3c2
r1bq1rk1/ppp2pbp/2np2p1/4n3/2P5/1PN2NP1/PB2PPBP/R2QK2R w KQ -,e1g1
1r1q4/ppnbpkb1/3p1r2/1PpP1p1p/2P2PpP/PNN1P1P1/3Q1KB1/2R1R3 b - -,c7a8
r1bqkb1r/ppp1pppp/2n2n2/8/2pP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,e7e5
r5k1/5p1p/2n2bp1/4p3/8/3NP1B1/5PPP/5RK1 w - -,f1c1
1k2r2r/3nbppp/3p4/1R1P4/1Pp5/8/2bNBPPP/2B2RK1 b - -,b8c7
8/5p2/1p5p/1P1N2k1/3b2p1/P5P1/6P1/5K2 w - -,a3a4
1rr3k1/1q1n1ppp/2p1p3/p1npP3/5P2/PP4P1/2Q3BP/1RB1R1K1 w - -,f4f5
8/2pr1qbk/pp5p/3Nnp2/2P1pB2/PP4QP/5PP1/5RK1 b - -,f7e6
r6k/r2b2b1/1p1p4/1B1Pp1pp/4Pp1q/1NN2PnP/5QPK/2RR4 b - -,g5g4
r1b1k1nr/ppp2ppp/1bn1pq2/3P4/1P2p3/P1N3P1/2P1NP1P/R1BQKB1R w KQkq -,c1f4
1r1qk2r/p1nbbppp/1pp1p3/4P1P1/PPnP1N1P/1QP5/4NBB1/R3K2R b KQk -,b6b5
r3k2r/1bqnbppp/p2pp3/6P1/1p1NPP1P/5QN1/PPP5/2KR1B1R b kq -,a8c8
r3k2r/pppbbppp/2nq1n2/1B6/3p4/5N1P/PPP1QPP1/RNB1R1K1 b kq -,d7e6
r4rk1/pb1n1ppp/1p1ppn2/2q5/2PQP3/P3BP2/1P1NB1PP/R3K2R b KQ -,f8d8
r1bq1rk1/pp3ppp/2nb1n2/1Bpp4/3P4/2N1PN2/PP3PPP/R1BQ1RK1 w - -,d4c5
8/5p1p/3p2p1/1k2p1P1/p1n1P1N1/PpK2P1P/1P6/8 b - -,b5c5
r2q1rk1/1p2b1pp/2ppp3/p7/P2pP3/3P4/1PP2PPP/R1BQ1RK1 w - -,f2f4
8/5pk1/1b2p3/1N2P1p1/pPr5/P7/4R1K1/8 w - -,g2f3
8/6p1/4p1Pp/3p1p1P/2nP1P2/1kPK4/4R3/1rB5 b - -,b1c1
5b2/8/4kp2/Bp1p4/3P2p1/1K2P1P1/7P/8 w - -,a5b4
rn2k1nr/ppq2pp1/2p1p2p/3p1b2/3P1P2/1QP2N2/PP1NBPPP/R3K2R b KQkq -,g8f6
8/5k2/1R6/1p3Kp1/8/P5rp/1P6/8 w - -,b6b5
rnbqk2r/pp3ppp/2p1pn2/3p4/1bPP4/6P1/PPQ1PPBP/RNB1K1NR w KQkq -,c1d2
1n3rk1/1p2q1p1/p1p4p/P2pP2b/3P1r2/1Q3N2/1P2B1PP/3RR1K1 b - -,h5g4
2b1rbk1/5p2/1rp1n1p1/1p2P2p/pP2PP1P/1q1N2P1/3QN1B1/R3R1K1 w - -,e1b1
3r1rk1/pp1nq2p/2ppbnp1/4pp2/2P5/2NPP1P1/PP1QNPBP/R4RK1 w - -,a1b1
r1b2rk1/ppq1bp1p/2p3p1/4N3/3PpP2/1B6/PP2Q1PP/R4RK1 b - -,e7f6
r4b1r/1p1k1ppp/2n1b3/pN1pPpB1/3P4/P7/1P1N1PPP/R4RK1 b - -,h7h6
1R6/8/2p1b3/P3B3/2k2P2/r7/3K4/8 w - -,e5c7
r2q1rk1/p2nppbp/2p2np1/1p1p2N1/4P3/P2P4/1PP1NPPP/R1BQ1RK1 w - -,e2g3
5r1k/2r3p1/3p3p/1p1P1q2/1P1Q4/8/1B4RP/4R1K1 b - -,c7e7
2r2rk1/pp4pp/2bbpq2/3p4/3PnN2/3BB1P1/PP3P1P/2RQ1RK1 w - -,f2f3
N7/3k2p1/5p1p/8/P5PP/5K2/8/6b1 b - -,d7c6
r5k1/pp1q2p1/8/3ppp1Q/1b2n3/1P2B3/1P3PPP/3R1RK1 b - -,d5d4
6k1/3q1p2/4n2Q/7P/1p1pB3/1P4P1/P4PK1/8 b - -,d7a7
7r/4k2P/4p3/p1r2p2/4b2R/2P3P1/3K1P2/1R3B2 w - -,b1b6
5k2/5P1R/8/5K2/5P2/8/8/1r6 b - -,b1b5
5bk1/4q3/1Qp3p1/p1p1np2/2P5/2N1PBP1/PP1r1P2/5RK1 w - -,f3c6
r3kb1r/1bq2ppp/pn1ppn2/8/R3P3/1NN3P1/1PP2PBP/2BQR1K1 w kq -,a4a2
8/5pbk/1q1n2pp/2N4n/1P1p3P/3P1BP1/1B3P2/4Q1K1 w - -,f3h5
6k1/r4p2/b1pqp1p1/p6p/1n1PN2P/5R2/PP1Q1PP1/4R1K1 b - -,d6f8
3rk2r/1pB1p1bp/p3npp1/3b4/1N1P4/8/PP2BPPP/R1R3K1 b k -,e6d4
