8/8/2r5/P2pK2p/1B2n3/1kP1R3/8/8 b - -,b3c4
r2qk1nr/ppp2ppp/2Bp4/2b1p3/4PPb1/2N2N2/PPPP2PP/R1BQK2R b KQkq -,b7c6
1nr1n1k1/1p1rqpb1/7p/1QP1p1p1/1P1p4/3N2PB/P2BPP1P/2RR2K1 b - -,b8c6
2r2rk1/ppqb1pbp/2np1np1/2p1p1B1/4P3/2PP1N1P/PPB2PP1/R2QRNK1 b - -,h7h6
r1bq1rk1/1p1n2bn/2pp2p1/p3p1Pp/P2PPP2/2N1B3/1PP1N1B1/R2Q1RK1 b - -,e5f4
r3nrk1/1q1nbpp1/3pp2p/p3P2Q/1p1N1P2/4R3/PPPBN1PP/R6K w - -,e3g3
r1bq1rk1/3nbppp/p3p3/nPppP3/8/2NP1NP1/PP2QPBP/R1B2RK1 w - -,b5a6
r1bq1rk1/p3ppbp/1pnp1np1/2pP4/2P1P3/2N1BP2/PP1QN1PP/R3KB1R b KQ -,c6e5
1q2rbk1/5pp1/2pprn1p/8/1p1QPB2/4R2P/1PP1NPP1/R5K1 b - -,e6e4
r4r1k/p1nqb1pp/bp3n2/3p1p2/3Pp3/1QN1BPPN/PP2P1BP/2RR2K1 w - -,b3c2
r1q2rk1/2nbppb1/p2p2p1/2pP2Pp/2p1PP2/2N1BR1P/PP1Q3K/R4B2 w - -,a2a4
r1b2rk1/pp1nppbp/6p1/2P3B1/2B5/2P1PN2/P4PPP/3RK2R b K -,g7c3
8/R5p1/P7/7p/1k1p2rP/8/8/2K5 b - -,b4a5
r1bqkb1r/pppn1ppp/4pn2/6B1/3PN3/5N2/PPP2PPP/R2QKB1R b KQkq -,f8e7:h7h6
1qb3nk/5rpp/1p3p2/4p3/4P1P1/Q1P2P2/PP1R3P/2KR4 b - -,b8a7
rn1qk2r/pb1pppbp/1p3np1/1Pp5/5P2/4PN2/PBPP2PP/RN1QKB1R w KQkq -,c2c4
1b1rr1k1/1p3p1p/p5q1/3p1Np1/1PR1n3/P3P1P1/4NPKP/2BQ1R2 b - -,g6f5
rnb1kb1r/1pq1pppp/p2p1n2/8/3NPP2/2N5/PPP1B1PP/R1BQK2R b KQkq -,g7g6
r3r1k1/p2nn1p1/1p5p/P2p4/2pP3P/2P1P1B1/3N1P2/RR4K1 w - -,b1b5
8/pp3p2/5kp1/1PP4p/3N3P/3nPP2/5K2/8 w - -,f2g3
r1b3r1/1p1p1k1p/p3pP2/3nB3/8/5N2/P1P4P/R3KB1R w KQ -,f1d3
3r2k1/p3qp2/6p1/2p3P1/5P1p/1P3RP1/PBQ5/6K1 w - -,b2f6
1r4k1/nq1b1pb1/3p1npp/4p1r1/1p1NPN2/1P3P2/PB1Q2P1/1BRR2K1 w - e6,d4e2
5rk1/1p2qppp/p1b1p3/8/1P6/P1Q3P1/4PPBP/R5K1 w - -,g2c6
5k2/p1r2ppp/2p1p3/Rr1pPn2/3P4/1N3P2/PP1RKP1P/8 w - -,a5a4
1r6/4ppkp/3p2p1/Nq1Pn3/3QP3/1P5P/R4PPK/8 b - -,b5d3
r3kb1r/pp1nppp1/1q3np1/2pp4/3P1B2/1QP1P3/PP1N1PPP/R3KB1R b KQkq -,c5c4
4r3/1b3p1k/p5pp/3P4/Pp6/1P1B3P/5Pp1/3R2K1 b - -,h7g7
