8/8/6P1/6r1/3k4/1K6/2B5/8 b - -,g5g3
2rr2k1/6p1/1pq2p2/p3p3/3p2Q1/1PP4P/P4PP1/2RR2K1 w - -,c3c4
8/8/3P1k2/1R6/1p4pp/4nP2/3r3P/6K1 w - -,f3g4
2kr3r/pp1n1pp1/2p1n3/q2pP3/7p/2PQ1B1P/PP5B/R4RK1 w - -,f3g4
r1bqkb1r/2p1nppp/p2p4/1p5Q/3pP3/1BN5/PPP2PPP/R1B1K2R b KQkq -,e7g6
7k/8/7b/8/1PQ4P/P1P5/2q5/KN6 w - -,b4b5
r3k2r/2qnbppp/p1p1b3/1p1Np3/4P1PP/4BP2/PPP2Q2/2KR1B1R b kq -,e6d5
2rqrnk1/pb1nb1pp/1pp2p2/3pN1P1/3P1P2/1P1BP3/PB1N3P/2RQ1RK1 w - -,e5d7
4bk2/2p2ppp/2pb4/3n4/3B4/1N1B3P/rPP3P1/4R1K1 w - -,c2c4
8/4K3/2B5/p3Pk2/P7/8/8/1r6 w - -,e5e6
8/8/5pk1/2R5/p7/4PK2/8/r7 w - -,c5a5
r1b1k2r/bp3ppp/p1n1pn2/8/N7/1B2PN2/PP3PPP/R1BR2K1 w kq -,c1d2
br3rk1/4qp2/pp1pp2p/4b2n/PPP1P3/6N1/3Q2PP/1BR2RK1 w - -,g3h5
r3k2r/pppb1pRp/2qnp3/4B3/2B5/P3P3/1PQ2P1P/2KR4 w kq -,g7g4
r2q1rk1/3nb1pp/p2pp3/1pp5/1n2PP2/1PN5/PBPQB1PP/1K1R3R b - -,d7b6
3N2n1/7p/1pk3p1/1p6/1bP3B1/6K1/P5PP/8 b - -,c6c5
r5k1/p4npp/1p6/n3p3/PNr4P/B3P3/5PP1/2RR1K2 w - -,c1c4
R7/4k3/5p2/8/6P1/P5K1/8/2r5 w - -,a3a4
7r/3bkp1p/p2p2p1/8/3R4/7P/PPP1N1P1/2K5 w - -,e2c3
1r6/1r1bq1k1/p2p1pp1/3Pn3/1Pp1P2p/4B3/Q3B1PP/4RR1K w - -,a2a6
r3k2r/pp3ppp/2nbpnQ1/8/3P4/P3BN2/1P2BPPP/1R2K2R b Kkq -,h7g6
2r4k/5q1p/4p3/p2nPp2/1pPBnP1Q/8/PP2N1RP/7K b - -,d5e7
8/3k4/3n1p2/2p1pP2/KpP1P3/6N1/8/8 b - -,d6c4
r1q2r2/pp2ppbk/2n3p1/4NbPp/3PpP2/1QP1B2P/PP4BK/3R1R2 b - -,f7f6
R7/5pk1/1p1r2p1/3B2Pp/4P2P/8/P4P1K/3r4 w - -,a8a7
2r1n1k1/3q2p1/p4p1p/Bp1p4/8/P3QP1P/1P1R2PK/8 w - -,e3d4
3r2k1/1pr2pp1/4qnn1/bB2p2p/4P3/PRN1B1PP/1Q3P1K/2R5 w - -,b5e2
2r3k1/r4p1p/p5p1/1p1Pp1b1/4P3/PP1B1R2/1B4PP/3N2K1 b - -,f7f6
1rbq1rk1/pp2n1b1/3p2np/1Pp1ppp1/P1P1P3/2NP2P1/3B1PBP/1R1QNRK1 b - -,f5f4
1k1r4/pp2bpp1/4pn2/2P3q1/6Pr/P4Q2/1BPPBP2/1K1R2R1 b - -,e7c5
3rk2r/1b2qp1p/p1n1p1p1/1pn1P3/6QP/4RN2/PPBN1PP1/R5K1 b k -,e7c7
7k/8/4B1p1/p1q5/2P4R/7P/5PPB/b6K b - -,h8g7
6k1/1p3rp1/p3p2p/3b4/7P/1P6/P4PP1/2Q3K1 w - -,f2f3
r5k1/1bq1ppbp/6p1/pQ2P3/P7/4BN2/1Pr2PPP/1R2R1K1 w - -,f3d4
6k1/3n1ppp/1pN5/2b5/8/1b2N1P1/1P1BPP1P/5K2 b - -,g7g6
6k1/p4pp1/2p5/2PnQbqp/2P5/Pr2P3/1B3P2/1R1R3K b - -,g5h4
r4rk1/1bqn1pp1/5n1p/p3p1N1/1pPP4/3BP3/3B1PPP/RQR3K1 w - -,g5e4
2kr3r/pp3p1p/q3p3/2pP1p1R/2P5/2P5/P3QPPP/R5K1 w - -,d5e6
rnbq1rk1/ppp2pbp/5np1/4p3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,c7c6:b8d7:b8c6
1q2r2k/8/p1Rp1R1p/2nQ4/Pp2P2P/1P6/6P1/7K b - -,c5e4
1r4k1/3brpb1/pq1p1npp/2pP4/2P2P2/1P1B1RNP/2QB2PK/1R6 b - -,d7e8
8/1p2rpkp/6p1/n1r5/8/5B1P/PR3PP1/1R4K1 b - -,h7h5
7B/1p3k1p/4bQ2/1PP2pP1/4pn2/8/2q3PP/5BK1 b - -,f7e8
2rq1rk1/1b2ppb1/p2p2p1/1p4Pp/4nP2/P1N1Bn2/BPP1N2P/1KQR3R w - -,c3d5
bq3rk1/3nbppp/4pn2/2p5/3P4/4PN2/1BQN1PPP/2R2BK1 b - -,f8c8
rnb2rk1/ppp2p1p/6p1/4b1B1/2P1N3/8/PP2BPPP/2KR3R b - -,b8c6
8/1p3b2/p4k2/P1p2P2/8/5P1R/1P6/5K2 w - -,f1f2
8/1p3p1p/p2nk3/8/4K3/2B1P2P/6P1/8 w - -,e4f4
r1b4r/4k1pp/1ppPpn2/2P2p2/qPB1p3/2Q5/3N1PPP/1R2K2R b K -,e7f7
4k2r/1p1bbp2/1qr1p1p1/1n1pP3/1n1P1PP1/pP3NK1/P2BNR2/RB1Q4 w k -,f2h2
r3k2r/p1qnbp1p/1p2p1p1/3bp1N1/3P1P2/2PB3Q/P2B2PP/4RRK1 b kq f3,e7g5
1r5k/1p2Bqbp/p1r5/P1nNpp2/2BR4/5P2/Q5PP/1R5K b - -,e5d4
rn3rk1/ppq2ppp/2pbpnb1/8/2BP1P2/2P2QNN/PP4PP/R1B2RK1 b - -,b8d7
4r1k1/2R3pp/1p3p2/2r5/6PP/1RP5/5P1K/8 w - -,c7c5
3rN1k1/5ppp/R3p3/4P3/p4P2/6P1/6KP/8 b - -,d8e8
1q1r1rk1/p2nbpp1/bpn1p2p/2p1P3/2P4P/1P3NP1/PB1NQPB1/R2R2K1 w - -,b2c3
8/8/7K/6P1/7P/8/1k6/q7 w - -,g5g6
2R5/1pp3pk/6bp/6p1/2N5/1r5P/1B3P2/6K1 b - -,g6f7
8/8/pr1k1p2/R7/4P1K1/8/8/8 b - -,d6c7
8/8/p5p1/2n5/2K2kN1/5P2/3B4/6b1 b - -,f4f5
r2qrnk1/1pp2pp1/p1bb3p/3N4/1PB2P1N/P2Q2P1/5P1P/R3R1K1 b - -,c6d7
2bq1rk1/p2np1bp/n2p2p1/2p2p2/Q1PP4/2B1PNP1/P2N1PBP/1R4K1 b - -,d7b6
2n2b1r/n1p2k2/1pPp2p1/p2Pp1P1/P3Pp2/2N2P2/1P1K1BR1/2N5 w - -,c1d3
2rq1rk1/4bppp/1pQ1p1b1/p1p5/8/1PBP2N1/1PP2PPP/R3R1K1 w - -,c6b5
4r2k/6bp/5np1/1Pp2q2/4p3/1PB3P1/1Q3PBP/4R1K1 b - -,h7h5
1q6/3k1p2/p2pp1p1/8/1P1P4/1PN2bP1/1P2NP2/3RK3 w - -,b4b5
2r1k2r/pq1nbpp1/bppBp2p/4P3/2N5/6P1/PPP1QPBP/2KR3R w k -,e2g4
rnbqrnk1/1p4pp/p1pbpp2/3p4/2P2PN1/1PN1P3/PB1PB1PP/R2Q1RK1 w - -,d1e1
3k2r1/5R2/8/p2Pp3/PpR1P3/1r6/1P6/5K2 w - -,c4c7
r1bq1rk1/pp3pbp/2p1pnp1/8/P1pPP3/2N1B1P1/1P3PBP/R2Q1RK1 b - a3,e6e5
r1bqk2r/p4ppp/1pnbpn2/2p5/P1Q5/3P2P1/1P2PPBP/RNB1K2R w KQkq -,g2c6
r3k2r/1nq3pp/p3p3/8/Q5P1/4P3/P1P3KP/1R5R b kq -,e8e7
4k3/6B1/p3p1p1/1b2Pp2/1p2Pq1r/1N6/PPP5/1K1RR3 w - f6,b3c5
5r1k/6p1/2p4p/pp6/3R1PKb/2P4P/PP6/3R4 b - -,h4f6
2r4k/p2rb1pp/1pq2p2/3p4/3B4/PQ6/1PPR1PPP/3R2K1 w - -,d4c3
6k1/3r1p1p/3qbQp1/8/4R3/1p4PP/r4PB1/4R1K1 w - -,e4e6
rn3rk1/pbp2pp1/1p2pq1p/3p4/3PP3/P1PB1N2/2P1QPPP/R4RK1 b - -,f6e7
7r/8/1p2k3/p3p1P1/2PpK3/PP6/6R1/8 w - -,g2g3
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/2PP1N2/PP1N1PPP/R1BQKB1R b KQkq -,d7d5
4R3/8/6K1/2k4p/8/r1p1P1P1/8/8 b - -,c5b4
1rbr2k1/p6p/3pp3/2p2p2/3n1P1N/1PN5/1PPR1KPP/3R4 b - -,g8f7
6rk/p6p/1p2pp2/8/2Pr1p1R/PP1q1BP1/1Q3PKP/8 b - -,e6e5
3r1r2/1p3p1k/2bpn1p1/Q6N/8/7R/PP3RPP/1Bq3K1 w - -,f2f1
8/N3k2p/1p1n1p2/2r1pp2/P4P2/2P3P1/1KP4P/4R3 w - -,a7b5
