5R2/p5r1/8/8/2P1N1n1/1P4k1/P3K3/8 b - -,g3g2
r1bqk2r/pp3ppp/2n2n2/8/3pN3/P2B4/1PP2PPP/R1BQK2R b KQkq -,f6e4
8/p3rpkp/1p6/4r3/3Q4/1P3K2/P6P/8 w - -,d4g4
8/p6k/4p1p1/p7/2n1p3/3r3P/3b1P1K/R1BR4 b - -,d2c3
r1bq1rk1/pp3ppp/1bn5/3p4/7P/1NB1P3/PP2BPP1/R2QK2R w KQ -,d1d2
8/pp2q2p/2p3k1/5p2/5P2/5B1P/PQ3P1K/5b2 w - -,b2h8
3Qb3/5k2/4p3/4P1P1/qK1P4/8/8/8 w - -,b4c3
r1b1r1k1/1p1nqpbp/p1ppn1p1/8/2PPP3/1NN1B3/PP1QB1PP/3R1RK1 b - -,e6c7
8/3k2p1/2p2p1p/ppP1pP1P/4P1P1/PP2K3/8/8 w - -,b3b4
3k4/N1br2pp/3B1p2/4p3/2P5/8/P4PPP/3R2K1 b - -,d7d6
r1r3k1/p3pp1p/1n3bp1/2P5/1B6/3R1P2/P1P1N1PP/5RK1 b - -,b6a4
8/6p1/1R1pk1r1/5p2/PP5P/5KP1/8/8 b - a3,e6d7
2rb1rk1/p5pp/1pp1p3/2PpPpPq/1P2P2P/4P3/P1Q1B3/R1B1K1R1 b Q -,h5h4
r1bqkbnr/pp3ppp/2n5/1B1pP3/8/8/PPP2PPP/RNBQK1NR b KQkq -,f8c5
1r1qbr2/1p2k1Q1/p1p1pp1p/2PpP1p1/P2P4/5N2/1P2NPPP/R3R1K1 b - -,f8f7
r4rk1/pb1n3p/1p2pp2/2qp4/3N1P2/3Q2P1/PPP4P/2K1RB1R b - -,e6e5
r7/4qnk1/p1p2Rp1/2Npp2p/4P1bP/1PQN2P1/P1PR4/1K6 b - -,e7f6
rn1qkb1r/1b1p1ppp/p3pn2/1pp5/4PP2/2NP2P1/PPP3BP/R1BQK1NR w KQkq -,d1e2:g1f3
n5k1/1r3pb1/4p1p1/1pp1N2p/7P/2PP2P1/1P3PK1/2B1R3 w - -,e5f3
2r1k2r/5p2/4p3/ppqpP2p/5QpP/P1N5/1PN3P1/1K2R3 b k -,c5c4
