8/1k5p/4R1p1/P5P1/1P3P2/2r2K2/8/8 w - -,f3g4
r1b1r1k1/ppqn1pbp/2pp1np1/4p3/3PP3/2N1BN1P/PPPQBPP1/R3R1K1 w - -,d4e5
8/5rkp/3n1pp1/pBqPr3/P1P5/Q3p3/6PP/R4R1K b - -,f7c7
r4rk1/pp3pbp/2npb1p1/2p5/2P1NP1q/4P2P/PP2B1P1/R1BQ1RK1 b - f3,a8d8
r3k2r/p4n2/bpn1pppp/2p5/2P1PPP1/2P2N2/P4B1P/2KR1B1R w kq -,h2h4
r2q1rk1/2p1bppn/p1n1b2p/1p2p3/P2pP3/2PP1N1P/1PBNQPP1/R1BR2K1 w - -,d2b3
5r1k/p3qp1n/1bp3pp/1p2p3/4P1P1/1BPQ3P/PP3PKN/3R4 b - -,f8d8
8/5p2/p1k3pp/1p1nP3/1P3PPP/4N3/1P1K4/8 b - -,d5f4
3rr1k1/pp3p1p/1np1b1p1/3n1p2/3P4/P2NP1N1/BP3PPP/R1R3K1 w - -,c1f1
r1b1r3/1pkn1pbN/n1p3p1/p3p3/2P1P3/P1N1B2P/1P2BPP1/2RR2K1 w - -,c3b5
2k5/p1rr3p/R2bp1p1/R1p2pP1/5P2/2B1PK2/P6P/8 w - -,h2h4
8/p4b2/1p4p1/1Pkp1p1p/P6P/2K1P1P1/4B3/8 b - -,f7e6
8/8/6k1/R7/1r5p/4BK2/8/8 w - -,e3f4
2bq1rk1/r2n1ppp/1pnN4/p1p1p3/7N/6P1/PP1QPPBP/2RR2K1 b - -,d7b8
r2qk2r/5pbp/p1npb3/1p1Npp2/4P3/N1PB4/PP3PPP/R2Q1RK1 b kq -,e6d5
8/2p2kb1/p1n1p1pp/4p3/P1N1P3/2PKB1P1/5P1P/8 w - -,c4d2
3r3k/8/p4bp1/5p2/qPP1pB1P/3r3P/4QPB1/1R4K1 w - -,g1h2
r2q1rk1/p3bp1p/1np1p1p1/3pP3/5P2/1BP1B2P/PP4P1/1R1Q1RK1 w - -,g1h1
r3q1k1/2R1p1bp/p2pQp2/3P2p1/PP1B4/5PP1/4P2P/6K1 b - -,g8f8
8/8/2R1p3/3nPk1p/3P4/2p1BKP1/5P2/r7 w - h6,c6c8
8/6k1/R6p/1B3Pp1/1p1b2P1/2p2bPK/P7/8 w - -,b5d3
8/4k3/1pp4p/p4rp1/3R4/4P3/P1P3PP/4K3 w - -,e1e2
r3r1k1/pp2qppp/2pb2n1/3p1Q1N/3Pn3/P3P2P/1PB2PP1/R1B2RK1 b - -,g6h4
7r/1p3pk1/p3p1p1/3nq1p1/6P1/P3P2P/1P2BP2/KQR5 w - -,e2f1
r2qkbnr/5ppp/p2pb3/4p3/2Q1P3/2N2N2/PP3PPP/R1B1K2R w KQkq -,c4d3
1r2k3/1p2q1r1/p2p1pn1/2pPp1Rp/P1P1P1bP/2N1Q1P1/1P2BR2/2K5 w - -,e2g4
r3k2r/2q1bpp1/2p1pnp1/1p1n4/p2PN3/2P2Q1P/PPBB1PP1/2K1R2R w kq -,c2d3
2rq1r2/p4pkp/1p2pnp1/n3R3/3P3B/2PB1Q2/P4PPP/R5K1 w - -,d3b5
8/4k2p/pp4r1/8/P1PR3K/1P3pB1/2b4P/8 w - -,b3b4
3r4/p4p1p/6pb/PPPk4/3P4/4P1P1/2r2P2/R4RK1 b - -,a7a6
R7/3r2p1/5pkp/4n3/4P3/1R4KP/6P1/8 w - -,b3a3
r1bq1rk1/1p1nbppp/1npp4/p7/P2pP3/1B3N1P/1PP1NPP1/R1BQR1K1 w - -,f3d4
r1b2rk1/p1n2pbp/1pn1p1p1/2p3B1/2P1N3/3P4/PqN1BPPP/R1Q2RK1 w - -,c1d1
8/4pk1p/n3N1pb/1p1p4/p2P1P2/P3B2P/1P4P1/6K1 w - -,e6d8
3r2k1/4q1b1/p1p1n2p/3nB3/Pp4PP/1P3P2/2P1Q1K1/R3R3 w - -,g2g1
r1bq1rk1/ppn1ppbp/1np3p1/3p4/2PP4/1PNBPN1P/PB3PP1/R2Q1RK1 w - -,d1e2
1rbqk2r/1p2bppp/p1n1pn2/2p5/4NP2/3P1NP1/PPP3BP/R1BQ1R1K b k -,e8g8
1rbqr1k1/1pp2pbp/p2p1np1/4n3/2P1P3/1PN3PP/P1N2PB1/R1BQR1K1 b - -,b7b5
3rr1k1/2p1q1b1/1p1pp1p1/p4p1n/2PP4/2N2QP1/PP2PPN1/2RR2K1 w - -,e2e4
1R6/5k2/6p1/3r3p/P7/6PP/5PK1/8 w - h6,b8a8
8/ppkr2p1/3R1p2/3p3P/3P1BP1/8/PPP5/2K5 b - -,d7d6
r2q1r2/p3npbk/1pn3pp/2pp4/3P2b1/2N1BNP1/PPPQ1PBP/R2R2K1 w - -,c3e2
r1bb1rk1/pp4pp/1n1P4/1N3pP1/2p1pB2/4P3/PP2NP1P/2KR3R b - -,c8d7
2b2k2/5p2/p5p1/4R1P1/1r2PK1P/R7/8/8 w - -,a3c3
3r1rk1/1bQ1bppp/p2q4/1p1P4/8/5NPB/PP3P1P/2RR2K1 b - -,b7d5
8/1p3k2/6p1/p2N3p/P4K1P/6P1/1n6/8 w - -,d5c3
3b4/4kp2/4p3/p5p1/3r2P1/1P3PN1/P1R3K1/8 b - -,a5a4
8/3k4/1rp1p1p1/4Pp1p/p2P1P2/2R1K1P1/P1R5/4r3 w - -,e3f3
5rk1/pbq3bp/1p1r1pp1/1Pp1p1B1/P1Q1P3/2P3P1/5PBP/1R1R2K1 b - -,g8h8
7k/p5p1/2R4p/1p5P/5rP1/P7/1P6/1K6 b - -,f4g4
8/R3bppk/2q1p2p/5n2/4N3/3Q2P1/2P2P1P/6K1 b - -,c6b6
3r1r2/ppp2p1k/1b1pbq2/4p3/B2PPnpp/2P1N3/PP1Q1PPB/3RR1K1 w - -,e3f5
r6r/1kp2pp1/1pp5/p2bPnNp/P7/1P3P2/1BP2KPP/R2R4 b - -,a8d8
r5k1/1p1nrppp/1qp5/p7/3p4/P2P2PP/1P1bPPB1/2RQR1K1 w - -,d1d2
8/1p3k1p/p2q4/3P1p2/5P2/6B1/P3Q1K1/8 w - -,e2e5
2bq2n1/1pp2rk1/3p2p1/Q2Pp2p/1PP1Pp1P/2N5/5PP1/3BK2R w K -,c3b5
3rr1k1/pp3pbp/2bp1qp1/8/4nP2/1NP1BN2/PP4PP/3RRQK1 b - -,e4c5
8/ppNk1r2/2bP3r/6R1/P7/8/2P2P2/2KR4 w - -,c7b5
r2q1rk1/p1pb2pp/2p5/3pp1n1/3B4/5P2/PPPQ2PP/RN3R1K w - -,d4e5
8/7p/PBpn1b2/3kp1p1/2p3P1/2Pp2P1/1P3P2/4RK2 b - -,d6c8
r4rk1/1p2Bpb1/p5pp/q2nn3/3N2P1/2N4P/PPP2Q2/2K2B1R w - -,d4b3
r4rk1/2qbbpp1/1n1p1n1p/1p2p3/2pPP3/2P2N1P/1PB2PP1/1RBQRNK1 b - -,f8e8
r1b2k1r/5pp1/p1n1p2p/1pqpP3/8/2PB1N2/P1PQ1PPP/1R2R1K1 b - -,c8d7
8/8/8/7p/4k1PP/1r5K/6R1/8 w - -,g2g3
1r3r1k/p2nqN1p/bb6/2pBP1p1/3p1P2/P5PP/Q4B2/2RR2K1 b - -,f8f7
1r1q1rk1/5pb1/p1npbnp1/1ppNP3/2P3Pp/1P5P/P1QN1PB1/BR3RK1 b - -,f6d5
r2q1rk1/1b1nbppp/3p1n2/pp1NpP2/1NP1P3/4BB2/PP4PP/2RQ1RK1 w - -,d5e7
3r4/1b2k2p/4p1p1/p3Pp2/PpPp2PP/1P1R1P2/6B1/5K2 w - -,g4g5
2rr2k1/1p2qppp/p2b4/3p1Q2/PP1Pn3/NR2P3/6PP/4BRK1 b - -,g7g6
4k3/4b2Q/3p4/1q2pP2/p1p2n2/2P2NPP/P4P2/6K1 b - -,b5b1
r7/pp2bp2/2p2pk1/5Rp1/3B2P1/1P6/1PP2P1P/6K1 w - -,b3b4
8/1p1Qnkb1/p1p3p1/2P2pP1/P4P2/6PK/1r6/8 b - -,b2b4
r1bqkb1r/pp1n1ppp/2pp1n2/8/2PPp3/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3e1
b2r1bk1/5p1p/1q4p1/1p1p1nP1/1PrN2Q1/2BR4/2P3BP/3R3K w - -,g4h3
r1bqrn2/pp2bk2/5np1/3N4/3P3Q/4P3/PPBB3P/R4RK1 b - -,f7g7
8/5p1p/5k2/8/4P3/2K3P1/7P/8 b - -,f6e5
3r4/Rp1r2k1/1p5p/5p2/3np3/1P3PPP/1P2B1K1/4R3 b - -,e4e3
8/1pr1qrk1/1Rn5/1QP1p3/P2pB1pP/3P4/5PK1/1R6 w - -,g2g3
r6r/pp2kppp/2pbpn2/3p1b2/1P1P1P2/2P2NP1/1P1NBP1P/R3R1K1 b - -,f6e4
r1bq1rk1/1pp2pp1/1bn2n1p/p2P4/P1BP4/N4N1P/1P3PP1/R1BQR1K1 b - -,f6d5
rnbq1rk1/ppp2ppp/3bpn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b - d3,c7c6
4r1k1/4q1pp/r1p5/4p3/1p6/8/P1Q2PPP/R4RK1 b - -,e7e6
r2qk2r/p2bbpp1/2n1p2p/1p1pP2P/2nP4/1BN2NR1/PP3PP1/R1BQK3 b Qkq -,e7f8
3r3k/1bp5/B4p2/R5pP/1p4P1/8/PPP5/1NK5 b - -,d8a8
r2qk1nr/pp1bpp1p/2n2bp1/2p2P2/3p3N/2PP2P1/PP2P1BP/RNBQ1RK1 w kq -,e2e4
r3b1kq/4rp2/2p3p1/pp1p1P2/6R1/1PN4P/P1PP1Q2/1K3R2 b - -,e8d7
r2nn1rk/1q1b3p/3p1b2/1p1Pp3/4Pp2/1R1B4/1B3PPN/1QR1N1K1 w - -,d3e2
1r4k1/6pp/p1N3q1/1p1prp1n/4n3/1P1BP2P/PB2QPP1/2R3K1 b - -,e5e8
