8/4k3/2K1p1N1/3p2P1/3P1P2/8/4n3/8 b - -,e7f7
1r4k1/5b1R/p2p4/P2P2p1/3P1pK1/5P2/6P1/r1B4R b - -,a1c1
r1b1rn1k/1p2q1pB/p1n5/2p5/5P2/2B1P2P/PP4P1/1Q2RRK1 w - -,h7c2
r1b2rk1/pp3ppp/1bn1pn2/3q4/2Q2B2/P4NP1/1P1NPPBP/R4RK1 b - -,d5h5
r2qk1r1/3nbp2/1pn1p3/p2pP1pp/3P4/PQP3PP/3N1P2/R1B1RBK1 b q -,d8c7
r2r3k/4R2p/2Q2p2/p4b2/5p1q/1BP5/PP4PP/4R1K1 w - -,c6f3
6rk/4q2p/BB1p1b2/3Pp2n/N3Pp1n/2N2P2/1P2Q1bP/1K5R w - -,h1g1
rn1q1rk1/pp1b1ppp/4pb2/8/3N4/P1Q1P3/1P2BPPP/R1B2RK1 w - -,f1d1
3k3Q/p1rbp3/1p6/8/3N4/8/PPP2qPP/1K5R b - -,d7e8
r1b1k2r/pp3ppp/2nqpn2/3p4/2pP4/2P1PN2/PP2BPPP/RN1QR1K1 b kq -,c8d7
r2qk1nr/1b1pbpp1/p1n1p3/2p4p/1p2PP2/3P2P1/PPP1N1BP/RNBQ1RK1 w kq h6,f4f5
r3k2r/pb3pb1/2p1pn2/1p5p/2pqP1pP/2N3B1/PPQ1BPP1/R2R2K1 b kq -,d4b6
r4r2/1Q3pkp/p2P1Rp1/4p3/1pq5/1P5P/P1P3P1/5R1K b - -,a8b8
rn1q1rk1/pb2bppp/1p1ppn2/2p5/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 w - -,b1d2
5rk1/4q1p1/2n4p/1p1np3/1Pb1Q3/P5PB/5N1P/2B1R1K1 b - -,e7a7
2N1r1k1/4qbpp/p2p4/8/1P3p2/3B1P2/P2Q2PP/3R1K2 b - -,e8c8
4r3/1p2ppkp/p2p4/3P1p2/1r6/5P2/PPP3PP/2RR2K1 w - -,b2b3
4k3/p1r2ppp/1p3n2/3pN3/bB2n3/P3P3/4BPPP/5RK1 w - -,f1a1
4rk2/3R1p1p/1p4p1/p7/8/1Pb3P1/5P1P/2R3K1 b - -,c3b4
1r3r1k/6np/p3p1p1/q1p1Pb2/2Pp1P1Q/6N1/PP1R3P/3B1RK1 w - -,f1f2
r1b1kb1r/ppqp1ppp/2n1pn2/2p5/4P3/2P2N2/PPBP1PPP/RNBQK2R w KQkq -,e1g1
r3k3/1p2bp2/p2p2pp/P2n4/2RP2P1/7P/1P1N1P1B/6K1 b - -,e8d7
r2q1bk1/p4pp1/2p1bn1p/3p4/N6B/2PB4/PP3PPP/R3Q1K1 w - -,e1e2
8/8/3k1N2/4R3/3K1p1P/4p2r/8/8 w - -,h4h5
r2r2k1/ppp1bppp/3nb3/3NB3/B2R4/8/PPP2PPP/R5K1 b - -,e6d5
1q4k1/2bn1ppp/8/p4Q2/1p2P3/1P3PB1/PN4KP/8 b - -,d7e5
rn1qk2r/p1b1nppp/1pp1p3/7b/3PNB2/1QPN4/PP3PPP/R3KB1R w KQkq -,e4g3
r2q1rk1/1p1b1ppp/2pp4/p2Pp1b1/2P1Pn2/2NBBP2/PPQ2KPP/R4R2 b - -,a8c8
b2q1rk1/2p1nppp/3pnb2/1p2p3/1P2P3/1BPP1N2/5PPP/2BQRNK1 b - -,e7g6
r4rk1/1p3bpp/1qpb1p1n/2np1P2/1p1Pp1P1/P3P3/1B1N2BP/RN2QRK1 w - -,d4c5
r1bqkbnr/pp3ppp/3pp3/8/3nPP2/2N5/PPP3PP/R1BQKB1R w KQkq -,d1d4
2k4r/1p3pp1/2p1n1p1/2B3P1/2P5/7P/PP3P2/3K1B1R b - -,e6c5
r3r1k1/p1p2ppp/3b1q2/6Q1/3Np3/2Pb3P/PP3PP1/R1B1R1K1 b - -,f6g5
r1br2k1/pp3pbp/n1p3p1/3np1B1/8/3P1NP1/PP2PPBP/RN3RK1 b - -,f7f6
8/p2rk1p1/8/R4PPp/4K2P/8/8/8 b - -,d7b7
8/8/2p5/6p1/4Pk2/3K4/6N1/8 b - -,f4e5
2rb1rk1/p2q1ppp/3p1n2/2pPp3/2pn4/3PNPP1/PP2NR1P/R1BQ2K1 w - -,d3c4
r1bqkbnr/2p2ppp/p2p4/1p2p3/4P3/1nP2N2/PP1P1PPP/RNBQ1RK1 w kq -,a2b3
4r3/8/8/2R1p3/4Kp2/8/1k6/8 w - -,c5d5
3q1bk1/5p1p/r5p1/Prp1Q3/4P3/5NP1/R1R2PK1/8 b - -,b5a5
