8/8/4p3/2Pk1p1p/3PpP2/4Pn2/5BK1/8 w - -,g2h3
rnbqkb1r/pppp4/4pP1p/5pp1/3P3B/8/PPP2PPP/RN1QKBNR b KQkq -,d8f6
8/6n1/3nk2R/4N2p/5P2/3K4/7P/8 b - -,e6d5
2bq1rk1/rp2nppp/p2p4/3Pp3/5P2/1N1B4/PPP1Q1PP/3R1RK1 b - f3,e5f4
r3k1nr/1qp2p2/n3p3/p3P1Np/PbP3pP/1Q4B1/1P1N1P2/2KR2R1 w kq -,d2e4
2r3k1/1p3ppp/p1r1bn2/3p4/3P4/2NB1PP1/PP4P1/2R2RK1 w - -,g1f2
1k6/pprrqp2/3bp1p1/7p/3PQ3/3R1BP1/PP3PKP/4R3 w - -,d3b3
4r1k1/1p1bpr1p/p1N3p1/3P2Q1/4P3/8/PPP3P1/1K1R4 b - -,b7c6
1k1r4/1pp2RQ1/pqb5/8/7P/P1N5/1KP5/8 w - -,b2c1
r1bq1rk1/pp2bppp/2n1pn2/8/2Pp4/1P1P1NP1/P4PBP/RNBQR1K1 b - -,f6d7:f8e8:f6e8
8/7p/6p1/bk1p1p2/p2P4/PbKNBPP1/7P/8 w - -,d3b4
4bk2/1R5p/7r/p7/P4KN1/8/3P3P/8 b - -,h6d6
8/5k2/4pp1p/p1p3p1/P1P1P1P1/1P3Q2/3q2KP/8 w - -,g2g1
r4rk1/pp1n1ppp/2pqpnb1/8/3P4/1B4N1/PPPQNPPP/3RR1K1 b - -,f6e4
1rb2rk1/pp2bp2/4pp1p/4n3/4B3/2N3P1/PPP1NP1P/3R1RK1 w - -,c3b5
r2qr1k1/3bbppp/p1p2n2/3p1N2/8/1PN2Q2/P1PB1PPP/R3R1K1 b - -,d7f5
5r2/2R2N1p/6pk/pp2K3/1p6/8/P6P/3B1b2 b - -,h6g7
r4bk1/2R4p/6p1/3pBp2/2b2P2/6P1/1P1RP1KP/8 b - -,f8b4
r2qkbnr/2p2ppp/p2pb3/1p1Q4/4P3/1Bp5/PP3PPP/RNB1K2R w KQkq -,d5c6
8/2pb2p1/1p1k1p1p/p1p5/4PPPP/P1P1K3/1P2B3/8 w - -,e3f3
8/6kp/4p1p1/4Pp2/P2R1P2/6P1/4r2P/6K1 b - -,g7h6
3r2k1/1p1r1pb1/p3p1n1/8/2PN2P1/1P6/PB1R2K1/4R3 w - -,e1d1
r3k2r/pp1qbppp/2np1n2/4p3/4P3/2N2N2/PPP2PPP/R1BQ1RK1 w kq -,c1g5
2r1r1k1/3b1ppp/1p1b4/p1pB4/3p4/P2P2P1/1P1BPP1P/1R2R1K1 b - -,a5a4
5nk1/p4p2/1p1R2Pp/1rq1P3/2p1PP2/2P3P1/P2Q2KN/8 b - -,f8g6
r2q1rk1/4nppp/1p1bpn2/p2pN3/2PP1P2/PP5P/1B1NQ1P1/R4RK1 b - -,a8c8
6k1/5pp1/2bB3p/8/4P3/p1r2PP1/4RK1P/8 b - -,c3b3
r1b2rk1/ppqn1ppp/4pn2/8/2BP4/2P2N2/P3QPPP/R1B2RK1 w - -,c1d2
r1q1kb1r/pppnpppp/3p1nb1/6P1/2PP4/1QN2N1P/PP2PP2/R1B1KB1R b KQkq -,f6h5
8/kp6/p2p4/3P2p1/1PP3P1/P5K1/3qpQ2/8 b - -,a7a8
4rrk1/p1n2nbp/1p1p1q2/1PpPpp2/1P6/PQ1N1P2/4RBPP/4RBK1 w - -,a3a4
8/1KP5/5p2/2Q3pk/8/5q2/8/8 w - -,b7a7
8/r6p/6pk/8/2P2bP1/3N1N2/1r3P1P/3R2K1 b - -,b2b3
r4rk1/1b2qpp1/p3p2p/1p1nN3/Q7/4P3/PP2BPPP/2RR2K1 w - -,a4g4
2r1r1k1/1p3pp1/pqb4p/2bpP3/P4Q2/2N2NP1/1P3PP1/RR4K1 w - -,c3d1
8/p1k5/2n5/2K5/5PB1/8/8/8 b - -,c6e7
r6r/bb2kppp/p1n1pn2/1p6/8/2N1PN2/PPB2PPP/2RRB1K1 w - -,a2a4
8/8/p1k4p/4p1p1/2N3P1/8/2P2R1P/r6K w - -,h1g2
rn2r2k/pp2B1p1/2p1Bp1p/7P/4b2P/8/PPP2P2/2KR2R1 b - -,e4d5
r1b3k1/1p4pp/3R1p2/p7/8/4P3/PP2BPPP/6K1 b - -,c8f5
6k1/1p4pp/p7/3b4/4NP2/8/1b5P/4R1BK w - -,g1b6
3r2k1/pbq2pbp/2n5/1R4Q1/8/2Pp1N2/1P4PP/2K4R w - -,f3d4
1n3rk1/r1p2p1p/p3pb1q/4Np2/2BP1P2/1Q4P1/PP1R4/2K1R3 b - f3,f6e5
3qr1k1/p1p2pbp/3pb1p1/1r1Nn3/8/1P4P1/PB1QPPBP/2R2RK1 b - -,c7c5
2r1brk1/1nq3b1/p2p3p/PppP1p1N/1P4P1/1BP2p2/3B1PP1/R2QR1K1 w - -,h5g7
2rr4/1q2kppp/p2bpn2/P7/1p6/1P2PN1P/1B2QPP1/R1R3K1 w - -,f3d2
q6k/8/4P3/1Q1p1p2/1PnP1P2/p6P/8/5N1K w - -,e6e7
r4rk1/5pp1/p2pb1np/1p5Q/1q2PP1P/6P1/PP3B2/R2BR1K1 w - -,b2b3
4k3/p3P1pp/2pBn3/3b2P1/PP4BP/4K3/8/8 b - -,d5b3
8/8/8/2p1B3/p4P1p/P4q1P/1P4RK/5k2 w - -,g2g4
r2qr1k1/1b1nbpp1/pp1ppn1p/2p5/1PPP3B/P1NBPN2/4QPPP/2RR2K1 b - b3,c5d4
8/8/1rpk4/3pR3/8/8/4R2P/1rK5 w - -,c1c2
r1bqr1k1/ppp4p/3p2p1/3Nb3/2P1p3/1P6/PBQ2PPP/R4RK1 w - -,b2e5
2k2rr1/ppqb3p/n2bpp2/2p5/2PP3Q/1P2BN2/P2RBPPP/3R2K1 b - -,d7c6
1n5r/1Bp1r2k/1p1p3n/1N1Ppp2/1PP5/7R/5P2/4K1R1 w - -,g1g5
r1b1r1k1/5ppp/p1n1p3/npQq4/P1pP4/B1P2B2/2PN1PPP/R4RK1 b - -,d5c5
r4rk1/4ppbp/1q1p1np1/1NpP4/P3P3/2B4P/1P2QPP1/R4RK1 b - -,f8b8
r2r1b1k/6pP/1pq1p1p1/p1n1PpQ1/2P5/2B2NP1/P1P2PK1/R6R w - -,g5g6
8/6k1/3n4/pr3pp1/2p5/4K2P/PPRN4/8 b - -,b5e5
r2qk2r/1Qp2p2/pp4pp/4b3/P3P3/2P2P2/1P3P1P/R3KB1R w KQkq -,b7c6
8/3b1k1p/5Pp1/1p1NP3/1Pp2P2/6P1/7P/5K2 b - f3,d7e6
8/pp4p1/2k2pp1/3p1n2/1P1P1B1P/2K2PP1/8/8 b - -,b7b6
b4rk1/r2pq1p1/p2Npb1p/4np1P/2B5/P3P1B1/1PQ2PP1/3R1RK1 w - -,d6f5
7r/1p1k1pp1/2p2b2/2Pp2p1/p2P2P1/3K3P/PP1B1P2/4R3 w - -,e1h1
5rk1/1pbr1p1p/p1p2Rp1/2P3P1/1PqPp3/4P2P/P5Q1/4BRK1 b - -,c4d3
r3k2r/pp1nn1pp/2p1b3/3p2q1/2PPp3/BBP1N3/P3QPPP/R3K2R w KQkq -,c4d5
8/4kp1p/1R5P/1p2P3/3B3r/2P1K3/4b3/8 b - -,e2c4
r4rk1/p3Bpp1/4b2p/3p4/2pPn3/4P3/P1BQ1PPP/1R3RK1 b - -,e4d2
2r3rk/1p1q3p/pB1p3b/P2Pp2n/5p1n/1Q6/1P1NNPPP/3RR1K1 w - -,e2g3
r1k1r3/1bb2p1p/2q5/pQ6/2N1n1R1/4B3/PPP2P1P/2KR4 w - -,b5f5
r3nr2/p1pq3k/2p2p2/6p1/2PB1Qb1/N2P2P1/PP3P2/R3R1K1 w - -,f4e4
5k2/ppp5/8/3Pp3/2P1P3/8/PP6/1K6 w - -,b2b4
3n4/2kP1p2/2P4p/p2Pr3/3R4/5PPK/7P/8 w - a6,f3f4
r1b1k1nr/pp1nppbp/1q1p2p1/2pP4/4PP2/2P3P1/PP2N1BP/RNBQ1RK1 b kq -,g8f6
r1bqk2r/1pp2n2/n2p1pp1/p2Pp2p/2P1P2P/2N5/PP1QBPP1/2KRN2R b kq -,a6c5
rn1qk2r/3b1ppp/2p1pn2/pp6/P1pP4/N4NP1/1P1QPPBP/R3K2R w KQkq -,e1g1
r3r1k1/2bq2pp/b1p1pp2/ppPn4/3P4/PP1B1N2/1B2RPPP/3QR1K1 w - -,g2g3
r2r2k1/p3bppp/1pp2p2/8/3P4/2P1BP2/PP1R1P1P/2K4R w - -,e3f4
6k1/6pp/3Bpp2/p2p4/2bP3P/4P3/1K3PP1/8 b - -,a5a4
6k1/2pr1pp1/7p/pr6/2R5/1P1P2PP/PN2PPK1/8 b - -,g8f8
4Bb2/5nk1/8/3PN3/1p1nP2P/2p3K1/3B4/8 w - -,e8f7
8/8/5pk1/4p3/1PR2P2/2b4r/2P5/1KB5 w - -,b4b5
4k3/p2r1Rp1/1pQ2n1N/4p3/7P/P3P3/1P4PK/1q6 w - -,c6c8
8/1p4p1/2p1bk1p/2P5/3K4/P7/4B1PP/8 w - -,a3a4
8/6pk/7p/1p6/3B2P1/5P2/4b1KP/8 w - -,d4c3
3r2k1/5pb1/ppq1p1p1/2p1PnP1/P2pPPQ1/8/1PPB1K2/R4R2 b - -,c6e4
r2q1r1k/p1pn1p1p/1p1p2p1/4pN2/2nPPP2/P1P4R/2Q3PP/R1B3K1 w - -,c2e2
8/2Q5/6kp/pp1p4/3P2PK/1P2q3/P7/8 w - -,c7d6
r2r2k1/1pp2qb1/3n3p/P1N1pp2/P7/2P1BP2/4Q1PP/R2R2K1 b - -,a8a5
r7/8/2K2k2/8/P3R1B1/6bP/8/8 b - -,a8a7
1q2r3/pp1n2bk/2p3pp/5p2/2P5/3B4/P1PB1PPP/4RQK1 w - -,d2e3
8/6k1/6N1/8/p3B1R1/P7/KP1q2PP/8 w - -,e4b1
7k/1p4n1/p5Qp/3N1qp1/4pp2/1P5P/P4PP1/6K1 w - -,g6h6
8/1k6/pr3p2/5K2/4P3/8/8/4R3 w - -,e1a1
1r4k1/3q1nb1/3p3p/1p1Ppp2/1P2r2B/6PP/Q4P2/1RR2BK1 w - -,c1c6
r2q1rk1/pppbbpp1/2np1n1p/4p3/2B1P3/P1NPBN1P/1PP2PP1/R2QK2R w KQ -,e1g1
r2r2k1/pp3pp1/2n1b2p/7Q/2pPN3/q1P3P1/5PBP/2R2RK1 b - -,a3a5
2R1nk2/R5p1/4p3/8/6n1/8/P1Br2P1/6K1 b - -,d2e2
rn1q1r1k/4p1bp/p1p2pp1/2P5/Np1PBPb1/1Q6/PP4PP/R1B2RK1 w - -,c1e3
1r3b2/p7/1rppk2p/3np1pP/1P2N3/3RPP2/P2BK1P1/7R w - -,a2a3
2rq1rk1/1p1n1pbp/p1n1p1p1/3p4/N2P4/1P2P1P1/PB2QPBP/R1R3K1 b - -,b7b5
r3kb1r/pp1bpp2/n1p1nP2/q2pP2p/3P4/P1NB1N1P/1PPQ1B2/1K1R3R w kq -,f2h4
3Q4/pp4bk/2qNb1pp/4pp2/7P/5P2/PPP5/1K1R4 b - -,c6d7
8/5ppk/2n1p2p/1pBb4/8/6NP/3r1PP1/1R4K1 b - -,d5c4
8/5k2/1p6/p1p3B1/3p3R/3b1K2/1P2r2P/8 b - -,e2b2
r4rk1/1pp2pp1/pbnp1n1p/4p3/4P1q1/1PPP1NN1/1P1B1PPP/R2Q1RK1 b - -,d6d5
1r3q1k/1b1n2b1/2R4p/4ppp1/2N1n3/5N1P/P1Q2PPB/3R2K1 w - -,c6c7
r6r/1bq2kpp/p2pNb2/7P/Np2n3/1P2B3/1PP1QP2/2KR2R1 b - -,f7e6
3k1rr1/pp1b1pp1/1n2p2p/3pP2P/2pP3N/q1P3R1/P1PQBPP1/R5K1 w - -,f2f4
2rr2k1/p4ppp/b2qp3/8/Pp1Q4/1PB3P1/2P2PBP/R3R1K1 b - -,d6d4
7r/4r1bp/B2kp2R/3p2p1/8/6P1/P1P4P/4R2K w - -,h6h5
7R/8/pk6/2p5/2P5/1P3p2/P4P2/1b2K3 b - -,b1a2
r1bq1rk1/pp1pnpbp/2n3p1/2p1p3/4P3/P1PP1NP1/1P3PBP/RNBQ1RK1 w - -,b2b4
3R4/pp2rp2/2p1k1pp/2P5/4P3/4KP2/PP6/8 b - -,e7d7
4r1k1/5p2/6p1/6R1/P1P4q/8/3Q1PK1/8 b - -,h4c4
2br1rk1/ppp2qbp/2n2pp1/8/3N3B/P1Q2P2/1PP1NKPP/3R3R b - -,c6d4
8/4k2p/p3p1bB/1p2bp2/4pN1P/8/1P2B3/4K3 w - -,h6g5
r1b1k2r/pp1p1ppp/1qn1pn2/8/1bP1P3/1NN1B3/PP3PPP/R2QKB1R b KQkq -,b6c7
8/8/8/8/4q1p1/1K2k3/P7/2Q5 b - -,e3e2
r2q1rk1/1p3ppp/1bppbnn1/8/3pP3/2P2N1P/PB1N1PP1/R2QRBK1 w - -,f3d4
r1b2rk1/5ppp/p3p3/2Pn4/8/8/P2B2PP/2R1KB1R b K -,e6e5
6k1/2p3pp/r1n1q1n1/P2p2P1/Q1bP1p2/5N1P/3B1PB1/2R3K1 w - -,c1c4
3rrbk1/pppn1ppp/4nqb1/4p3/2P1P3/1P2RNNP/PBB2PP1/R3Q1K1 b - -,f8c5
1rbn1k2/3q1p1r/p2N1R2/1pppP1Pp/3p3P/P2P2P1/1PPBQ2K/5R2 w - -,d6c8
6k1/p2P2r1/4pBp1/1pP1qp2/7Q/1P2n1P1/P4R1K/7R b - -,e3g4
2n3b1/r5k1/p2R4/2p2PN1/1p2P2R/8/1P6/2K5 w - -,f5f6
