8/2p5/p3nk1p/1p6/1P3P2/1B6/P6P/6K1 w - -,b3e6
4r1k1/p3p1b1/3pP1pp/3q4/nprNbPRB/1N2Q3/PPPR3P/K7 w - -,g4g1
8/8/8/5pp1/R2rk2p/7P/8/6K1 w - -,a4a3
8/8/7P/5p1q/4p3/4P1P1/1Q2kPK1/8 b - -,e2e1
1n3k2/p4p2/b1n1p2p/2p5/2P2P2/P2BP3/5K1P/2R1N3 w - -,e1f3
8/3r1ppk/8/1P1n4/2N1R1PP/1K6/8/8 b - -,d5f6
r2q1rk1/pb1p1ppp/1pn1p3/8/Q1P5/1NP1PB2/P4PPP/R4RK1 w - -,f1d1
3k4/R7/p4r2/1pP1p3/1P2K3/8/8/8 b - -,f6f4
2r1r1k1/1p1n1p1b/1q3P2/pNp1p2Q/PnPpP2p/3P4/1P3BB1/3R1RK1 b - -,d7f6
8/r4p1p/4p1k1/P1R3P1/5KN1/8/6b1/8 w - -,g4e3:g4f6
r1bq1rk1/ppp2pbp/2np2p1/4p2n/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 w - -,d1d2
8/5K2/6RP/5k2/8/8/8/r7 w - -,g6g2:g6f6
2k1r3/ppq2p2/5Bp1/2pPbp1r/2P5/6P1/PP2Q1KP/R2R4 w - -,f6e5
r1r4k/2R3pp/p4p2/1p1b4/nb1B4/4PN1P/5PP1/R4BK1 w - -,c7c8
r1bqk2r/1p2npbp/p1n3p1/2p1p3/P3P3/2PP1NP1/5PBP/RNBQ1RK1 b kq -,e8g8
r1bqk1nr/pppn1pb1/3pp2p/3P2p1/2P1P3/2N1BN2/PP2BPPP/R2QK2R b KQkq -,e6d5
2r3k1/ppn1pp2/1qp3pp/8/3rP3/P5P1/2QR1PBP/3R2K1 b - -,c8d8
r3k2r/ppqn1pp1/2pbpn1p/4N3/3P4/2N3BP/PPP1bPP1/R2QR1K1 w kq -,d1e2
2rr3k/5pp1/2n1p2p/p1R1Pq2/Qp1P4/4B3/PP3KPP/2R5 w - -,f2g1
r3r1k1/pq1n1ppp/2p1bn2/Q7/4P3/1N3B2/PPP1NPPP/1K1R3R w - -,b3c5
2r3k1/r5pp/1pp2p2/2b1p3/4P3/1RN2N1P/4KPP1/3R4 w - -,d1c1
r2qr1k1/3n1pbp/p2P2p1/1p1b4/P1N1pP2/1Q2B3/1P2B1PP/2RR3K w - -,a4b5
5rk1/q3ppbp/3p2p1/1p1PP1B1/nP3P2/7P/3Q2P1/3NR2K w - -,d1f2
5nk1/p1n2pp1/1p1ppb1p/1b6/1P1PPP2/P5PP/1B1N4/1B2N1K1 b - f3,f8d7
5rk1/3q3n/4r2p/p7/2QBPp2/P7/5RPP/5RK1 b - -,f8c8
5k2/p7/Np3bp1/1P1R3p/3P3P/4PKP1/r7/8 b - h3,f8e7
4Q3/q4rkp/5p2/6p1/PP6/7P/6P1/4R2K b - -,h7h5
2r2kr1/1p3pb1/p3b3/2q1n3/7B/P2p1PPB/1PPQ3P/1K1R2NR w - -,c2d3
1r1r2k1/1pnnqp2/p1p1p1pp/4P3/1P6/PQ2P2P/1B3PP1/1BRR2K1 w - -,b3c4
2r1r1k1/4bp2/p2p2pp/1p1qn3/3N1R1P/3B2Q1/PPP3P1/1K3R2 w - -,d4f5
2r3k1/1p2qpp1/p3p1np/3bP3/1P5P/P2Q2B1/5PP1/1B1R2K1 b - h3,b7b5
5r1k/p2q3p/1p3P2/8/b6Q/P2pP3/1P1K4/2R5 b - -,f8g8
