8/6k1/p1R5/6KP/6P1/8/8/r7 b - -,a1a5
r7/2p2p2/1pk3p1/2p1Pb1p/P1Kn1P1P/1P4P1/R2N4/2N5 b - -,a8d8
1r4k1/6p1/1q2pp2/3p4/3P2Q1/1b2N1PP/5PK1/2R5 b - -,b3a2
r3r3/2p2pk1/3p3p/1PbP1Pp1/1p3pP1/3B4/1R3PKP/5R2 b - -,a8a3
2bq1rk1/1p2bppp/r3pn2/p1n5/2N5/1PN3P1/P3PPBP/R1BQ1RK1 w - -,c1f4
5r1k/1b5p/1p3p2/P3n3/8/P3rPN1/1KPRB1PP/7R b - -,b6a5
5k2/2R5/p5p1/1b2N2p/1p3p1P/1P6/1r3PP1/6K1 w - -,e5g6
5k2/5pp1/4p2p/3pP3/1pqP4/4P2P/1PbQ1KP1/2N5 w - -,d2e2:c1a2
r7/7p/6p1/2k2p2/2pR1R1P/6P1/r4P2/3K4 b - -,a2a1
1n3rk1/r4p1p/q2Q2p1/2p5/p3RP2/2N5/PP4PP/3R2K1 w - -,d6c5
1rbr2k1/pp2qppp/2n1p3/8/3P4/4P1P1/PQ1N1PBP/R4RK1 b - -,c8d7
3r2k1/2R2ppp/1p4N1/5R2/P2p4/1P2rP2/5KPP/5b2 b - -,f7g6
8/5pkp/2Nr2p1/2R5/8/p4PP1/8/7K w - -,c5c1
7r/p4kp1/5b1p/2PRr3/1P2p1P1/5n2/P2BNPKP/4R3 w - -,d5d7
r6k/p3r1pp/1pp2p2/2p5/P2nP3/3PN2P/1PP2RP1/R5K1 b - -,a8d8
3r2k1/pp2qQpp/2bN4/4p3/4P3/8/PPP2PPP/2KR3R b - -,e7f7
5bk1/p1q2ppp/2pn4/2B3P1/4rQ2/5N1P/PPb2PB1/2R3K1 w - -,f4d2
3rr1k1/ppqn1pp1/2p1bp1p/8/2PP4/3BB3/PPQ2PPP/R4RK1 w - -,b2b3
8/p4kpp/1bb5/4R3/1p3Np1/1P4P1/P6P/5K2 w - -,e5f5
r1b1k1n1/pp3p2/6p1/2p1B3/1nP4r/1P4N1/P2K1PPP/R4B1R b q -,c8e6
r3k2r/ppqnbpp1/2p1pnp1/3p4/2PP4/1QN1PP2/PP1B2PP/1K1R1B1R b kq -,d5c4
r4rk1/p1p3pp/1bpp2q1/4p1Nn/4P3/2N1B3/PPP1QPK1/3RR3 b - -,h5f4
7k/3R2R1/7p/p2n3P/8/2r5/4K3/5r2 b - -,f1a1
R7/8/3pkp2/4r1Pp/5K2/6P1/5P2/8 b - -,f6g5
b7/P7/3K4/6N1/5p2/5Pk1/8/8 b - -,g3h4
1r6/4p1k1/1r3pp1/p1p4p/b1B1P2P/P1P2P2/1P1R2P1/2K1R3 w - -,e4e5
2nrkb1r/pp1q2pp/2p1p3/P2pP3/1P1B1Pn1/2NB4/2PQ3P/1R3RK1 w k -,f4f5
4r1k1/5pb1/1R6/4pbB1/3q2p1/8/5PB1/4Q1K1 w - -,b6b4
7n/3Q2pk/6r1/4B3/5K2/8/8/8 b - -,h7g8
r3rnk1/1p3pb1/p1pp1q2/5b1p/P1PP4/1PN2N1P/1BQ2KP1/R3R3 w - -,c2d1
3n1rk1/5p2/p3b1pp/4b3/3p4/6P1/P4PBP/1R2R1K1 w - -,e1e5
5r2/5pkp/p2p2p1/1p1P2r1/8/2PR4/PP5K/5R2 w - -,f1e1
r3r1k1/1p3pp1/p4b1p/Q7/2pP3P/PnP1BN2/5PP1/3RR1K1 b - -,b3a5
2r2rk1/p2nqpb1/1p2p1pp/2ppP3/3P4/2P2N2/PP2QPPP/R3RNK1 w - -,f1e3
3q1k1r/3b1p2/pn5p/3pPppP/5PN1/1B6/PP1Q2P1/2R3K1 w - -,g4f6
2B4k/3R4/P7/4p2p/4P2b/8/r7/3K4 w - -,a6a7
5r1r/pk2p3/3q2p1/2p1n3/3n4/NPQ5/PBPb1PP1/R4KNR w - -,c3d2
8/8/8/2K5/k6r/8/2N5/1R6 b - -,h4h5
3r4/1p2Bpk1/pN1p2p1/8/2P2Pn1/1P1p1R2/1P4Pr/R5K1 b - -,d8h8
3br1k1/1p1n1q2/2p3p1/4pp1P/8/3P1QP1/1P3RB1/4R2K b - -,f7h7
8/1pkn4/4p1pp/PPK1Np2/5P1P/8/6P1/8 w - -,e5d7
4r3/ppr1npk1/2pR3p/P3R1p1/8/1BK3P1/1P3PP1/8 w - -,c3b4
8/8/R1b2k1p/5p2/2r5/4B1KP/P4P2/8 b - -,h6h5
r1q2rk1/1ppb1pbp/p1np1np1/8/2PNP3/2N1B1PP/PP3PB1/R2Q1RK1 w - -,g1h2
r1b2rk1/1pqpbppp/p1n1pn2/8/2PN4/2N1B1PP/PP2PPB1/R2Q1RK1 b - -,d7d6
r2q1rk1/pb3pbp/1p2n1p1/2pNp3/2P1P3/3Q2PP/PP3PB1/R1B1R1K1 b - -,f7f5
5rk1/p7/1pq3p1/4pr1p/2pbN1QP/6B1/PP2RP1K/8 w - h6,g4h3
rr4k1/3n2p1/1p1pq2p/PR2p3/N2pP3/3P3P/2Q2PP1/R5K1 w - -,a5b6
