8/8/R5p1/P4k1p/8/2r5/6K1/8 w - -,a6a8
8/2R1Kpk1/r1NR2p1/4P2r/8/8/8/8 w - -,d6d7
r3k2r/p3bppp/1q2pn2/2pp4/3P1B2/8/PPP1NPPP/R1Q2RK1 w kq -,c2c3
8/4r1k1/8/R4BP1/8/p4K2/Pb6/8 w - -,a5a6
8/3n2p1/p1q1k2p/3npp2/8/PP3PP1/3Q1B1P/4N1K1 b - -,c6c3
2Qr1k2/3P1p2/p3Pb2/8/8/1P1R4/1PP5/1KB1q1r1 w - -,c8c5
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
r2q1rk1/pp1n1ppp/2p1pn2/8/Pb1P4/2NbPN2/1P2QPPP/R1BR2K1 w - -,e2d3
Q7/8/8/4p1k1/8/4K2p/8/8 b - -,g5g4
r2q1rk1/p3ppbp/np1p1np1/8/2PpP3/2N1BB2/PP1Q1PPP/R2R2K1 w - -,e3d4
r3r1k1/p1b3pp/1pp5/8/4n1P1/P2N3P/1PPB4/2K1R2R b - -,c7g3
r2qk2r/ppp1bppp/2np1n2/4p3/2B1PP2/2NP1b1P/PPP3P1/R1BQK2R w KQkq -,d1f3
5rk1/pp1q2p1/2p4p/N2pP2b/5P1b/4BP1P/PP1Q3K/2R3r1 w - -,c1g1
2kb1R2/1p6/6pr/8/4r3/PBP5/1P3P2/2K3R1 b - -,e4e5
1rb2rk1/2q1bpp1/2p1p2p/5P2/p1P1B3/1P6/P1Q1N1PP/3R1RK1 w - -,d1d3
2r3k1/5ppp/p1q2n2/8/1P3B2/P4Q1P/5PP1/R5K1 w - -,f3c6
1kb4r/1p1rbpp1/2npp2p/1N5P/1P2PP2/P2R1B2/2P2BP1/1K5R b - -,e6e5
2r1r3/pp2ppk1/6p1/4R2p/5N2/7P/bPPR1PP1/6K1 w - -,e5a5
5k1r/1pr2pp1/4p2p/P2p4/1R1Pb3/1P2P3/2P1NP1P/4K1R1 b - -,f8g8
n1bq1rk1/1p2b1pp/p3p3/3p1p2/3PnB2/1Q2PN1P/PP2BPP1/2R2RK1 w - -,e2d3
5bk1/5p2/4p1p1/ppq1P1Bp/5P1P/1P2P3/2Q5/1K6 w - -,c2d3
q3r1k1/5pp1/1R2p2p/1Q6/rp1P4/4P3/5PPP/1R4K1 w - -,b1b4
r5k1/rR1n1ppn/p1p5/2Pp2q1/P2Pp2p/2N1P1PP/2Q2PB1/1R4K1 w - -,g3g4
r3r1k1/1bq1bpp1/p2pp2p/1p1n4/3P1n2/2P2NBP/PPBNQPP1/3RR1K1 w - -,g3f4
1r1q1rk1/1pn3bp/p2ppnp1/P1p5/Q1P5/4PN2/1P2BPPP/R1B2RK1 w - -,a4c2
8/pp3kp1/5p2/1P2rPP1/5K2/P1Np4/1P1Rb3/8 w - -,c3e4
4k3/2q5/2N1ppp1/2Qp3p/2nP1P1P/5KP1/5P2/8 w - -,c5b5
2rr2k1/pb2qpp1/1p3nnp/3pp3/2P5/P1N1PP2/1PQ1BBPP/3R1RK1 w - -,c2b3
r2q1rk1/p5bp/2ppb1p1/4pp2/1PP1n3/1N4P1/PBQ1PPBP/1R3RK1 b - -,d6d5
3b1rk1/2qb1ppp/p5r1/1pQ5/1PpNR3/2B1R3/1PP2PPP/6K1 w - -,e4e5
r4rk1/pbn1ppbp/2p3p1/1p2P3/3N4/7P/PPP1BPPB/R4RK1 b - -,f8d8
8/8/8/8/3N1p2/4p1p1/3k2K1/8 w - -,g2f3
5r1k/1p1q2p1/2n4p/7P/P1bpr2B/P5P1/3R1P1K/3Q3B w - -,h1e4
2r3k1/p1B3p1/7p/3p1p2/Q2bq2P/6P1/P6K/2R5 w - -,a4d7
6k1/p2nb2p/Pp2p3/1Pp1Ppp1/2Pr1P2/6P1/5NBP/3R2K1 b - -,g5f4
1qrr2k1/1b3ppp/p3n3/1p1p2P1/4P2R/2N2B2/PPP2Q1P/1K1R4 w - -,e4d5
8/1p1k4/p7/3Pr1p1/1QP1r3/2P5/P5P1/6K1 b - -,b7b5
K7/8/6p1/8/4q1kP/8/4p3/4Q3 w - -,a8a7
5Q2/8/7k/3p2b1/P2Pp3/1P2P1P1/3q2bK/8 b - -,h6h5
4r1k1/1pRbqppp/p7/3p4/Q2P4/P3B3/1P3PPP/5RK1 b - -,d7a4
8/8/4k3/4p3/K1n2p2/P4P2/1P3B1P/8 w - -,a4b5
2r3k1/1brq1pp1/p2p1n2/1p1P3p/1P2pP2/PBN1P2P/3Q2P1/2R2RK1 w - -,c3e2
3r1qk1/p2r3p/1pQPRp2/2p2Pp1/2P5/8/P5PP/3R2K1 w - -,c6d5
4r3/6pk/p5bp/4p3/q1PpN1Q1/3P3P/P5P1/4R1K1 w - -,g4e2
r4rk1/2p2ppp/p4n2/2q1p3/Pp2P1b1/1B2Q3/1PPN1PPP/R3R1K1 b - -,c5e3
1r3b1r/3kpppp/8/3N1b2/R2p4/1P3P2/2nP2PP/2BQK2R w K -,e1f2
r4rk1/ppq1bppp/2n2n2/3p2B1/3P2b1/1QNB1N2/PP3PPP/R4RK1 w - -,g5f6
8/6K1/4k3/6RP/5pP1/5r2/8/8 b - -,f3a3
8/pp5p/6p1/5kP1/2p5/P3B3/6P1/2K5 b - -,b7b5
8/pn1P1k2/1p3p2/1B3p2/P4P1P/6P1/8/6K1 b - -,b7d8
4r3/6kn/3B2p1/4p2p/3p2nP/PR6/1PB3P1/6K1 w - -,b3b7
rnbq1r2/1p2ppkp/p2p1np1/2pP4/P3P3/1NN5/1PPQ1PPP/R3KB1R b KQ a3,d8c7
5rk1/q2bppbp/n4np1/2pPP3/2N5/P1NB4/3B2PP/3Q1RK1 b - -,f6e8
1R6/p4pkp/4p3/5p2/8/1P1QP1P1/Pb3P1P/2r1qBK1 b - -,c1d1
r2q1rk1/pb2bppp/1pp1pn2/8/2PP1B2/5NP1/PPQ2PBP/R4RK1 b - -,e7d6
r3k2r/pb1nppbp/1q1p2p1/1ppP4/P3P3/2P2N2/1PQNBPPP/R4RK1 b kq a3,a7a6
r3n1r1/1p2bk2/1pn1p3/1b1p2p1/3P2P1/2B2P2/PP6/RBN1RNK1 b - -,e7f6
8/6p1/5k2/8/pK3N2/8/8/8 b - -,g7g5
1r2k2r/3nbp1p/2n1p3/3pPP2/p1pP4/Pq3N2/1P3BBP/1RQ1R1K1 b k -,h8g8
4r1k1/3n1pp1/q4n1p/pb1p4/Np1Q4/1P2BP2/P1B3PP/2R3K1 w - -,a4c5
2rr2k1/5p1p/p5p1/1p6/4PQ1P/1bq5/1R3PP1/1R5K w - -,b2b3
2rq1rk1/pp3ppp/4pn2/2Bp4/2P2P2/1P2P3/P2NQ1PP/R4RK1 b - -,c8c5
2r2k2/2P2p2/5p1p/8/2R3P1/2K4P/8/8 w - -,c3b4
1r1qr1k1/1bnnppbp/3p2pB/1PpP1P2/4P3/2N2N2/1P1QB1PP/R4RK1 b - -,g7h8
8/5k2/2b3p1/3p2Bp/p6P/PrNp1Pb1/1P4P1/1RK5 b - -,g3e1
r3kb1r/1b1n1ppp/4p3/1p1PP3/1pp2B2/2P2B2/PP1N1PPP/R4RK1 b kq -,e6d5
1r3rk1/2p2pp1/pnp1p1b1/q2p2PN/1b1PP2P/1PN4R/P1PBQP2/1K1R4 w - -,h5g7
R7/4k3/6p1/5pP1/3K4/4p1r1/8/8 w - -,a8a7
3r1rk1/p3qppp/B1Q1p3/3p1b2/3PnB2/2P1P3/P4PPP/R4RK1 b - -,g7g5
3r2k1/p3b1pp/1pn2p2/2p1p3/2N1P3/2P1B1PP/PP2KP2/3r3R w - -,h1d1
2rr4/3qpp1k/3p2pb/pNpP3p/PnP1PP2/7P/4QBP1/2RR3K w - -,e2f3
2r5/5pkp/p2p2p1/4p3/1pN1PP2/1b1P2PP/1P3K2/2R5 w - -,f2e3
3q4/3r1p1k/1pQ3pp/3pPN2/1P2nP2/P6P/6P1/3R2K1 w - -,f5e3
r1bqk2r/1p2bp1p/p3p3/2npP3/3n1Pp1/P1N1B1P1/1PPQ3P/R3KB1R w KQkq -,e3d4
5rk1/2qn1ppp/2b2n2/1p2p3/4P3/1N4PP/2PRQ1B1/R5K1 b - -,d7b6
5r1k/6p1/2B4p/P7/1P1r1p2/4p3/3p1PPP/R2R2K1 w - -,c6f3
8/6pp/3ppbk1/1p6/1PqNQ3/6PP/P4P2/6K1 b - -,g6f7
3q2rk/p2rn3/1p2R2p/1Q1p1p2/P1pP1P2/2P2KP1/6NP/4R3 b - -,g8g6
r3kb1r/1bnp1ppp/5n2/2pp4/8/1BN1P3/PP1BNPPP/R4RK1 w kq -,f1d1
3r1k1r/pp1N1p1p/5q2/1Q2p3/3p1b2/4n3/PPP1P1BP/R4R1K b - -,d8d7
r3r1k1/2p2pp1/p3bq1p/np2p3/4P3/1BP1QN2/PP3PPP/R4RK1 w - -,b3e6
r2qk2r/pp1b1ppp/2n2n2/2b5/Q7/3N2P1/PP2PPBP/RNB1K2R b KQkq -,c6b4
8/pp3k2/1b1n4/3N1p2/5P2/1P1N4/P7/1K6 b - -,b6d8
r2qk1nr/pp2bpp1/n3p2p/3pP2P/3NbNP1/2P5/PP3PB1/R1BQK2R b KQkq -,e4g2
