8/2nkbp2/1R6/2p5/8/P3P3/1R2KP2/7r w - -,b2b1
Q4k2/3Rbppp/p3p3/q7/1pr5/4P1P1/PP3PP1/6K1 b - -,e7d8
8/5pp1/8/3R3K/7P/3k2r1/8/8 b - -,d3e3
r7/2b4R/1pPp1k2/1K1Pp1p1/4Pp2/5P2/5BP1/8 w - -,h7c7
rn1q1rk1/pb2bppp/1p2pn2/3pN3/3P4/2N3P1/PP1BPPBP/2RQ1RK1 b - -,f6d7
1rbqk2r/pp2ppbp/2np1np1/2p5/P3P3/2NPB1PP/1PP2PB1/R2QK1NR b KQk a3,c8d7
r1bqkb1r/ppp1pppp/2n2n2/3p4/8/2PP1N2/PP2PPPP/RNBQKB1R w KQkq -,b1d2
rr6/4qb1k/2p1p1pn/ppPpPp1p/3Q1P1P/1P2P1P1/P1N1B1R1/2R3K1 w - a6,a2a3
2r5/8/1p2pkp1/pP6/2PP4/4K1P1/1P6/2R5 b - -,e6e5
r2qr1k1/2p1bppp/bpn5/p1n1p3/P3P3/2P2NP1/1PQN1P1P/R1BR1BK1 b - -,a6d3
1b4k1/1B3pp1/8/7p/PB6/8/5P2/5K2 w - -,a4a5
1k1r3r/pp2q3/1np1b1n1/8/1R2NppP/P2P4/1P2PQBP/2R2NK1 w - -,e4c5
r1r2qk1/1b1n1p2/1pp3pp/3p4/1P1P4/3BPN2/1Q3PPP/R1R3K1 w - -,h2h4
2r2rk1/pb3pp1/1p2q2p/3p4/2NP4/3QPB2/PPR3PP/2R3K1 b - -,c8c4
2b3k1/2p5/8/p2q1p2/2p4p/P6P/6P1/7K w - -,a3a4
r5k1/1Bp2pp1/5n1p/P1rPp3/R7/2P4P/5PP1/4R1K1 b - -,a8a5
r1b1k2r/pp1pbppp/1qn1pn2/8/2PN4/P1N3P1/1P2PP1P/R1BQKB1R w KQkq -,e2e3:d4c2
r1bq1rk1/pp1p1pp1/2n1pn1p/2P5/1bP4B/1QN2N2/PP2PPPP/R3KB1R b KQ -,b4c5
r1br2k1/2q2p2/p1n4p/1p4P1/N2p2p1/PP1Q4/1BP1N3/R3K2R b KQ -,c6e5
1rbq1rk1/1p3p1p/pn4p1/3N4/2BbN3/3Q4/PP3PPP/R4RK1 b - -,d4g7
2kr1b1r/pppq1pp1/2n3b1/3pP3/6p1/2P1PN1P/P2N1P2/R1BQKB1R w KQ -,e5e6
r1bq1rk1/pp1nppb1/2p3pp/3n4/2N5/3P1NP1/PP1BPPBP/R1Q2RK1 b - -,g8h7
r3k2r/2p1bppp/p3b3/1p2P3/8/1B1n1N2/PP3PPP/R1BR2K1 b kq -,e8c8
n1r5/p5k1/6p1/P5Np/1P5P/3P1BP1/4PP2/2R3K1 b - -,c8c1
8/5pkp/6p1/3R4/4PP2/5PKP/8/1r6 b - -,b1g1
r2q1rn1/pp4k1/3p2pp/2pPNp1n/2P5/P2P3P/1P1QBPP1/4RRK1 b - -,d6e5
5b2/5k2/7P/8/2P1KB2/4P3/r7/8 b - -,a2a5
8/7k/p4Ppp/1p6/8/4r1P1/4P1KP/4R3 w - -,e1c1
r3k2r/3p1pp1/1pbq1n2/p1b1pP1p/2P1P3/P1NBB2P/1P2Q1P1/2RR2K1 b kq -,c5e3
2r2rk1/1bqn1p1p/p2ppbp1/p7/P3PP2/1PN1R3/2PB2PP/3BQR1K b - -,f6d4
8/1p4kp/4rNp1/4q3/8/P4Q2/1PP5/1K3R2 b - -,e5f6
6k1/3b2pp/2NP1p2/8/1P1N1n2/r2n3P/P5P1/1R4K1 b - -,a3a2
r1b1k2r/ppp2ppp/5n2/2n1p3/1PB1P3/5P2/P1P1N1PP/RN2K2R b KQ b3,c8e6
8/3Q2pk/1N4q1/p2p3p/Pn3p2/5P1P/1Pr3P1/3R1K2 w - -,g2g4
5bk1/R4p2/p4qp1/3Qp2p/3pP2P/2rP2P1/P4P2/5BK1 w - -,f1e2
3rrb2/1bq2p1k/p2pp1pP/1p2nPB1/2n1P2Q/PNN4R/1PP3BP/R6K b - -,d8d7
8/p4pkp/6p1/1B1pQn2/P2P4/2P5/2q2B2/5K2 b - -,g7g8
2r2rk1/p2Rpp1p/2n2qp1/8/Q2bP3/B4B2/P4PPP/2R3K1 b - -,d4b6
1r1q1rk1/pp2bpp1/1n2p1bp/NB1pP3/3P3n/1Q3N1P/PP1B1PP1/2R1R1K1 w - -,f3h4
8/R5p1/p2r2kp/8/2P5/5PKP/5P2/8 b - -,d6c6
rn1qk2r/pbppbppp/4pn2/1B1P4/2P5/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
8/r4kp1/7p/4Pp1P/2R3P1/4K3/8/8 w - -,g4f5
r1bq1rk1/pp2npbp/4p1p1/2Nn4/1P1P4/PQ2BN2/4BPPP/2R2RK1 w - -,f1d1
8/8/8/8/3R4/1k6/3p3r/3K4 b - -,b3c3
Q7/4q1k1/6p1/3Bbp2/2P5/4P1P1/5PK1/8 b - -,g7h6
3k4/8/1NK5/pp4P1/8/1P3P1p/8/8 b - -,h3h2
rnbqk2r/ppp1ppbp/3p2p1/8/3Pn3/5NP1/PPP2PBP/RNBQ1RK1 b kq -,e8g8
2r3k1/1b2qpb1/1Q1p2p1/1N1N3p/7P/2B5/PP3P1K/3R4 b - -,e7h4
3r4/5kp1/5p1P/4p1P1/1pP1P3/1P1pBR2/2nRr3/6K1 w - -,h6h7
2qr4/p2r2k1/2p2pp1/3np2p/2N3bP/QP2P1P1/P2R1P2/2R2BK1 b - -,c8c7
q3k2r/p2n1ppp/5n2/2b5/2p2Q2/2N3Pb/PP2PP1P/R1BR2K1 w k -,f4f3
1n3rk1/r1p2p1p/p3pb2/4Np2/2BP1q1P/1Q6/PP3PP1/2KRR3 w - -,d1d2
4r3/5rkp/2qP1pp1/4p3/2NbP1Q1/1P3R2/6P1/4R2K b - -,e8a8
r2q1rk1/pQ3pb1/2n2np1/7p/3p3P/2N1BPP1/PP2BP2/2RR2K1 b - -,d8e8
1rb1k2r/2q1bppp/p1nppn2/1p6/4PB2/PNN3P1/1PP1QPBP/R3R1K1 b k -,c6e5
r1b2r2/1p2qpk1/2p4b/4p3/2B1P1p1/2P1B1Pn/PP1Q1PKN/R3R3 b - -,f8h8
rnbqkbnr/pp2pppp/2p5/3p4/4P3/8/PPPPNPPP/RNBQKB1R w KQkq d6,e4e5
8/1p3kp1/2b1p2p/p3r3/P1PR4/5PqP/2BQ2P1/7K w - -,d4f4
r1b2rk1/p1bp1ppp/1p2p3/P1p1P3/2BnNP1q/3PB3/1PP3PP/R2Q1RK1 w - -,a5b6
2r3k1/pp5p/3b2p1/P2P2n1/2p1Pn2/2N2P2/1PB4B/R6K w - -,a5a6
rn1qk2r/p1p2ppp/b3p3/1p6/2pPnB2/5N1P/PP1QBPP1/R4RK1 w kq -,d2a5
4nr1k/1p2qn1p/p2pBp1P/2pPpP2/2P1RPPQ/2P5/P2B4/6K1 b - g3,e5f4
8/4kB1p/4P3/2Nb4/8/p1K3P1/7P/8 b - -,e7d6
rn1qkbnr/pppb1ppp/3p4/8/2PNP3/8/PP3PPP/RNBQKB1R b KQkq c3,b8c6
r3k2r/1b1p1ppp/p1q1pn2/8/4PP2/2PBB3/2PQ2PP/R4RK1 b kq -,f6e4
r4q1k/2p1b1p1/p1n2r2/1p1p4/5nb1/2P2NB1/PPQN1PPP/RB2R1K1 b - -,f6h6
rn2kb1r/3p1ppp/4p1q1/1Bpb4/P7/2B1PN2/1P3PPP/R2Q1RK1 b kq -,f8e7
R7/8/6pk/1pN4p/2b2Kn1/2P2B2/3r4/8 b - -,d2f2
5rk1/b4ppp/4N3/n7/4P3/P5P1/5PKP/1RN5 b - -,f7e6
rnbq1rk1/ppp1p1b1/6pp/3n1p2/3P3B/2P2N2/PP1N1PPP/R2QKB1R w KQ f6,f1c4
2r5/p2q1pbk/1p2b1pp/3p4/3P4/5PP1/PP1QNKBP/3R4 w - -,d1c1
r1bqk2r/1p2ppbp/p1np2p1/4P2n/2B2B2/2N2N2/PPP2PPP/R2QK2R w KQkq -,f4g3
5bk1/7p/2qPp1p1/5B2/1Bb5/P7/6PP/5QK1 w - -,f5d3
r1b2k1r/pp1n1ppp/4p3/1N1pP3/1R6/3B1N2/q1P2PPP/3Q1RK1 b - -,a2a5
5k2/2p2p1p/3rb1p1/1p1n4/2pN4/2P5/1P3PPP/3R1RK1 b - -,e6d7
3r1k2/1n1n1rp1/pq1p1p1p/1ppP1N2/4PQ2/1P4RP/PB3PP1/1R4K1 b - -,g7g5
8/2b3kp/1p6/pn4P1/4pP2/4P2P/3N2K1/1B6 w - -,b1e4
2r5/8/2kp4/P7/1PP5/2B2R2/2K4b/8 w - -,c2b3
8/6pk/5p1p/Q1P1pP2/bP2P3/B1KP4/8/3q4 w - -,c3b2
6k1/3b3p/3P1pp1/2pPq2P/3bP3/rrN2Q1P/2R3B1/2R4K w - -,h5h6
r2r2k1/pp1bqnpp/2p1p3/3pPp2/2P2P2/NP2P1PP/PQ3RB1/2R3K1 b - -,d7e8
r1bq1rk1/pp1nppbp/n2P2p1/8/3pNP2/3B1N2/PPP3PP/R1BQ1RK1 b - -,a6c5
2r4k/3p3p/p1r2b2/1p4p1/3p1B2/P2P4/1PP1RRPP/5K2 w - g6,f4g3
8/5kp1/7p/6pP/3R2K1/4P3/1r3P2/8 w - -,f2f3
8/8/R7/b1k2P2/1rn3p1/2K3P1/p5P1/3R4 w - -,d1a1
8/2nr2k1/pp1p2pp/2pP1P2/P1P1N1P1/1P1B1K1P/8/8 b - -,g6f5
R7/5pk1/2p3pp/1b1p3P/1b1P2P1/4P1N1/1r3PK1/3B4 w - -,g2f3
r1bq1rk1/1pp1nppp/3p1n2/p1b3B1/2Pp4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,f3d4
5Q2/2K5/4qp2/6p1/8/2k3PP/8/8 b - -,e6e5
r3r1k1/pp3pbp/1np3p1/4q2n/4P3/1BN1BP1P/PP2Q1P1/R2R2K1 b - -,a8d8
1r2qr2/1pnb1Nk1/p5p1/P2p2p1/2p5/2NB4/1PP3PP/R3QRK1 w - -,d3g6
5r1k/5q2/8/2R1b1p1/4PP2/8/4Q1KP/2B5 b - -,g5f4
2R5/pp1r2p1/3k3p/3p4/3P1p2/5P1P/PP4PK/8 w - -,c8f8
8/1R3p2/2ppk1p1/7p/3nP3/5P1P/5KP1/8 w - -,f2e3
2r1q1k1/p3bpp1/Q2np1p1/1p1p4/6P1/P1rP3P/1P1BPPB1/5RK1 w - -,d2c3
2b5/6pk/p6p/4b3/1P2P1P1/PK3B2/3r2P1/2R5 b - -,c8e6
r3rnk1/p1q3b1/2p3b1/N1Pp2pp/Q2P1p2/7P/P2BBPP1/2R1R1K1 b - -,e8e6
1rr5/2p1kqp1/2Qp1b1p/4pP2/6P1/2P1B3/PPP4P/1K1R3R w - -,a2a3
r1bqr1k1/pp3ppp/2nb2n1/3p4/3P4/BPP2NP1/4BP1P/RN1Q1RK1 w - -,f1e1
r7/pbp2k1p/1p3Np1/nP2p3/2P1P3/4B3/P5KP/3R1R2 w - -,f6h7
8/3k4/p2P2p1/7p/3bP2P/3P2P1/P2N1p1K/8 w - -,h2g2
r1q1r1k1/1pp2pp1/2np1n1p/p1b1p3/2P5/PPNPPNPb/1B3PBP/2RQ1RK1 w - -,c3d5
8/6k1/R5p1/7p/P6P/r5P1/5K2/8 b - -,g7f7
r1b1r1k1/4qpp1/p2p1n1p/1p1P4/4pP2/P1N1P3/1P1QB1PP/R3K2R b KQ -,c8b7
1r5r/p5b1/3pk1p1/2p4p/2PP4/1P2P1Pb/P4P1P/R1B1R1K1 b - -,c5d4
2k5/2p3pp/p2b4/1p2P3/2p5/P1P3PP/1P2R1K1/3r1N2 b - -,d6c5
r4rk1/ppqnppbp/2p1b1p1/2PpN3/1P1P4/2B1PPP1/P3Q1BP/2R2RK1 w - -,e5d3
8/5pp1/3k3p/1R6/8/1p3P1P/6PK/r7 b - -,a1b1
r7/1b3r1k/5q1p/p4p2/2PN4/bP2PP2/P1Q1K1RP/6R1 b - -,a8e8
4r1k1/p2b1pbp/2p3p1/2B1p3/4P3/6P1/PP2RP1P/4N1K1 w - -,c5a7
8/B5pk/5r2/6R1/1p3n2/1P4K1/P7/8 w - -,g5g4
rnbqkbnr/3p1ppp/p3p3/1pp5/4P3/2N3P1/PPPP1PBP/R1BQK1NR w KQkq b6,d2d3
r3r1k1/pb1n1pp1/5q1p/2pP1N2/1P1p4/P7/5PPP/1BRQR1K1 b - b3,b7d5
6k1/2p2pp1/1p2p2p/2Pn4/1PqBp3/r2b1PP1/1Q4BP/3R2K1 b - -,a3a2
2rq2k1/6np/2N1p1pb/p1B5/Bp2n3/8/PPR1QPPP/6K1 b - -,c8c6
8/8/3kBP2/p2P1K2/P7/2b5/8/8 w - -,f6f7
2bq1r1k/1pp3b1/8/1PP2p2/pQnp1Rp1/P5P1/5PBN/4R1K1 b - -,c4e5
r2r2k1/1p2qppp/p1p2nn1/3p4/NP1P2b1/P2BPN2/2Q2PPP/2R2RK1 w - -,f3d2
1r5k/1r3pbp/q2P2p1/4P1P1/1R1Q1P2/7P/3B4/1R4K1 b - -,b7b4
8/6pp/2k2p2/p3p3/2Kn1P2/1P1N4/6PP/8 b - f3,c6d6
r4rk1/3n2pp/2q1pp2/1p6/2pBPP2/2QP4/2P3PP/R4R1K b - -,f8c8
r4rk1/5pqp/bp2p1p1/p1n1P3/2p2P2/6P1/PPnN1RKP/3QR3 w - -,d1c2
r4rk1/1ppbq3/p2p1npp/2PPppbn/1P2P3/2N2P2/P1RN1BPP/R2Q1B1K w - -,a2a4
4k2r/1p3pp1/1pn2n1p/1Nb1p3/3p1P1N/3P2P1/bP2P1BP/2B2R1K w k -,f4e5
2q2bk1/6r1/2Np2R1/1P1bp3/7Q/4B3/3K1P2/8 w - -,h4f6
