8/8/1K6/4r3/1Nk5/8/8/8 w - -,b4c6
r1bqk2r/pppp1pp1/1b3n1p/1B2p3/4P2B/2PP4/PP3PPP/RN1Q1RK1 b kq -,c7c6
r1br2k1/1p1nppbp/2n3p1/p7/2P1P3/B1N2P1N/PP4PP/2R1KB1R b K -,c6b4
2kr3r/p3bp2/4p1p1/1pnpP3/5Pp1/1Pp4P/P4K2/1RB1NN1R w - -,b3b4
r1b2rk1/1p3pbp/pn1p1np1/3Pp3/1P2P2N/2N3P1/P2B1P1P/R2R1BK1 b - -,c8d7
2rq1rk1/1b2bppp/p2ppn2/1p2n3/3NP3/P1N1BP2/1PP2QPP/R2R1BK1 b - -,d8c7
r2r2k1/pp3pp1/5q2/1N1p3p/6n1/1PR1P1Q1/P4PPP/R5K1 b - -,a8c8
8/3K4/8/8/1p6/1P3Q1k/q7/8 b - -,h3h2
r1b1kbnr/ppqppppp/2n5/8/4P3/1N6/PPP2PPP/RNBQKB1R w KQkq -,b1c3
r5k1/3nBppp/3R4/pB2P3/5PP1/5b1P/P1R2K2/3r4 b - -,d1d6
rn1qk2r/p3ppbp/2p2np1/8/8/1PN5/PBPPN1QP/R3K2R w KQkq -,h2h4
1r5k/4q1p1/2rp3p/p1pRp3/1pQ1P3/1PP2P2/P5PP/3R2K1 b - -,b8b6
3r4/p4k1r/4p3/1pnp4/3P4/2P3R1/PP3PP1/R5K1 w - -,d4c5
3rrqk1/1b1n1nbp/1ppp1pp1/p7/P1PPPB2/1NN3Q1/1P2B1PP/4RRK1 b - -,f8e7
2rb1rk1/q4ppp/pN1p4/Pp2n3/1P1RP3/1B4QP/5PP1/3R2K1 b - -,c8c6
4r1k1/1p1q1pp1/p2p3p/3P2b1/3N2Pn/3B2Q1/PPP5/1K1Rr3 w - -,d1e1
r1bqk2r/pp2bppp/2n2n2/8/2Pp4/1P3NP1/P4PBP/RNBQ1RK1 b kq -,e8g8
3rq1k1/pb2rppp/1ppbp3/2P1N3/3P4/P2R2P1/1P2QPBP/3R2K1 b - -,d6c7
2r3k1/ppq2pbp/5pp1/4pb2/8/2N2P2/PPPQ2PP/2KR3R w - -,g2g4
r1bqkb1r/pp1n1ppp/4pn2/1Bp3N1/8/2N5/PPP2PPP/R1BQR1K1 b kq -,f8e7
1r3bk1/3q1ppb/p3rn1p/1pp1p3/nPP1N3/PQ1PN3/5PPP/B1RR1BK1 b - -,h7e4
r2r2k1/pp2ppbp/2nn2p1/q4b2/2BP4/1PB2N1P/P3NPP1/R2Q1RK1 b - -,a5c7
r1bq1rk1/p2pp1bp/2p2ppn/2p5/3PP3/2P2N1P/PP3PP1/RNBQR1K1 b - d3,c5d4
rn3rk1/1pqb1pbp/p2p1np1/2pP4/P1B1P3/1QN2N2/1P3PPP/R1B2RK1 b - -,d7g4
8/6p1/2k5/4n3/P2R1p2/1P3P2/4K2r/8 w - -,e2f1
r3r3/p1pq1Npk/2nb3p/8/3P4/1QPb1P2/PP4PP/R1B2RK1 w - -,f7d6
r1b3k1/3nrp1p/2p1p1p1/2Np4/1P1P4/3B2P1/PR3P1P/4R1K1 b - -,d7c5
7r/1pk5/4B3/2p3Pp/5r2/7R/P1K5/8 w - -,g5g6
5rk1/pp1b2bp/4p2p/3pq3/6Q1/3B1P2/PP3P1P/2R2R1K w - -,f1g1
r1r1k3/3b1p2/1B1R4/P2RP2p/2p1P1pP/2K3P1/8/8 b - -,d7e6
r1bq1rk1/ppp2ppp/2np4/4n3/1bP5/2N1PN2/PP1BBPPP/R2QK2R w KQ -,e1g1
6k1/2p2pb1/4p2q/p2bPpR1/P1nB4/2P2NQP/1r3RP1/6K1 b - -,b2b1
r1b5/r5pk/1p3p1p/2P2P2/6P1/8/3Q3P/4R1K1 b - -,b6c5
8/8/8/2K1p2p/5k2/3R4/8/8 w - -,c5d5
r2qr1k1/1b1n1pb1/p1p3pp/1p2p2n/1PP1P3/PN1B1N1P/1B3PP1/RQ2R1K1 b - -,d8f6
r1bqk1nr/pppp1ppp/2n5/8/4P3/1Nb5/PPP2PPP/R1BQKB1R w KQkq -,b2c3
1qrr2k1/1b2bppp/ppn1pn2/8/2pP4/1PN2NP1/PB2QPBP/2RR2K1 w - -,b3c4
r5k1/1p3rb1/3p4/3Pp1qp/4Pnp1/5PR1/P6N/R2QBBK1 w - -,g1h1
r1b2rk1/1p1pb2p/p2Bpn2/q5p1/2PQN3/6P1/PP3PBP/R4RK1 b - -,a5d8
r4r1k/7p/4p3/1pP1p2N/1p2b3/1N4P1/P6P/2bRK3 w - -,d1c1
8/R7/5K1k/5P1r/8/8/8/8 b - -,h5h1
r1b2rk1/ppp3pp/3p2n1/2b3B1/2B1Pp2/1PP2P2/P2N2PP/R4R1K b - -,g8h8
r2q1rk1/1b1nbppp/pppp1n2/4p3/P2PP3/1PN2N1P/2P2PP1/R1BQRBK1 b - -,f8e8
1rbqr1k1/1p1n1pb1/p2p1npp/2pP4/P3P2B/2N5/1PQNBPPP/R4RK1 b - -,g6g5
8/2nk4/p2p1N2/B1pPp3/2P1Kp2/P4P2/6n1/8 b - -,d7c8
r2r2k1/1p2bppp/p1np4/5b2/1PP1qB2/5N2/P2QBKPP/1R3R2 w - -,b1b3
2rb1rk1/pp1qNppp/3pb3/4p3/4P3/2PQ4/PP1NBPPP/R2R2K1 b - -,d7e7
r4rk1/pp1qbppp/2p5/3pP2b/5R2/2PPB2N/PP3QPP/R5K1 b - -,h5g6
r2qk2r/2p2pp1/p1npbn1p/1pbNp3/4P3/1BPP1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
1rbq1rk1/2p1nppp/5n2/3P4/1p3P2/1B1Q4/1PP1N1PP/R1B2RK1 b - -,c8f5
r4rk1/3nqpp1/1p2pnp1/p2p4/1b1P4/1QN1PN1P/PP1B1PP1/2RR2K1 b - -,f8c8
8/2p1r1p1/1p1p3p/1P3k2/5P1P/5K2/8/3R4 b - h3,e7d7
r3r1k1/pppq1pb1/2np1npp/4p3/2P1P3/1P1P1NN1/PB1Q1PPP/R3R1K1 b - -,d7e7
2k4r/3rbppp/p1p1p3/B3R3/1nP5/2N3P1/PP3P1P/R5K1 b - -,b4d3
3q1rk1/1pp1bppp/rn4b1/n3N3/8/1BPP1Q2/P4PPP/RNB1R1K1 w - -,b3c2
4b3/5k2/1P2p3/4P1P1/3P4/7p/8/K7 w - -,b6b7
8/5R1p/8/8/2k1KP1P/8/8/3r4 b - -,h7h5
2k1r2r/ppp3pp/2pb4/3n4/3PN1P1/2PRBP1q/PP2Q2P/2K4R b - -,h8f8
8/8/4p3/8/6k1/2K5/8/8 w - -,c3d4
r1r3k1/1B3pbp/p3pnp1/8/8/2N1B2P/PP3PP1/3Rn1K1 w - -,d1e1
8/pp1n2pk/7p/2qN1P2/3p2PP/PQ4K1/8/8 w - -,b3b7
r1bqr1k1/1ppn1pb1/3p1npp/p2Pp1B1/2P1P3/2N2N2/PP2BPPP/R2QR1K1 w - -,g5h4
1r5k/6b1/6Q1/p3pR1p/2P4P/1P4PK/8/3q4 w - -,f5h5
3r1rk1/1b2bppp/pq2p3/1p2P3/2p1NP2/P4B2/1PP3PP/R3QR1K w - -,e1e2
r3kn2/pp2q2p/6p1/2p2b2/4Q1n1/3P4/PPPN1PPP/2KR1B1R w q -,e4e7
1k6/1b4r1/1N2p3/1PR5/P4p1p/4p1nP/8/4KB2 w - -,c5c3
5rk1/2rpq1p1/4p2p/2b1P3/1pP1Q2P/pR3N2/2P2PP1/4R1K1 b - -,e7f7
r1bqr1k1/pp1n1pb1/5np1/2pPpP2/4N2p/2N5/PP2B1PP/R1BQ1RK1 b - -,g6f5
r4rk1/p2nqppp/2p2n2/bp1p1b2/3P1B2/PNN1P3/1P2BPPP/2RQ1RK1 b - -,a5b6
r1bq1rk1/4nppp/p2p4/1p2p3/4P3/2P1N3/PP3PPP/R2QKB1R w KQ -,f1e2
4rrk1/ppp1n2p/3p2p1/6B1/2PQ1Pq1/2N5/PP6/R4RK1 w - -,g1h2
5rk1/p4ppp/b3pPn1/q2p2PQ/2pP1P2/2P3P1/P2r2B1/R3R1K1 b - f3,a5c3
8/5B1k/6p1/p7/6R1/P7/KP4n1/8 b - -,g2e3
2r3k1/5pp1/4p2p/4P3/2ppB3/6PP/q2N1PK1/3Q4 b - -,c4c3
2rr2k1/1b2pp1p/6p1/N7/n2b2N1/p2B2BP/2P3n1/1R1R1K2 b - -,b7f3
r4rk1/1q2nppp/1p2p3/1P2PP2/p2R4/P6Q/1B4PP/5R1K b - -,e7f5
r1b2rk1/p1pqb1pp/2p5/3n1p2/3Pp3/6P1/PPQNPPBP/R1B2RK1 w - -,d2b3
r1bq1rk1/1p2p1bp/p1np2p1/5p2/1PP1n3/2N1QN1P/P3BPP1/1RBR2K1 w - -,c3e4
2b2k2/1r2R1b1/pp5p/2pNNpp1/8/1P1P4/1PP3PP/6K1 w - -,e7b7
4R3/7p/4N1pk/4Pp2/1pP2P2/5P1K/q4b1P/2Q5 b - -,a2e2
r1bq1rk1/pp1n1ppp/4pn2/2pp4/1bPP4/PP1BPN2/1B1N1PPP/R2QK2R b KQ -,b4a5
6k1/p6p/qpp3p1/3bQ3/3P4/1P6/PB3P1P/6K1 b - -,a6a2
r2qk2r/1p2bpp1/2p1pn1p/p6P/3PQ3/5N2/PPPB1PP1/1K1R3R w kq -,e4e2
5rk1/3r1p2/p1N1pP2/7p/1p1Bn3/1PPR4/P5PP/R6K b - -,b4c3
8/1p6/p1k5/4R3/2r3b1/P7/1P6/1K6 b - -,c6d6
6k1/4bpp1/b3p2p/4P3/1pq5/4BP2/1P1QNKPP/8 b - -,e7h4
r2q1rk1/ppp1bppp/4pnb1/8/2PPP3/1P4P1/PB1N2BP/R2Q1RK1 b - -,e6e5
r4rk1/1bpnqppp/pp1b1n2/3p4/3P4/1PNBPN2/PBQ2PPP/2R2RK1 w - -,c3e2
2r4k/3rq1bp/pBbpp3/6p1/1pP1P1N1/1P4Q1/1P4PP/1N1R3K b - -,c6e4
5rk1/p2bqr1p/np1n1p2/2pPp1p1/1PP1P1P1/P1QBNN1P/5RK1/5R2 w - -,f3g1
3r2k1/2q3pp/p1b1p1r1/1pb4n/4N3/3Q1P2/PPPB3P/1KR2B1R w - -,d3e2
8/1p1nkp2/2rpb1n1/p5pR/P1PRP1P1/1PK2P2/8/3B4 b - -,c6c5
8/4nk2/pp1N4/3PR3/4KPP1/2r5/P7/8 b - -,f7f8
r2qk2r/1b2bppp/pn2pB2/1p6/3P4/1BN2N2/PP2QPPP/R2R2K1 b kq -,g7f6
rnbqk2r/pp2nppp/4p3/3pP3/1b1P4/P1N5/1P3PPP/R1BQKBNR b KQkq -,b4a5
Q4Q2/1p5k/q6p/2p3B1/1b5K/5PP1/1P5P/8 b - -,h6g5
r5k1/5ppp/4P2q/3p1P2/2b5/1pP1QR2/1P4BP/r3R1K1 b - -,f7e6
r3b1k1/qn3pp1/N1n1p2p/pQ1p4/3P4/1P2PPP1/3B3P/R4BK1 w - -,b5d3
r1b2rk1/pp3ppp/2p2n2/3q4/8/1P1BP3/P1QN1PPP/1R2K2R w K -,d2e4
1q2r1kn/4r1p1/2p1Np1p/1p2PP2/P7/6QP/1P4PK/R3R3 b - -,b5a4
3r2k1/pbr4p/1p2ppp1/8/3P2N1/P4P2/1P1R2PP/4R1K1 b - -,g8f7
