8/8/1pp1p2p/p3K1kP/P2P4/1P3P2/8/8 b - -,g5h5
r2r2k1/pp3pp1/6p1/2p3P1/PbnBP3/5P2/1P2N1KP/2R2R2 b - -,d8d4
2q1rnk1/1p3p1n/3p2p1/B1pN1PPp/b1P1N2P/5R2/PQ4B1/3R2K1 b - -,e8e4
8/8/7K/Q7/8/1p3q2/4k3/8 w - -,a5b4
rnbqkb1r/pppppp1p/5np1/8/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq e3,d7d6
r1bq1rk1/pp2bppp/2p2n2/4p3/2P5/1QNPB2P/PP2BPP1/R4RK1 b - -,d8c7
4r2r/ppp3kp/3p2nq/3P4/2P1p2P/2N5/PP1Q1P2/2KR3R b - h3,h8f8
8/5pk1/r1n1p2p/pR4p1/P1K5/1P2NP2/6PP/8 b - -,a6a8
2r5/pb4k1/2n2pp1/1p6/1P3P2/P3BBK1/7P/2R5 w - -,c1c5:c1d1
r4k2/5p2/6p1/p2Rb2p/7N/5K1P/8/8 b - -,e5f6
r1bqk2r/ppp1bppp/2npp3/4P3/2B5/2P2N2/PPPBQPPP/R3K2R b KQkq -,a7a6
8/5pk1/4b1p1/2p1p3/3pPn1p/1P3P1P/1RP1BKP1/3r1N2 b - -,d1a1
r1bqk2r/pp1n1pbp/2pp1np1/4p3/P2PP1P1/2N1B2P/1PP2PB1/R2QK1NR b KQkq -,e8g8
8/3R1p2/p1r2kp1/1p2p2p/1P5P/P5P1/5PK1/8 b - -,f6e6
r1r3k1/pp1n1ppp/1qp2n2/2Pp4/3Pp3/PPB1P2P/5PP1/R1RQ1BK1 b - -,b6d8
4r1k1/p4qpp/3p4/1p3P2/2pP1QP1/8/P6P/5RK1 b - -,f7d5
r2r2k1/p4ppp/1nn1q3/4p3/B1ppP1P1/2P4P/PP2QPK1/R1B2R2 w - -,a4d1
r2q1rk1/pp1nb1pp/2p1bp2/3np3/8/P1NP1NP1/1PQBPPBP/R4RK1 w - -,d3d4
5k2/1R6/1p6/7K/Pr6/8/6P1/8 w - -,g2g4
rn1qkbnr/1p3pp1/p3p2p/3pP2P/3p4/3QB1N1/PPP2PP1/R3K1NR w KQkq -,e3d4
rnb1r1k1/b3qpp1/pBpp3p/4p3/P1P5/3P2P1/3NPPBP/1R1Q1RK1 b - -,c8e6
rnbq1rk1/1p3ppp/5n2/p1bp4/8/P1N1PN2/1PQ2PPP/R1B1KB1R w KQ -,f1e2
2r1k2r/1p1q1p1n/p2p2p1/3Pp1b1/PP2P1Q1/R3N3/3B1N2/4R1K1 b k -,d7d8
8/p7/2pp1kb1/3p2pP/1P1P4/P3K3/3N4/8 b - -,g6h5
r2rn1k1/2q1bppp/b1p5/p3pP2/3pP1PP/P2B1QB1/1PPN4/4RRK1 b - -,f7f6
8/1b2k3/1p1bpp1p/p2p4/P2P1N1K/1P1NP1P1/5P2/8 b - -,e7f7
rn1q1rk1/pbp2ppp/1p2pb2/8/2QP4/1P3NP1/P3PPBP/R1B2RK1 b - -,c7c5
8/Rp3pkp/2p3p1/6P1/3n3r/Pr3P2/1P1R3P/6NK w - -,h1g2
r3k2r/1ppqb1pp/p1n1p1b1/8/3P1BP1/P4Nn1/1PP2PB1/R2Q1RK1 w kq -,f4g3
rn3r1k/1q1bp1bp/1Ppp2p1/5p2/2PN2n1/1Q2P1P1/1B2NPBP/1R3RK1 w - -,b1a1
rnbq1rk1/pp2bppp/4p3/2PpP3/8/2NB1N2/PPPQ1PPP/R3K2R b KQ -,b8d7
B4k1r/5pp1/8/p2n1b1p/1b6/1P4P1/5P1P/R1R3K1 w - -,a8d5
r1br2k1/ppq1bppp/2p1pn2/2Pp4/3P4/P1NBP3/1P1N1PPP/R2Q1RK1 b - -,e6e5
1r1r2k1/ppp2ppp/5b2/2P5/1Pnp4/P5P1/1B2PPBP/3R1RK1 w - -,b2c1
8/5p1k/6p1/5n2/1p3R2/1P4P1/P4Q1K/3q4 b - -,f5h6
r1br2k1/pp2bppp/1qn2n2/3p4/Q7/2N2NP1/PP2PPBP/R1BR2K1 w - -,a4b5
8/8/3pBk2/2pP4/2P4p/r2KPN2/8/8 w - -,d3d2
