8/5p2/6k1/7p/3p1B1K/8/8/8 w - -,f4g5
r1bqkbnr/pppp1ppp/8/8/3nP3/8/PPP2PPP/RNBQKB1R w KQkq -,d1d4
3r2k1/4bp2/2qpn1pp/1p2p3/4P3/1P3NP1/1BPR1P1P/4rQK1 w - -,f1e1
r1b2rk1/3p1ppp/2p1pn2/q7/3NP3/bP4P1/P1RB1PBP/3Q1RK1 b - -,a3b4
3r1rk1/p4pbp/2Rp1np1/8/3P4/q3B1PP/P4PB1/3QR1K1 b - -,a3a2
1q1r1rk1/1p2bp1p/pN2p1p1/n2P1b2/B7/4BQ2/PP3PPP/R4RK1 b - -,e6e5
5rk1/4pp1p/p2q2pb/Pr1n4/Rp1P3Q/5N2/1P3PPP/4R1K1 w - -,h4h6
rnbqkb1r/5ppp/p1p1pn2/1p6/2BP1B2/2N2N2/PPP2PPP/R2Q1RK1 w kq b6,c4b3
4rrk1/3qn1b1/n2p2pp/1p2pP2/1P4b1/3P1NP1/1B1QNPBP/3R1RK1 w - -,d1a1
3r1r1k/pp2p1qp/2n1Bpp1/2P3N1/5Pb1/4P3/PB1Q2PP/5RK1 w - -,d2c2
1rb1k2r/5ppp/pq2p3/2npP3/1p1Q1P2/8/PPP1B1PP/R2N1RK1 w k -,a2a3
3r3r/1kp2pp1/p1pbp2p/R7/1P1P4/1PP1BP2/6PP/5RK1 b - -,d6e7
r4r1k/1p1nb1pp/1q2p1b1/p1p1Pp2/2P2N2/1P2R1P1/PB2QPBP/5RK1 w - -,f1d1
2k1r3/2p2bp1/1b3p2/ppp5/4PB1p/PP5P/2P2PP1/3NRK2 b - -,c5c4
8/8/7R/8/4p3/3kB2p/5PrK/5b2 w - -,h2h1
r1bq1rk1/1p2pp1p/2p3pb/8/2Pp4/PQ1P1NP1/4PPBP/R4RK1 w - -,f1b1
8/8/2K5/1p6/k7/p7/B7/8 w - -,c6c5
8/8/p3k3/1p3pp1/2p5/P1P4P/1P1K2n1/6B1 w - -,g1f2
r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P1P1/2N1B2P/PP1N1P2/R2QKB1R b KQ -,c7c6:c8d7:f6e8
3K1k2/r4p1p/6p1/3B4/8/3R3P/6P1/8 b - -,a7a6
2b1r3/1p3pkp/p7/4bp2/P4P2/2P2B2/1P1R2PP/5K2 w - -,f4e5
r3q1k1/pp1r2bp/n1pB2p1/4p1Nn/2P1Ppb1/1PNR2PP/P1Q2PB1/5RK1 b - -,g4e6
2r5/p1k2p1p/1ppr3b/4n1p1/4Pp2/2N4P/PPPB3N/2K3RR w - -,h2g4
r2qk2r/pp1n1ppp/2pbpn2/3p3b/2PP4/5NPP/PP1NPPB1/R1BQ1RK1 w kq -,d1b3:f1e1
r1bq1rk1/p2pbppp/1p3n2/8/2PQP3/2N5/PP2BPPP/R1B1K2R w KQ -,e4e5
8/8/4kp2/5N2/5K1p/5P2/3n2P1/8 w - -,f5h4
rn2k1r1/4pp1p/p2p4/2pP4/1pP2P2/N1N5/P3BKbP/4Q3 b q -,b8d7
r2q1rk1/pp2ppbp/1nnp2p1/8/2PP2b1/PPN2PP1/4N1BP/R1BQ1RK1 b - -,g4f5
8/1p6/p4p2/5K1p/5P1k/8/PP3P2/8 b - -,h4h3
r1b2rk1/pp3ppp/2N5/8/2B5/q3P3/P1R3PP/3Q1RK1 b - -,b7c6
5rk1/5pp1/R3b2p/8/1p6/2n1P3/5PPP/2R2BK1 w - -,a6b6
8/6pk/6Qp/4PK1P/2q1BPP1/b7/8/8 b - -,h7h8
3r2k1/3qn1bp/1p1rp1p1/p1p2pP1/2PP1P1P/P2RP3/1B2NQ1K/2R5 b - -,e7c6
rr6/4kpp1/p2p1q1p/1ppP3n/2n1P3/2P1BP2/P3N1PP/1R1Q1R1K w - -,e3c1
3r1n1k/2Rr2pp/p2P4/n3B3/5P2/P2P2P1/4P2P/2R3K1 w - -,c1b1
4r3/1p1R1pk1/2p2bp1/q7/2B5/PQ2PP2/4KP2/8 b - -,e8e7
2r2k2/pp1r2p1/5p2/n2B1R2/1b2P1P1/1P1R3P/1B4K1/8 w - -,f5f2
1r2b3/4k2p/2p1r3/1pR2p2/pP2B1P1/P4K1P/8/3R4 w - -,e4f5
5Rk1/1R1Q1ppp/3b1q2/p7/2r5/6PP/5P2/5NK1 b - -,d6f8
4r1k1/2p1qppp/p2brn2/1p6/4b3/2P2N1Q/PPB2PPP/R1B2RK1 w - -,c2b3
r3rk2/p2b1ppp/1qp2n2/3p4/2PN4/1P1Q1P2/P5PP/RN1R2K1 b - c3,a8d8
4rrk1/pp2n1bp/2n2pp1/2p1P3/3pP1q1/3P1NP1/PPP3BK/R1BQR3 b - -,c6e5
r2qkb1r/pp2pppp/2np1n2/8/4P1b1/2PB1N2/PP2QPPP/RNB2RK1 w kq -,h2h3
r3k1nr/1bqnppb1/p1pp2p1/1p6/3PPN1P/4BP2/PPPQ4/2KR1BNR w q -,d2g2
6rk/2qbbprp/pp1ppp2/5P2/2PNP3/1PN1Q1P1/P6P/2RR3K b - -,g7g4
r3rnk1/1pb1qppp/p1p1pn2/2Pp4/1P1P1P2/P1NBPQ1P/3B2P1/R4RK1 b - -,f6d7
8/R6p/1N3pp1/1P3p2/4k3/4p1P1/7P/3r1K2 w - -,f1e2
2rq1rk1/pR1b1ppp/2n5/4NP2/2pPp1P1/2P1B2P/P3P3/3Q1RK1 b - -,d8h4
1r4k1/r2p1pbp/6p1/n4p2/1q1P4/1pN1P1P1/1P1NQPBP/4R1K1 w - -,h2h4
8/6p1/7p/p3q2k/8/7P/6P1/1Q5K b - -,e5d5
6k1/3bqpp1/2p4p/3nP3/1pQ5/1P3NP1/r4PBP/4R1K1 b - -,d7e6
R7/8/6p1/1P2pk1p/P6P/1r6/4K3/8 b - -,f5e4
r2qkb1r/pp1b1ppp/2npp3/3nP3/4Q3/2PB1N2/PP3PPP/RNB1K2R b KQkq -,d8c7
r3kbnr/1pp2qpp/p3bp2/2p5/4PB2/1NN2Q2/PPP2PPP/R4RK1 b kq -,g7g5
rq3rk1/pp1bbppp/2nppn2/8/2PNP3/2N1BP2/PP2B1PP/R2Q1RK1 w - -,d1e1
r2qk2r/np1nbppb/p1p1p2p/P3P3/2pP4/1N3N2/1P1BBPPP/R2Q1RK1 w kq -,e2c4
r2k3r/1pp2Bpp/p2b1p2/3Pq3/Q3pB2/2NP1nP1/PP3P1P/R4b1K b - -,e5d4
2rr2k1/6bp/2q3p1/1p1n1p2/p3p2P/2P4R/PP1NQPPB/4R1K1 b - -,a4a3
4r1k1/5ppp/pr1p4/4n3/R5P1/1P2N2P/2P5/2KR4 w - -,e3f5
4r1k1/5p1p/1q1p1npQ/1p4N1/1npP2PP/5B2/1P3P1B/4R1K1 b - -,e8e1
r1bqk1nr/pppp1ppp/2n5/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,f1b5:f3e5:f1c4
3n4/p2k1p2/1ppNbP2/4P3/P7/4K3/1P2B3/8 w - -,e2a6
r1b1k1nr/1pp3pp/p2b1p2/2p5/3NP3/2N1B3/PPP2PPP/R3K2R w KQkq -,d4b3
6k1/2p3pp/2p5/2N5/2Pp4/PP4P1/R4P1P/4rb1K w - -,h2h4
1r4k1/2r2ppp/1q1p1b2/n2Pp3/1p2P2P/1P2N1PB/3Q1P2/1RR3K1 b - -,c7c1
bQ1rr1k1/5ppp/p3pb2/3p4/N1Pn4/BP4P1/P3PPBP/2RR2K1 b - -,d8b8
8/3n1pkp/p1Rr2p1/1p1p4/3N4/1P2P2P/P3KPP1/8 b - -,d6f6
1r4k1/p1pn1ppp/b2bp3/q7/1rpPPBB1/2N3P1/PP2QP1P/1R1R2K1 w - -,f4d6
r1b2rk1/1pq2ppp/p1nb1n2/4p3/P1B5/1PN1P2P/1B2NPP1/R2Q1RK1 b - -,c8f5
4r1k1/5p2/1pb3pp/2p5/2Pp4/PP1B3P/5PP1/R4K2 w - -,a3a4
3q2k1/1p4bp/r2p4/PN1np2b/2N1Pp2/5P2/4Q2P/3RB2K b - -,d5e3
r2qk1nr/pp3pbp/2n1p1p1/1B1pP3/3P2b1/5N2/PP3PPP/RNBQ1RK1 w kq -,b5c6
r5k1/4bpp1/pp2pn1p/3r4/4N3/1Pq2PP1/PB2P1KP/R2R4 w - -,e4c3
4r1k1/5p1p/1N3n1r/3p1n2/3P1Pp1/1RN1P1Pq/2R4P/4Q1K1 w - -,c3b5
4r1k1/8/2Q1p1q1/4bp2/8/7R/4PP2/5K2 b - -,e8b8
2r3k1/p1q1bppp/4n3/1r6/2p1Q3/2B1P1P1/PP3PBP/1R1R2K1 b - -,h7h5
1r3bk1/7p/3p2p1/2pPp3/4P3/1P3Q2/qN4PP/2K2R2 b - -,f8h6
2b2k2/p1r3b1/1p1p4/2rP1p1q/R1P1pP2/1R2N1P1/P2Q1KB1/8 b - -,h5e8
2n2r2/3q1rkp/1p1pbpp1/pNp1P3/2PnN3/P2PQ1P1/1P2PRBP/5RK1 b - -,d6e5
5rk1/1pp1q2p/2n1bbp1/p3p3/2P1Q1P1/4BN1P/PP3PB1/2Rr2K1 w - -,c1d1
1r5k/1p1b2q1/pPp4p/3pR1P1/P2P1r2/2Q2P2/1P4B1/5RK1 b - -,d7f5
2br1k2/p4p1p/6p1/2pB4/1pP1P3/8/P1R2PPP/5K2 w - -,f1e2
6k1/1p1N1p2/p5p1/2r5/1RP1b2p/4P2P/2P3PK/8 b - -,c5f5
8/pp6/4k3/2r1pbR1/8/2P5/P1P1K1P1/B7 w - -,a1b2
r1bq1rk1/ppp2ppp/1nn5/1B2p3/1b6/P1NP4/1PP1NPPP/R1BQ1RK1 b - -,b4c3
2k2r2/ppp3p1/2n2r1p/1QN1pq2/3p4/5P2/PPP3PP/R1B1R1K1 w - -,b5b7
1r4k1/5pb1/2p1pq2/2P5/4Q1p1/4PnP1/5PB1/3RBK2 b - -,b8b2
8/8/1pp2K1p/1p4PP/1k1P4/8/P7/8 b - -,c6c5
b5k1/p1q1r2p/5Qp1/2p2p2/2Pp2n1/3P1P1R/P3P3/6RK w - -,f6h4
2r1r1k1/1p3pp1/p3b3/2b3p1/2p5/P1P3BP/1P2NPP1/3RR1K1 w - -,e2d4
2r5/pq3pkp/1p4p1/2p1R3/2P5/6PP/PP1Q1P2/6K1 b - -,b7c6
8/1R6/p4r1k/6p1/8/2P1P3/PP2K3/8 b - -,g5g4
r2q1bk1/5r2/3p1n2/pPpPp2p/P1N1Ppp1/2N2P2/4BKPP/3Q1R2 w - -,f2e1
r4rk1/1b1nbpp1/pq1ppn1p/2p5/2P4B/1PNQPN2/P4PPP/1BR2RK1 b - -,f8d8
2kr1bnr/pppq1ppp/2n5/4Pb2/4NB2/2P5/PP2QPPP/R3KBNR w KQ -,e4g3
r2q1rk1/pp1np1bp/2p1bnp1/3pNp2/3P1B2/P1N1P3/1PP1BPPP/R2Q1RK1 b - -,d8c8
rn1qk2r/p1ppbppp/bp2pn2/8/Q1PP4/5NP1/PP2PPBP/RNB1K2R b KQkq -,c7c6:a6b7
8/8/p1p1k2n/bpP5/3Bp1P1/1P5P/P1N5/6K1 w - -,g1f2
8/5pk1/1p2q2N/3p2p1/4n3/P4QP1/1r5P/5R1K w - -,h6f5
r1bq1rk1/3pbppp/np2pn2/2P5/1PP5/4PN2/1B1N1PPP/R2QKB1R b KQ -,c8b7
2r1r1k1/pq2bp1p/4p1pP/2n1P1B1/1pP2Q2/1P1pR1P1/P2N1P2/R5K1 w - -,g5e7
r4rk1/2p2p1p/p2q1pb1/b7/2pP4/P5N1/1PB1RPPP/R2Q2K1 w - -,c2g6
