8/8/1p5R/2p1kpp1/7r/2P4p/PP3P2/5K2 w - -,h6h4
5k2/p5pb/2p4p/8/1P1P1nP1/8/PP3P2/2R2K2 b - -,h7e4
8/6k1/6p1/8/4K1P1/3N1P2/6n1/8 b - -,g6g5
5k2/3r1p2/1p3np1/p7/2Bp1PP1/P4K2/1PP1R3/8 b - -,d7c7
r1bq1rk1/pppnnpbp/3p2p1/3Pp3/2P1P3/2N3PP/PP3PB1/R1BQNRK1 w - -,e1d3
6k1/3R4/5pp1/4p3/P3P3/1P2B2P/r4P2/4n1K1 w - -,e3h6
4r1k1/1p5p/2p5/p1Pp1pp1/4q3/PP2PR2/5PPP/3Q2K1 w - -,h2h3
rnb3k1/4pqb1/p1p3pp/1p6/2P1N3/4B2P/PPQ2PP1/3R1RK1 b - -,f7e8
8/p3rpk1/2p2p1p/3Br3/5RP1/1P6/P4KPP/3R4 b - -,c6d5
2rr4/1p3p1k/p1p3pb/2P1p2p/3nP2P/4BPP1/PP3KB1/2R1R3 b - -,h6e3
3R4/7p/p1b3p1/P3kp2/1pp5/8/1P3KPP/8 b - -,c4c3
r1R3k1/Pn3ppp/4p3/1r1p4/1N6/5PPP/7K/R7 b - -,a8c8
6k1/1p1b2p1/rq1b1n1p/2p2p2/1pPp1P2/1P1P2P1/P1NN2BP/R1Q3K1 b - -,b6c7
rnbqkbnr/p1pp1ppp/1p2p3/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq e3,c8b7:f8b4
3r2k1/p4rbp/4n2n/2p1pp2/N1P5/1R1P1RP1/P3N1KP/2B5 w - -,b3b5
r1b1r1k1/p1p1bppp/1pp2n2/8/P1NN4/1P2Pq2/1BPP2PP/R4RK1 w - -,f1f3
8/8/3p1k2/2pP2Np/2P1KP2/1Pb5/8/8 b - -,c3d2
r1b1k2r/2p2p2/p1pq3p/2b1B1p1/4P3/2NP1N1P/PPP3P1/R2nK2R w KQkq -,e5d6
1r6/3k4/p3p1p1/5b1p/2PP3B/2K1R3/P5PP/8 w - -,e3e5
3r4/2p2ppk/2P3rp/4q3/6P1/1N1R3P/PP3Qb1/R5K1 w - -,a1e1
r1b1n1rk/p3q2p/3p3P/1ppPpppB/8/3P2P1/PPPQNP2/2K1R2R w - -,h5e8
rnbq1rk1/p2p1ppp/4pn2/2pP4/1bB1P3/2N2P2/PP4PP/R1BQK1NR w KQ -,g1e2
r4bk1/P4p1p/2r2q2/Q3pp2/8/2p3P1/R1B1PP1P/3R2K1 w - -,d1d7
r7/3nk1p1/r4p2/1p2P1p1/3P4/pN6/5QPP/2R3K1 w - -,e5f6
8/1p3pp1/2pk3p/5R2/P3r3/1P5P/2P2PP1/5K2 b - -,f7f6
r2q1rk1/pppb1pp1/2n1pn1p/3p4/1bPP3B/2N1PN2/PPQ2PPP/R3KB1R b KQ -,b4e7
1qr1rbk1/1p1n1p1p/p2pp1p1/4n3/2P1PP2/P1R1B2P/1P1NNQP1/3R3K b - -,e5c6
R7/5k2/p5p1/1p5p/1P3r1P/6K1/5P2/8 b - -,f4g4
r4rk1/3b1pb1/1q4pp/p2pP3/1p1P2PP/3BQ3/PPP1N3/1K1R3R b - -,d7g4
8/8/8/8/6K1/p1k5/B7/8 b - -,c3b2
rnb2rk1/ppb1q1p1/2p1p2p/2PpNp2/1P1PnB2/2NBP3/P1Q2PPP/R4RK1 b - -,c7e5
6k1/5p2/5P2/2n1KPPP/8/8/8/8 b - -,c5d3
r4r2/1pPb2bk/3p2p1/5pq1/P2P4/1QB2R2/1P2N1PP/R5K1 b - -,f5f4
6k1/4Bpb1/8/4pbQ1/6p1/8/5PBK/1q6 b - -,f5e6
8/6pp/3k1p2/p1N1p3/2Kn1P2/1P6/6PP/8 b - -,d4c6
r4rk1/pp2b3/3p1n1Q/2p1pqp1/2P5/6B1/PP3PPP/R2NR1K1 b - -,g8f7
r3r1k1/1b3pbp/pq1Pp1p1/3B2B1/Qp2N3/3P4/PP3PPP/R3R1K1 b - -,b7d5
4B3/5p2/1p2bKp1/p5P1/8/1k6/8/8 b - -,a5a4
5rk1/1p4p1/1p5p/3P1p1n/8/P1PB4/5PP1/4R1K1 w - -,e1e5
2rq1rk1/pb2ppbp/1pnp1np1/2p3B1/4P3/2NP1NPP/PPPQ1PB1/4RRK1 b - -,d8d7
1n1r2k1/3nbppp/1q2p3/1p2N3/2pPP3/4B1P1/1P3PBP/3Q1RK1 w - -,e5d7
3r2k1/pbR3pp/5p2/4p3/3n4/4N1PP/Pq2PQ1K/3R4 w - -,e3f5
q2r2k1/B4ppp/Q1Rbp3/3n4/5P2/1P1P4/6PP/7K b - -,d5b4
3rrk2/1R3bp1/2pn1p1p/p4P2/P2PP3/3B1R1P/4N1P1/6K1 w - -,b7a7
1k1r1q1r/ppp2bpp/1b1n1p2/3p4/NP1P1BP1/P6P/2PQ1PB1/2K1R2R w - -,a4b6
r3k1nr/pp1n1ppp/2p1pq2/8/3pP2P/3P1Q2/PPPN1P2/2KR1B1R w kq -,f3g3
rnb2rk1/4ppbp/p2p1np1/1PpP4/Pq2P3/2NB3P/1P1B1PP1/R2QK1NR b KQ -,c5c4
r1r3k1/1p2bpp1/2p1p2p/p3N2P/2PPn3/4B3/PP3PP1/1K1R3R w - a6,g2g4
r7/4k1b1/pnqp1p1p/2pRpPp1/2P1P2P/4B3/PPQ3P1/1N4K1 w - -,d5d1
8/3B2p1/5p1p/ppk5/7P/2K3P1/5P2/8 w - -,h4h5
6rk/6rp/p2p4/R3bpq1/PP3p2/5Q2/5PPP/1R2N1K1 b - -,g7c7
r4b2/pp3p1k/4pq1p/3p1p2/P2P4/2PN2Q1/1P3PPP/R5K1 w - -,a4a5
