8/R4pp1/4k3/1P6/PP3K1P/8/5p2/8 b - -,f2f1q
r2q1rk1/1b3ppp/npp5/p2pP3/Q4P2/2N1P3/PP3PBP/2R2RK1 w - -,a4d1
r1r3k1/pp2pp1p/6p1/n1NPb3/8/1P2P1PP/P5B1/1RR3K1 w - -,g1f2
8/6k1/4p3/1pN2b2/5q2/P5p1/1P2R3/K3R3 b - -,e6e5
3R4/6p1/pN2pk1p/5p2/8/4P1P1/5r2/3R2K1 b - -,f2f3
4kbr1/r4p1p/2b1pQ2/2qpPP2/p7/Pp1B4/1PPN2PP/2KRR3 b - -,b3c2
rnbqk2r/ppp1ppbp/6p1/3P1n2/2B5/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,e8g8
5r2/7p/3p2k1/p1p1pp2/P7/2PPP2P/2K2RP1/1r6 w - -,c2b1
5k2/3b3p/3P2p1/pp1BBpb1/8/2P5/P3K1PP/8 b - -,h7h5
1rb5/pp2k1pp/n1pN1p2/P1P1p3/2R1P3/1P4P1/5P1P/5BK1 w - -,c4c3
1nr3k1/2r1q2p/4p1p1/3pP3/3P2P1/4QR2/4NRK1/8 b - -,b8c6
r1b2rk1/pp1n1ppp/4p3/2qn4/2N2P2/4P3/PP3PBP/RN1Q1RK1 w - -,b1d2
q1r2k2/4b1pp/5p2/R2R4/1Pr5/4Q1P1/3BPP1P/6K1 b - -,a8c6
3bk3/6r1/1pp1p1p1/4Pp1p/P1KP1P1P/5P2/1R6/4B3 b - -,g7a7
6k1/5p1p/4b1p1/3N4/2P1P1P1/pr5P/5P2/R5K1 b - -,b3h3
r2q2k1/p4pp1/4pn1p/2p5/N1P5/P2r1Q2/1P3PPP/R3R1K1 w - -,e1e3
3rn1k1/1p2r1bp/3p1pp1/P1pP4/1p2PP2/1P4PB/1B5P/R3R1K1 b - -,e8c7
r1bqk2r/pp1nbppp/2p1pn2/3p4/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 b kq -,d8b6:b7b6:e8g8
