6k1/7R/4K1P1/8/8/1pn4p/8/8 w - -,h7h8
2r4r/4k3/1p1pP1p1/p4p2/2P1pPpq/2R1Q3/PP2B1P1/5RK1 b - -,h4h2
r4rk1/ppqn1ppp/2pbpn2/3p1b2/2PP4/1P1N2P1/PB2PPBP/RN1Q1RK1 b - -,f5e4
2rq1bk1/1p1b4/3p2pp/p2Pp3/4N1P1/2P2N1P/P3QP2/2R3K1 w - -,c3c4
8/6k1/1R5p/8/1p4PP/3n4/5PK1/8 b - -,d3f4
8/1pk5/8/PP1Q3P/5K2/5P2/r5r1/8 w - -,b5b6
5rk1/pR3p2/2p3p1/2p3qp/2P5/3PQ3/P1P2K1P/8 b - -,g5h4
5r1k/2q2pr1/1p1p1n1Q/8/P3PP2/1B1P4/1PP4P/6RK b - -,g7h7
8/6pp/4pp2/3k4/p4P2/2PK2P1/1P5P/8 w - -,c3c4
r3kb1r/pp2nppp/2n1p3/2pq1b2/3P4/1QP1BN2/PP3PPP/RN2KB1R w KQkq -,c3c4
5r2/3q1p1k/6pp/1P2p1P1/1PQ1Pn1P/2P2P2/5B2/4K1R1 w - -,f2e3
7k/6qp/8/1pbp4/p1n5/P1P3P1/1PN1B2P/2BR1r1K w - -,e2f1
Q7/1pp1kp2/p3p3/4nq2/8/P3P2R/1P3P1P/4K3 w - -,a8h8
r3kb1r/ppq2ppp/2p1p3/3nNbB1/3P2P1/2P5/PP1Q1P1P/R3KB1R b KQkq g3,f5g6
8/5p2/4pk2/1R4p1/5nPp/5P1P/3r4/5BK1 w - -,b5a5
3r2k1/1p4bp/2p1b1p1/4pp2/n3p3/P1P1B1P1/2N1PPBP/R5K1 w - -,g1f1
4k3/7R/5BK1/1rP4p/6bP/8/8/8 w - -,h7e7
rn1qkb1r/pp2nppp/4p1b1/3pP3/Q1PN4/4B3/PP2BPPP/RN2K2R b KQkq -,e7c6
8/p1k4p/5p2/PP2nK1P/8/4p3/4B3/8 b - -,e5d7
r3k2r/pp3ppp/2p1bn2/2q5/4P3/2N3PP/PPQ2P2/2KR1B1R w kq -,f2f4
6k1/6bp/p2p2p1/2pP1p2/P4B2/3Q2PP/1q2PP2/6K1 b - -,g7e5
rnbqk2r/1p1p1ppp/p4n2/4p1B1/4P3/2P2N2/P1P2PPP/R2QKB1R b KQkq -,d8c7
4rn1k/1p4p1/p1pR1pp1/B1Pn4/3N3P/1P4P1/P4P2/6K1 b - -,d5e7
8/P4k2/6p1/3b2P1/5P2/1q4KB/5Q2/8 w - -,g3h2
6k1/8/7p/r5p1/P7/R4K2/6PP/8 w - -,f3e4
2rq1rk1/pb3ppp/1pn1pn2/6B1/1bBP4/2N2N2/PP3PPP/2RQR1K1 w - -,c4d3
2rk4/1p2n3/p2p2b1/3Pp3/2PqPpP1/1P1B3Q/P3KN2/3R4 b - -,d8c7
3k3Q/8/2b5/8/6P1/7P/2r5/6K1 b - -,c6e8
2b2N2/3R3p/p5k1/1pp1b1P1/8/7P/PP1Br3/2K5 b - -,g6f5
r2qr1k1/1ppb1pb1/3pn1n1/3N2p1/pPP1P1Pp/4BP1P/P2QN1BK/1R1R4 b - -,b7b5
