8/8/4k3/p2Npp1p/8/P2R1K2/1r6/8 w - f6,d5c7
1rbqr1k1/1p3pbp/pN1p1np1/P1pPn3/8/2N3P1/1P2PPBP/R1BQK2R w KQ -,e1g1
8/1p1k4/2p5/p1P2p2/5P1r/1PK5/P4R1P/8 b - -,d7e6
rr4k1/2n2p1p/3bbqp1/2pp4/p4N2/P3P1N1/1PQB1PPP/2R1R1K1 w - -,c1b1
r1b2rk1/ppq2pp1/3bpn1p/2p5/2PP4/3B1N1P/PPQ2PP1/R1B2RK1 w - -,c1e3
r4n2/pp3kp1/2p1b1r1/4Pp1p/5P2/7P/PPBR1BPK/3R4 b - -,f7e8
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bPP4/2N1PN2/PPQB1PPP/R3KB1R b KQ -,d7d5
rnbqk2r/pp4pp/2p1p3/b2p1p2/2PPn3/1P1BPN2/P1QN1PPP/1RB1K2R w Kkq f6,e1g1
2r2qk1/3n2p1/1p1r3p/pRp1bp2/P1P4N/2PQ4/5PPP/2B1R1K1 w - -,d3c2
r7/pp2Ppkp/1q2rn2/6p1/5RP1/2P2Q2/PP5P/5R1K w - -,f4f5
3r1rk1/6pp/2q2p2/1pPpp3/pPn3Q1/P3P1BP/5PP1/R2R2K1 w - -,g4e2
2r1k3/1Rn4p/2Np2p1/p2Ppp2/q1P1P3/P3Q2P/4B1P1/6K1 w - -,e2f1
r7/1p1bp1k1/p3p1pp/1nP1P3/8/4B3/PPB3PP/R4K2 b - -,a8f8
rnb2rk1/ppp3b1/6pp/2PNppq1/1P4nP/PQ1PP1P1/1B4B1/R3K2R b KQ h3,g5d8
1n4r1/p1r4k/3ppnpp/2qPP3/1pp5/6QP/PP3PP1/1BRR2K1 w - -,e5f6
r1b1kbnr/4pppp/p1qp4/1pp5/4PP2/3P1N2/PPP3PP/RNBQ1RK1 w kq b6,b1c3
r5k1/1b3p2/1qp1r1pp/p7/1p2BQ2/4P3/PP3PPP/2R2RK1 w - -,e4f3
8/2Q3pk/4r1n1/1p5P/6P1/1PP1r1K1/4p3/4R3 w - -,g3f2
4r2k/6bp/1p2rn2/p4R2/2P1p3/1QN1R1BP/PP1q1PP1/6K1 b - -,d2c1
r2q1rk1/pb1nbppp/1p1ppn2/2p5/3P1B2/2P1PN1P/PP1NBPP1/R2Q1RK1 w - -,a2a4
8/4kpp1/1p2pn1p/3r3P/3N2P1/P1P5/1PK2P2/6R1 w - -,f2f3
1br2n2/1r3kp1/5p1p/1P1R4/1BN3P1/1K3P2/6P1/3R4 w - -,b5b6
4k3/5p2/p3pP1b/1p2P1pP/1Prp4/8/r4BR1/3R2K1 w - -,f2d4
5r2/2RR1p2/1p2r1k1/p5pp/8/1P2P1PP/P4P2/6K1 w - -,g1g2
rnbqkb1r/p2ppppp/1p3n2/2p5/2P5/1P3NP1/P2PPP1P/RNBQKB1R b KQkq -,g7g6
8/2k2Npp/4p3/p2bP3/1p1P4/P2K1P2/6PP/8 w - -,a3b4
8/4bpkp/6p1/4q3/1p6/1Q3B1P/PP1r2P1/5R1K w - -,f3g4
r4r2/p1q1ppbk/1pp1b1pp/P3P3/2PpNB2/3P3P/1P1Q1PP1/R3R1K1 w - -,b2b4
r1b2rk1/1pq2ppp/p3pn2/2b4P/8/3B1N2/PPPBQPP1/2KR3R b - -,c8d7
r2q1rk1/1pp2pp1/1pn4p/3np3/1PB2P2/P1PP4/4b1PP/R1B1QRK1 w - -,e1e2
1B3rk1/p4pbp/5np1/2p5/1nP5/2N3P1/P3NPBP/1b1R2K1 b - -,b1c2
rnbqkb1r/p1pp1ppp/1p2pn2/6B1/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq c3,c8b7
3R2k1/pp2qp2/5b2/2P1n3/4BQ1p/1P5P/P3NPP1/6K1 b - -,e7d8
rnbq1rk1/pp2ppbp/2p2np1/3pP3/P2P4/1BN2N2/1PP2PPP/R1BQK2R b KQ -,f6e8
rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,c7c5
r1b4r/pp2kp2/1b1ppp1q/7B/1P2P1Q1/6N1/P2P1PKP/2R2R2 w - -,a2a4
r3r1k1/1pp2p1p/3p2p1/2bR4/p1P2N1q/P3PQ2/1P2BPK1/5R2 b - -,c7c6
8/p5p1/6k1/5pr1/1P5p/PKP3r1/3RR1P1/8 w - -,a3a4
r3k2r/pp1b1ppp/2n1pn2/1Nb5/2B5/4PN2/PP1B1PPP/R2R2K1 b kq -,e8e7
4rb2/1kp4p/3n1pp1/5P2/2bNPBP1/2N4P/2K5/3R4 w - -,d1b1
2r3k1/5p2/p3p1pp/8/2pP1P2/2N4P/1P1b1KP1/R7 b - -,c8d8
r5k1/pbpn1npp/1p1ppr2/7q/2PPPp1P/PN1B1P2/1P3QP1/R1B2RK1 w - -,c1d2
8/5Qbk/4p2p/8/2pP1BP1/P1K1P3/4q3/8 b - -,e2d3
2rq1rk1/1p2ppbp/1n1p2p1/pPnPP3/P2N1P2/Q3B3/4B1PP/2RR2K1 w - -,e2g4
r4rk1/5pp1/1pb1p2p/p5q1/1PP5/1Q2P1P1/4BP1P/R4RK1 b - -,g5e5
8/1kn2p2/1p5p/4P2K/8/8/8/6B1 w - -,h5h6
2q1k3/7p/7Q/p6P/8/1P3r2/P4P1K/8 w - -,h2g2
rn1qk2r/1b3ppp/4pn2/p3N3/1pPP4/3BP3/3N1PPP/R2Q1RK1 b kq -,e8g8
2kr1bnr/pp4pp/2n2p2/5b1q/2Bp1B2/N4N1P/PP3PP1/R2QR1K1 b - -,g8h6
2r1r1k1/qp3pbp/2n1p1p1/p1Np1nB1/3P4/2PN3P/PP3PPQ/3RR1K1 w - -,c5d7
4k3/p1r2pp1/1pp5/3pP3/4n1P1/2N1PK2/PPR2P1r/2R5 b - -,e4c3
2k1r3/ppp2ppp/2nr2q1/3p4/3P4/2P2QN1/PP3PPP/R4RK1 w - -,h2h3
2r2rk1/p1qn1ppp/1p2p3/2Pp4/1P1Pn3/P2QBN2/5PPP/R4RK1 b - -,c7b7
6r1/7p/p2k4/8/1pP1p3/1P2P3/P2RK2P/8 b - -,d6e6
rn1qk2r/pp1nbp1p/2p1p1pQ/3pP1N1/3P4/2N5/PPP2PPP/R1B1K2R b KQkq -,e7f8
1n3rk1/b1qn1ppp/2p1b3/P3p3/N3P3/P5P1/2QBNP1P/1R3BK1 w - -,e2c1
3b4/3n1k2/3p4/pr1Ppppp/8/2NP2PP/RP1BKP2/8 b - -,b5b7:b5c5
8/8/6k1/5n1p/1P6/2p1p1P1/4R1KP/8 w - -,e2c2
r4r1k/2p1bp1p/p3p3/1p3p2/P1nPN3/4BP1P/2P2P2/R3R1K1 w - -,e4c5
2r5/2r3b1/3pk2p/5pp1/8/PPBR1P1P/2K3P1/2R5 w - -,c2b2
2R5/1p3p1k/7p/4PPp1/4Knr1/1P2B3/8/8 w - -,e4f3
2r1r1k1/1p3qp1/p3p2p/3b1p2/3P1Q2/P1P1RP2/6PP/1B2R1K1 w - -,f4e5
r2qk2r/pp3pp1/n1pbpn1p/3p4/3PPBPP/3Q1P2/PPPNN3/2KR3R b kq -,d6f4
8/8/3Bp2n/1p1p4/1P1P1K2/2k3P1/8/8 b - -,c3d4
6k1/R7/5p2/5P2/4K1Pp/7r/8/8 w - -,a7a6
2r2r1k/p3q3/2p4p/1pP2pP1/8/8/8/1K2R2R w - -,e1e7
5q1k/p2b2b1/3p3p/1ppB1p1Q/5P1N/2PPr3/PP5P/6RK b - -,f8e8
8/3q1rpk/7p/Qp6/3b4/6P1/PPR1PPKP/8 w - -,f2f3
r3r1k1/2qnbppp/bppp1n2/p3p3/P2PPPP1/2N1B2P/1PP1N1B1/R2Q1RK1 w - -,f1f2
8/8/1B5k/3b1npp/5p2/5P2/4BK1P/8 b - -,f5d6
3r4/5pk1/p6p/1b1pPp2/3P4/5B1R/6P1/6K1 w - -,h3g3
r4rk1/pp3pbp/3p1qp1/n1pP3n/4P3/2N1B2P/PP1NQPP1/R4RK1 w - -,e2b5
rn3rk1/pbq1bppp/1p2p3/2p5/2PPP3/P2B1N2/2Q2PPP/R1B2RK1 b - -,c5d4
8/pppb1kpp/5P2/2p5/6P1/1PB2P2/P1P3P1/3K4 b - -,g7f6
2r1r2k/5p2/p1ppnPp1/4p2p/4P1PQ/2N4R/PqP4P/5RK1 w - -,h4e1
1q6/3P4/K1Q3p1/5pk1/8/5P2/8/8 w - -,c6d5
3r1rk1/pp3p1p/5Qn1/7q/3Nb3/2P3P1/P4P2/R3R1K1 w - -,e1e4
r5k1/5pp1/2b4p/4P3/P1p1p2P/2N1P3/5PP1/5RK1 b - h3,c6a4
r2q2k1/pb1pb1p1/4pr1p/n1p1N3/8/2PB4/PPQN1PPP/1K1R3R w - -,d2e4
8/5pkp/p5p1/1p2p3/PP2P1q1/2PK2Pn/R1Q4P/1N2r3 b - -,g4f3
8/p2kP1p1/1p4p1/1P2Kp2/1BP1n3/6P1/7P/8 b - -,e4c5
r1b2rk1/ppq1bppp/2n1pn2/2Pp2B1/3P4/P1NB1N2/1P3PPP/R2QK2R b KQ -,f8d8
2r3k1/1b2bppp/p1rppn2/1p6/4PP2/2N4P/PP1N2P1/2RR2BK w - -,a2a3
r6k/pp2qN2/2n1B1pb/2p5/6Q1/8/PP4PP/5RK1 b - -,h8g7
r4bk1/pb4pp/1pp2n2/8/2PPBq2/8/PPQ2P1P/1K1RR3 w - -,f2f3
r2r4/pp1P1n1k/6pP/5p2/4N3/1P2P3/1P2K3/5R1R w - -,e4f6
r1n1r1k1/2pnbpp1/1pP1p1p1/p2p4/1P1P1P2/P3P3/3NB1PP/R1B2RK1 b - -,d7b8
r4bk1/1p3ppp/2p1b2q/2P4P/1P1B4/p3PQR1/5PP1/R5K1 b - -,a3a2
5r2/bb3q1k/N6p/2P1R3/6p1/1Q4P1/P4PP1/6K1 w - -,b3e3
3R1bk1/1p5p/5r2/P3p2b/4P3/4QPB1/6KP/1q6 b - -,h5f3
r1bqr1k1/1p3pbp/2pp2p1/p1n5/2PNPPn1/BPN2B2/P5PP/R2QR2K w - -,d1d2
6k1/p4p2/1r1r2pp/4b3/3N4/Q1P1P1qP/PP1RR1P1/6K1 w - -,d4f3
1qr1r1k1/3nppbp/3p1np1/1Npb4/4P3/1P2BPP1/P2QN1BP/2R2RK1 w - -,b5c3
1k6/1p5R/p2p4/P3b3/4Rp2/3p1P2/1PqB4/4K3 b - -,c2b1
1r4k1/p3ppb1/2p5/3rP1pp/N3RP2/1PBn2PP/P7/R5K1 w - h6,a1f1
1n1qkb1r/2p2ppp/4pn2/1p2N3/2pP4/2N3P1/1P2PPKP/2BQ1R2 b k -,c7c6
1r2r3/2R1qnk1/p2p1pp1/Pp1P4/1P1PP1QP/5N2/8/2R3K1 b - -,e7e4
3r1r1k/5ppn/2b4p/p1p2P2/1pN1P3/3P3P/PPP3B1/R4RK1 b - -,a5a4
2r2rk1/p2bppbp/3p1np1/1q1N4/4P1P1/1P2BP2/P1PQ3P/1K1R3R w - -,d5e7
1r1qk2r/3bppb1/3p1np1/n1p4p/2P1P3/2NPB1PP/3QNPB1/1R2K2R b Kk -,b8b1
3n1k2/5pp1/1b6/p2B4/1p2R1P1/1P6/6KP/8 b - -,g7g5
r3k2r/pp1bnpp1/2n1p2p/q2pP2P/2pP2P1/P1P2PB1/2PQN3/R3KB1R w KQkq -,g3f2
2r5/4kp1p/3p1p2/2b5/1p3P2/1B2P1P1/P4P2/R6K b - -,e7f8
8/6pp/4kP2/2n5/2N2P2/4K1P1/7P/8 b - -,e6f6
r1b2rk1/1p2ppbp/pq1p1np1/8/4PP2/2PB4/P2PN1PP/R1BQ1R1K w - -,d3c2
4r1k1/p4pbp/3n2p1/8/2B5/1P1K1P2/N5PP/7R b - -,e8d8
2rq1r1k/5p1p/1p2pp2/p2n4/3Q2RP/P4N2/1P3PP1/4R1K1 b - -,b6b5
r3b1k1/ppq2p2/2n1p1pp/8/8/2P2N2/PP3PPP/1B1QR1K1 b - -,a8d8
3r2k1/p3qpp1/1n2p2p/1B1bP3/7P/P5P1/1Q3P2/2R1N1K1 b - h3,d5a8
r2q1rk1/pp1nbppp/4p3/2pp1b2/3Pn3/2P1B1P1/PP1NPPBP/R2QNRK1 b - -,c5d4
r1b1rbk1/1p3pp1/p4n1p/P4P2/8/2N1p3/1PP1B1PP/R3BR1K b - -,c8d7
r3r1k1/1bpnqpbp/pp3np1/4p3/2P5/2N1PN1P/PPQ1BPPB/R2R2K1 w - -,c3d5
