8/8/8/8/6R1/p1kr3p/P4P2/6K1 b - -,c3b2
r2q1rk1/pb1n1ppp/1pp1pn2/3p4/1bPP4/PPN3P1/1B1NPPBP/R2Q1RK1 b - -,b4c3
1r4k1/2r3bp/2P1p3/p4p2/1p2pP2/4B3/P1R1R1PP/6K1 b - -,g7c3
1r6/1P6/7p/1R2k1p1/8/4K3/6PP/8 b - -,e5f6
3n4/7p/3Np1p1/8/pp1k1P2/3P2P1/P2K3P/8 w - -,d6c4
8/8/1p2K3/8/P7/4pk2/8/8 w - -,e6d6
1r1qr2k/1ppb1pp1/4pb1p/B1PB4/3P4/P4N2/1PQ2PPP/3RR1K1 b - -,e6d5
r5k1/1p3rpp/2p1qB2/2Pp4/3Pp3/1P4P1/P2Q1Pb1/R3R1K1 w - -,g1g2
6k1/R3Kp2/7P/4p1p1/5bP1/8/8/8 w - -,e7f6
r1b1kb1r/p1p2pp1/1pp5/4Pn1p/8/5N1P/PPP1NPP1/R1B2RK1 w - -,f1d1
1r3r1k/3B3p/R2p1p2/3qpP2/2p2n2/2P1Q1RP/1P3P1K/8 b - -,b8b2
r4rk1/pbqpppbp/1pn2np1/8/2P5/1P2PN2/PB2BPPP/RN1Q1RK1 w - -,b1c3
q1r3k1/3n2bp/r2ppnp1/2p5/P3P3/RPN2NP1/2Q2PKP/2B4R w - -,h1e1
2r2rk1/1p1qb1pp/p1b1p3/3p1p2/3Pn3/PQNBPP1P/1PR3PB/2R3K1 b - -,e4c3
5k1r/1p2q2p/p4p2/8/7Q/2P2B2/b4PP1/3R2K1 b - -,h7h5
8/3k1p2/4p1p1/2P1P1K1/3b3P/3N4/8/8 b - -,d7e7
r1bqk2r/ppp2ppp/3p4/8/1nBbPP2/2N2Q2/PPPB2PP/2KR3R b kq -,e8g8
rq3bk1/p1pr4/1p1p2np/1P1Pp1p1/QBR1Pp2/3P2P1/P2N1PKP/2R5 b - -,a7a5
3rr1k1/b2q1pp1/2p3n1/1p2p2p/pPPpP1nP/P2P1NP1/1BQR1PB1/4R1K1 w - -,g2h3
8/8/4R3/3k1P2/6P1/6r1/3pK3/8 w - -,e6g6
rnbk3r/pppp1ppp/5n2/8/1b1P4/8/PPP1QPPP/RNB1KB1R w KQ -,c2c3
r3qr2/1p2b1pk/pB1ppn1p/4p3/P3P3/2N3QP/1P3PP1/R2R2K1 b - -,a8c8
r4rk1/pp1n2pp/1q1bp3/3p4/1n1P4/1P1B4/PB2NPPP/R2Q1RK1 w - -,d3b1
8/8/3k4/8/K5p1/8/1P6/7B b - -,d6c7
3q4/1pp2bkp/2n2bp1/p3p3/2P1Q1P1/P3B2P/1P1N1PB1/7K b - -,f6g5
r1b1rbk1/2q2ppp/p2pp3/1p2nPPQ/2nNP3/P1N5/1PP3BP/R1B2R1K b - -,c8d7
r3kb1r/ppp1pppp/2n2n2/5q2/2PP2b1/4BN2/PP2BPPP/RN1QK2R b KQkq -,e8c8
1r6/1k6/1P2p3/P7/3K4/8/5P2/1R6 b - -,b8f8
1rb2rk1/1pn1q1bp/p2p2p1/P1pPnp2/8/2N1P1BP/1PQNBPP1/R3R1K1 b - -,b7b5
7k/3nq3/3p4/p1pPpPbr/PpP1R1N1/1P6/1B2R1B1/6K1 b - -,h8g8
r1b1r1k1/1pq1bpp1/2pp2np/p2Pp2n/P1B1P3/1PN2N1P/1BPQ1PP1/3RR1K1 w - -,b2a3
2r2rk1/pn3p1p/b3qbpQ/2pNp3/4P3/P1P3P1/3N1PBP/1R2R1K1 b - -,c8c6
k2r4/5ppp/2b1p3/P7/1QP2q2/5P2/1P4PP/R5K1 w - -,g1f1
1R3rk1/5ppp/4p3/6q1/3B4/1PP5/4BPPP/5RK1 b - -,f8b8
6k1/5pb1/7p/p2pPRp1/P1bB4/2P5/5NKP/1r6 b - -,b1a1
2b2rk1/b1r2pp1/p4q1p/1p1p4/3Pp1B1/N3Q1P1/PP1R1P1P/3R2K1 w - -,g4e2
r3r3/1pq1bkpp/p2p1n2/4p3/P2pP3/7P/1PP1NPPB/R2QR1K1 b - -,c7b6
r2q1rk1/p2nbppp/b3pn2/Pppp4/2PP4/1P3NP1/2QBPPBP/RN1R2K1 w - -,c4b5
2r2rk1/pp1bp1bp/6p1/2pP4/2P3n1/q2NB3/P2Q1PPP/1BR2RK1 w - -,e3g5
2r2k2/Q4p1p/3q1np1/1bNPp3/1PB1P3/5PP1/7P/2R3K1 b - -,b5c4
3r2k1/2pP1p2/q3n1p1/p1p1Q2p/2P2P1P/1P4P1/P5BK/3R4 b - -,a6b6
r3k2r/pp1nqpbp/2p2np1/4p3/2B1P3/2N1BQ1P/PPP2PP1/R2R2K1 w kq -,d1d2
6k1/1bq1bp1p/p5p1/1p2Q3/2p1n3/2P2NNP/PP3PP1/3B2K1 b - -,c7e5
6k1/1brnqppp/1p1p1n2/pP1p4/P2P4/1Q1BPN2/4NPPP/2R3K1 b - -,d7f8
8/7p/B2np1p1/3p1pP1/1k1P1P1P/4P3/3K4/8 b - -,b4a5
r1br2k1/1p4pp/p7/q2n4/P2Q2P1/4BB1P/5P2/R4RK1 w - -,f1d1
r2q1rk1/1pnnppbp/p2p2p1/2pP4/2P1P3/2N1BB1P/PP3PP1/2RQ1RK1 w - -,a2a4
5r1k/1p4p1/2p4p/1nP1B1bQ/1P2P3/4q3/5N1P/3R2K1 w - -,e5g3
8/3k1p2/2q1p3/2BpPp1p/3P1P2/NQ5P/r5P1/3K4 b - -,a2g2
r1r3k1/pp3ppp/2nqp3/3p1n2/3P4/2N1PN2/PP3PPP/2RQ1RK1 w - -,d1e2
2brr1n1/p4pkp/2pp2p1/8/4PQ2/2N2N1P/Pq3PP1/2R1R1K1 w - -,e4e5
