8/k5b1/P1K5/4p1p1/4P2p/7P/8/5B2 b - -,g5g4
2kr4/pp3bpp/n1p2p2/1n3P2/2p1P1P1/4B3/PP3N1P/2K2B1R b - g3,b5d4
1qr3k1/2rnppbp/pp1p1np1/8/2PN4/1P2PQP1/PB3P1P/2RRN1K1 w - -,d4e2
8/p4k1p/5p2/P2p1PP1/1r5P/3p1K2/5R2/8 w - -,f3e3
1k3r1r/1pp4p/p2q1pn1/4n1pQ/3pP3/3P1BPP/PPPN1R2/5RK1 w - -,g1g2
8/4P2p/7B/5K1b/6P1/8/2p2k2/8 b - g3,h5g6
2r5/5k1p/1r3n2/R1p2pp1/2P5/1P1RPB2/5K1P/8 w - -,a5b5
8/3k1p2/8/2r1PP2/RB6/5K2/8/8 b - -,c5e5
2rq1rk1/1b2npb1/2n1p1pp/1pP5/1P1p4/1Q1P2P1/3BNPBP/1R1RN1K1 b - -,d8d7
8/p7/8/kp1p4/2pP3P/P1P2q2/BP2Q3/4K3 b - -,f3h1
8/6k1/B2N1np1/2RPn1r1/1p2Pp2/1P3Pqr/PQ3RP1/7K w - -,h1g1
2r3k1/5p1p/R5p1/1RPr4/3b4/P3B3/5PPP/6K1 b - -,d4c5
bn6/4kpp1/p2pp2p/Np6/1P1NPPPP/P2PK3/8/8 b - -,g7g6
q5k1/1bpn1r2/1p1p2pp/3P1p2/1PPN1P2/6PB/3Q3P/4R1K1 w - -,g3g4
4k3/p1r2pp1/1pp2n2/3pP3/N5P1/4P3/PPR1KPr1/2R5 b - -,f6e4
r2q1k1r/1p1nbp2/2p1p3/p2pPp2/P2P1P1p/1N3Q1P/1PP2BPK/R2R4 b - -,f8e8
8/1r3pk1/1Pr5/1R2P1pp/4K3/6P1/8/1R6 b - -,g7g6
r2q1rk1/6pp/p2p1b2/2pPnp2/2P5/1PN5/PB4PP/R2Q1RK1 b - -,e5g4
2rq1rk1/4bppp/1p1p4/pQnPp3/4n3/1N2BP2/PPP1B1PP/R4RK1 b - -,e4f6
4r1k1/p3r3/1p6/2p1Ppb1/3p2P1/1P3P2/P1P3R1/4R1K1 w - -,g4f5
7r/PK2p3/3p4/3P1p2/1p6/1P2P1k1/7p/2R5 b - -,g3g2:g3f3
8/pp1R4/5k2/2b1p2p/8/1BP4P/PP3P2/6K1 w - h6,d7b7
1r3k2/4bppp/8/pB6/2R5/6P1/NK5P/8 b - -,b8b5
6k1/8/8/1pR5/1P6/4n1P1/P2r3P/6K1 b - -,d2g2
4q3/1pp4p/pk6/8/3p2B1/2P5/PP1R2PK/5R2 w - -,d2d4
