8/5p1p/p5p1/2pBk3/6b1/1P1K2P1/7P/8 w - -,d5b7
8/pp1qbprk/7p/3B3Q/P2pPP2/1P4P1/2P1N3/6K1 w - -,g1g2
2q2rk1/4bppp/pr1ppn2/2p5/4P3/1PBQ4/P1P1BPPP/R4RK1 b - -,c8c6:f6d7:d6d5
5k2/1p1nbpp1/2p3p1/p1n1p3/2P3P1/1PN1PP1P/PB6/5BK1 w - a6,g1f2
8/8/6P1/2knBp1p/5P2/2p2K2/8/8 b - -,c3c2
r7/8/5k2/6R1/5PK1/8/8/8 b - -,a8a1
r1b2b1r/pp1npk2/1qp4p/3p4/3P1p2/1P1BP3/P1P3PP/RN1Q1RK1 w - -,d1h5
8/pp6/1k2p3/2p1P2P/2r3P1/Pq3R2/1P2Q3/1K6 b - -,b3b5
r4k1r/1p3pNp/p1n2n2/8/3pPq2/P2B4/1PP2P1P/R2QK2R w KQ -,g7h5
2r2rk1/p1q1bppp/4b3/2pnp3/N7/P5P1/1PQBPPBP/R4RK1 w - -,a1c1
8/p1pb3r/3n2k1/B2P2p1/P2P2P1/1P1K4/8/6R1 b - -,h7h3
1brqnr2/p2bk1p1/2p2nB1/1pPpp3/1P1P1P2/P1N1P2R/2QBN3/2KR4 w - -,h3g3
2k5/8/Q7/3pp1p1/4q3/7P/6P1/2r1N2K b - -,c8d7
1r3k2/p4p1p/4pp2/1pRn4/3P4/PN4P1/1P2KPP1/8 w - -,c5c6
2r2rk1/6qp/p1p1nnp1/1p1p1p2/1P1P1P2/3BP1N1/P5PP/1Q2RRK1 w - -,b1b3
5k2/6p1/p4n1p/8/2rNp3/2P1R3/Pr4PP/R6K w - -,e3e2
8/p3k2r/1p2pp2/3p1bP1/3P1R1P/2P2N2/P2K4/8 w - -,d2e3
1rbq1rk1/pp1nppbp/2pp1np1/8/3PP3/2PBBN1P/PP3PP1/RN1Q1RK1 w - -,a2a4
2rr1b1k/5qpp/1pn1bp2/p1pnp3/8/PP1PPNPP/3N1PB1/BQRR2K1 b - -,f7a7
6k1/3b1pp1/7p/1r6/4P3/p3RPP1/5K1P/B7 b - -,a3a2
2r2rk1/1bq1bppp/pp1ppn2/2n5/2P5/1PN1PNP1/PB2QPBP/R2R2K1 w - -,a1c1
8/6rk/p1p1r3/PpR3Np/1PqP1P2/4P3/6QK/8 b - -,h7h6
2N1n3/5k2/p2p3K/1p1Pp3/1Pp1P3/P1P5/8/8 w - -,h6g5
r1b1nrk1/pp1nppbp/1q4p1/2pP4/2P5/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,d1c2
r1b1r1k1/ppqn1pbp/3p1np1/2pPp3/2P1P3/1PN2NP1/PB3PBP/R2Q1RK1 w - -,f3e1
5rk1/p2r2pp/1ppNp1b1/3qP3/P2P4/2R1Q3/1P4PP/R5K1 w - -,b2b4
8/b2n1p1k/p7/1pp5/4P3/1PB1P1Pp/P3K2P/8 w - -,e2f3
r5k1/1pp2p1p/3p3P/5RP1/p3rP2/P1P5/1PP5/2K4R w - -,h1f1
r3r1k1/1pp2ppp/p1p2n2/2b1p3/2N1P3/3P3P/PPP2PP1/R1B2RK1 w - -,c1e3
2r2r1k/5ppp/pq1bp3/1p1b4/5P2/PN3BQ1/1PP3PP/3R1R1K w - -,f3d5
5q2/8/p1k1p3/bp1pPp1r/b1pPnPp1/P1P1K1P1/1QP1NBBr/1R4R1 w - -,b1a1
r1b1k2r/ppp1q1bp/2nppnp1/5p2/3P1B2/1BN1PN1P/PPP1QPP1/R3K2R b KQkq -,c8d7
r1n3k1/1pq1r1bp/p2ppnp1/2p5/2P5/N1B1Q1PP/PP2PPB1/3R1RK1 b - -,g8h8
