8/8/4kp2/1R2p3/8/r4PK1/8/8 w - -,b5b6
3qr1k1/1p1b1pbn/p2p2p1/r5Pp/3NPN1P/R1P5/1P2Q1B1/3R2K1 w - -,a3a5
r1b1r3/1p3k1p/n1p1npp1/p1B1p3/2P1P3/2N4P/PP1R1PP1/3RNBK1 b - -,e6c5
2r2rk1/1n2b1pp/pq1p1p2/1p1Pp1P1/5P1P/1N1B4/PPP1Q3/1K1R3R w - -,g5f6
8/6p1/8/N7/3n4/1p6/k4P2/2K5 w - -,a5c4
3r2k1/2p3p1/ppP3qp/4Pb2/5P2/2Nr4/1P3QPP/R4RK1 w - -,a1a6
r1b1r1k1/1p3pp1/2p2q1p/3p4/PR1P1P1P/6P1/P1Q2PB1/2R3K1 b - -,e8e7
r5k1/pb3pp1/4p2p/R3P3/3N4/5P2/6PP/6K1 b - -,a7a6
rnbqk2r/pp2bppp/4p2n/3pP3/3P4/2P2N2/5PPP/RNBQKB1R b KQkq d3,h6f5
5r1k/p6p/1p4p1/2p1Pn1P/1PBp1PP1/P4K2/1B6/8 b - -,f5e3
r1r3k1/1q1npp1p/3p2p1/1p6/1N1QP3/P4P2/1P4PP/R4RK1 b - -,b7b6
8/pr3ppp/1p1Bk3/P2p4/3PP3/3K1P2/1R4PP/8 b - -,e6d6
r1q1k3/pp2ppb1/1np1bnp1/4N3/3P1BP1/2N5/PPPQBP2/2KR3r w q -,d1h1
r1b2rkb/ppp4p/3p4/3Ppp1q/2P5/2NB1P2/PP1Q3P/R4R1K w - -,f1g1
r2q4/2p1p2k/p2n1r2/2QPbpp1/P3p3/1PB3P1/4PPB1/2RR2K1 b - -,e5c3
r1q2r1k/ppp3pp/3p1b2/3Q1p2/3B1P2/2P5/PPP2P1P/2KR2R1 w - -,d1e1
rn1q1rk1/pb1pbppp/1p2pn2/6B1/2P5/2N1PN2/PPQ1BPPP/R3K2R w KQ -,e1g1
2kr4/2pr2p1/p1p1ppn1/5nPp/2PP4/2K1BN1P/P2R1P2/4R3 w - -,e1b1
r2n1r1k/1pq3pp/3b4/p1pBp1N1/2Pp1pb1/P2P2P1/1PQBPPKP/R4R2 w - -,a1e1
6k1/8/3pN1p1/1Pp5/2P1P2q/r4PpP/6Q1/5R1K b - -,a3d3
3q2k1/1ppr1ppp/p1n1b3/2p1P3/2N5/2P3P1/PP2QP1P/4R1KB w - -,h1c6
2r3k1/2P3bp/6p1/4pq2/P2p2Q1/4B2P/5PP1/2R3K1 w - -,e3d2
r7/1b4rk/pp1bpqpp/5p2/2NPpP2/2P1P1PQ/PP4P1/R3RNK1 b - -,d6c7
r3k2r/ppq5/1np1ppb1/2bn3p/3P3P/1B2BQN1/PP3PP1/R4RK1 w kq -,d4c5
2r2rk1/4pp2/p2p1b2/1p1P2pR/2nB4/5P2/PPP3P1/1K1R1B2 b - -,c4e5
r7/4N2Q/2p1k3/p1qb2p1/Pn3p1p/2R4P/1B3bP1/7K w - -,c3c5
3rr1k1/1bqnbpnp/pp1pp1p1/6N1/1PP1PP2/P1N5/1B2BQPP/3R1R1K b - -,h7h6
r3kb1r/pp3ppp/nBqP4/4P3/2p1Q3/P1N2P2/1P5P/R3KB1R b KQkq -,c6b6
r2q1rk1/pp2ppbp/2p1b1p1/7n/3PP3/2B2N1P/PPQ1BPP1/2R1R1K1 b - -,d8b6
