8/8/rp2k2p/1R3ppP/pPP5/P4K2/5P2/8 b - -,e6f6
2r5/8/3k3P/8/3n2P1/2p1N3/5PK1/2R5 w - -,h6h7
r5k1/p2b2p1/1p1Bp3/3pP1r1/P1p2RP1/2P5/2P3P1/R5K1 b - -,g5g6
5r2/8/3k1p2/p3r2p/P1BKP3/1P5R/2P3PP/8 w - h6,h3g3
4r3/6bk/1p1r1npp/pP3p1P/P2pp3/1q1P2PB/1P2QP1N/1R2R1K1 w - -,h5g6
r2qr1k1/pppnbpp1/3p1n1p/1P3b2/P1PP4/1QN2N1P/4BPP1/R1B2RK1 w - -,c1e3
5rk1/p4r1p/6p1/3P4/3pB3/5P1P/P5P1/3R3K b - -,f8b8
8/kp4p1/p6p/3p3P/P7/4R3/1P4PK/3r4 b - -,d1d2
2r1r1k1/pbB2pp1/8/1Bp5/3p4/P6P/1PP2PP1/1R3RK1 b - -,e8e7
8/4q2k/2p3bp/QpPp1pp1/4r3/P3P3/6PP/4RR1K w - -,a5b6
r1bqk2r/pp1pppbp/5np1/1B6/3pPP2/3P4/PPP1N1PP/R1BQK2R b KQkq -,d8a5
r2r2k1/p4p2/1p4p1/2b1N3/8/8/P4PPP/2RR2K1 b - -,d8d1
r2q1rk1/ppp1npbp/2npb1p1/4p3/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - -,b2b4
r1b1r1k1/ppq2ppp/2nbp3/3pN3/3PnP2/1P3B2/PBPN2PP/R2Q1RK1 b - -,e4d2
6k1/2Rn4/b5p1/r2P2q1/6Np/5P2/1Q2n1PP/7K w - -,c7d7
r1b2rk1/2b2ppp/p1Nq1n2/1pnp4/4P3/1PNB4/P1QB1PPP/R4RK1 w - -,e4e5
2kr1r2/pp1n1pp1/2p1pq1p/7P/2PP4/1R3N2/PPQ2PP1/1K1R4 b - -,c6c5
r3k1r1/pR2n3/2ppPpp1/q5p1/8/3B3R/P1Q2PPP/6K1 b q -,a5e1
4b1k1/5p2/2N3pp/8/4B3/2b3PP/P4P1K/8 b - -,g8g7
2r5/p2kp1r1/1p1p4/5p1p/PbP2P2/1P3KP1/4RB1P/3R4 w - -,d1d5
1n1r4/3r1pk1/1p1ppbp1/pNq4p/P1P1Q2P/1P2P1P1/3R1PBK/3R4 b - -,b8a6
3b1rk1/p2q1ppp/np2p3/3pP3/1P1N4/P1R5/2QB1PPP/6K1 w - -,d4c6
R2b2k1/1B1r1p1p/3N2pq/2P5/1Q5P/1P6/8/6K1 w - -,b4e1
8/8/P7/2p2p2/5Pkp/2KN4/7P/5b2 w - -,a6a7
r1bqr1k1/pp1nppbp/6p1/3p4/3P1P2/2Q2N2/PP1NPPBP/R4RK1 b - -,e7e6
