8/1p6/k1pK4/p7/P1Pq4/1P6/2Q5/8 w - -,d6c7
5r2/1p6/p1kNp1bP/P3P3/6P1/Pr3P2/2pB1K2/2R5 w - -,f3f4
2Rb2k1/6pp/bp6/p7/3BpN2/PP2P1P1/7P/6K1 b - -,a6c8
r1b1k2r/p2n1pbp/1pp3p1/4p3/4P3/2N1BP2/PPPRN1PP/2K4R b - -,e8e7
6k1/p1q2ppp/bpp2n2/2b1pNB1/2P1PPP1/1P5P/P5B1/3Q3K b - -,f6d7
r4rk1/3qp1b1/p2p2pp/1bpP1p1n/1pB2P1P/3QP1P1/PPP2N2/2KNR2R w - -,h1g1
rqr3k1/5pp1/p3pn1b/1p1Nn3/3BP2p/P6P/1PR1QPP1/3R1BK1 b - -,c8c2
r2q1rk1/pp3pbp/1n1p2p1/3Pp3/2P5/1PN1BQ2/P4PPP/2R2RK1 b - -,f7f5
r1bqr1k1/ppp2pbp/3p1np1/8/3BP3/2N3PP/PPP2PB1/R2Q1RK1 b - -,c8d7
8/2k5/2n3p1/7p/5K2/4BP2/7P/8 w - -,f4g5
8/p4q1k/2p2rp1/6Qp/2PP4/1P2Bb1P/PK3P2/6R1 b - -,f7e6
6k1/1p3rbp/3P2p1/3N1b2/qp4p1/8/3QR1PP/5RK1 b - -,b4b3
5kB1/p5np/1p4p1/1P4P1/6KP/5P2/8/8 w - -,g8h7
1r2k2r/1bp3b1/pp1n1p2/4p2p/7P/4BB1N/PPP2PP1/2KRR3 w - -,f3b7
r3k2r/ppp1nppp/2n4q/1B2P3/3N4/6Pb/PP1N1P1P/R2QR1K1 b kq -,e8c8
1qr2rk1/1p1bbpp1/p1n1p2p/4P3/2nPBB1P/2N2N2/PP1Q1PP1/2R1R1K1 w - -,d2e2
r1b2rk1/p4p1p/1p1Pp1p1/6q1/2P3n1/2N5/PP1Q2PP/2KR1B1R b - -,g5d2
r1nq1r1k/ppB1p1bp/2p1P1p1/P7/5p2/1BN3Q1/1PP2PPP/R5K1 w - -,c7f4
6k1/8/6p1/P1p2p2/2N2R2/6KP/2q3B1/8 b - -,g6g5
1q1rr1k1/1b3p1p/pNn2npb/2Pp4/1P1B4/1N3P2/P4QPP/2RR1BK1 w - -,c1c3
r1b2b1r/1pq2kpp/p2ppp2/2n5/2PQP3/BP3N2/P3NPPP/R2R2K1 b - c3,f8e7
