k7/2p5/2K3p1/8/5BPP/P7/8/1b6 b - -,b1c2
r3r3/1pp2pk1/3p1npp/Pp2p3/4P3/2PPN2P/1P2RPPK/3R4 w - -,b2b4
r2q1rk1/6pp/nppb1n2/p2p1p2/N2P4/P3PP2/1P1BN1PP/2RQ1RK1 w - -,c1c6
2r2r2/4ppkn/6p1/p1pPq1Pp/PpP1P3/1P2Q1RP/3N2K1/5R2 b - -,h5h4
r1bqr1k1/pp3p1p/3p2p1/2pPb1Nn/2P5/3BB2P/PP1Q1PP1/R4RK1 w - -,g2g4
r2rn1k1/2q2p1p/p5p1/1p1Rp3/2p1P3/2P1BP1P/PP3QP1/3R3K b - -,d8d5
3k1b1r/1p2p2p/p3Ppp1/3pBB2/8/4P3/Pn3PPP/4K2R w K -,e5b2
5rk1/pp1bb1pp/1q2p3/3pP3/P3nB2/1Pr2NP1/2B1Q1KP/R4R2 w - -,a1d1
rnbq1rk1/ppp1ppb1/3p3p/6pn/2PPP3/2N2NB1/PP2BPPP/R2QK2R b KQ -,h5g3
3R4/1nr3pk/7p/p3Nq2/2P2P2/P2QP2P/1P6/K7 b - -,f5d3
Q7/4p2p/3p1kn1/1p2p3/5q2/P2P1PRP/1P4RK/2r5 b - -,g6h4
8/8/1pN1k3/5ppp/2PP1n2/1P3P2/5K2/8 w - -,d4d5
rn3rk1/1b2q2p/3p2p1/p2Ppp2/1p2NPP1/7P/PPPQ2B1/2KR3R w - f6,g4f5
r2q1rk1/pb1nbppp/1p2p3/nN2N3/2PP1P2/8/PB2B1PP/2RQ1RK1 b - f3,a7a6
8/8/3bppk1/3p1p2/1p3P2/r2B3P/PRP3K1/8 w - -,d3b5
rnbq1rk1/pp2ppbp/6p1/8/2BpP3/2P5/P3NPPP/R1BQ1RK1 w - -,c3d4
7r/3b1kq1/3p4/2pP1p2/rP2pP2/4Q1Pp/1P1R1R2/5BK1 b - -,a4b4
1r3rk1/pbq3bp/nn2p1p1/2ppP1P1/1p3P1P/2P1B1NB/PP6/RN1Q1RK1 b - -,c7c6
r1b2rk1/p3Qppp/4p3/4P1B1/8/1P1p2P1/P3q2P/R4RK1 b - -,e2e5
8/1p6/p1p1b2p/2Pk2p1/1P6/4K3/P5PP/3N4 b - -,d5c4
r1bqk2r/pp2ppbp/2n2np1/2pp4/2P5/3P1NP1/PP1NPPBP/R1BQ1RK1 b kq c3,e8g8
r1bq1knr/pp4pp/4p3/2bpn3/8/3B2Q1/PPP2PPP/R1B1K1NR w KQ -,g3e5
8/7p/3kn1p1/2pp4/5PP1/1P1K3P/4N3/8 w - -,d3e3
2rq1rk1/5pb1/p3p2p/Pb2N2P/2pP1p2/2P2B2/2Q2PP1/R3R1K1 b - -,d8g5
r7/p1k2b1p/2P5/1PN1pp2/R1P5/6P1/5P1P/2K5 w - -,c5d7
4b3/8/3P3B/2K1k3/8/p4P2/8/8 b - -,a3a2
1kr5/p1q1bppp/1p2p3/3PP3/Q7/P2RB3/1Pr2PPP/1R4K1 b - -,c2c4
2rq1rk1/3p2bp/1pb1p1p1/p1n2P2/2P5/1PN1BP2/P2Q2PP/2RB1RK1 b - -,f8f5
3r2k1/1p3pp1/p1np3p/5b2/1PP2P2/P2q2P1/1B3Q1P/2R3KB w - -,f2f3
r4rk1/5pbp/1qPp1np1/2p1n3/1p2P1P1/4B2P/1P1NQPB1/R4RK1 w - -,d2c4
1k1r3r/ppb3pp/5pn1/1bPp4/3P4/R4N2/P4PPP/2B1RNK1 b - -,h8e8
r2r2k1/pp2bppp/1qp1p3/3nN2b/3P1B2/1QP3P1/PP3PBP/R3R1K1 w - -,f4d2
r2q2k1/pbpn2pp/1p1pr3/5p2/1PP1n3/P3PN2/1BQ1BPPP/R4RK1 w - -,f3d4
2r3k1/3R1p1p/4p1p1/4P3/R3B3/7P/4r1PK/4n3 w - -,h2g1
rnbq1rk1/pppp1ppp/5n2/8/2P1p3/2P1PPP1/P2P2BP/R1BQK1NR b KQ -,f8e8
rnbq1rk1/ppp1npbp/6p1/3p4/3Pp3/4P1P1/PPPN1PBP/RNBQ1RK1 w - -,c2c4
r3r1k1/1bqn1pbp/pp1ppnp1/8/2P1PP2/1P1BN3/PB1NQ1PP/2R2RK1 b - f3,d7c5
1r4k1/bp1q1p1p/r3n1p1/PR1pPp2/3p1P2/1Q3N2/2PB2PP/1R5K b - -,e6c5
r1b2rk1/1p2bpp1/2n1pq1p/p7/2Pp1P2/PN1P2P1/1P1N2BP/R2QR1K1 b - f3,a5a4
r1bqk2r/ppp2ppp/2n2n2/2b1p1B1/2Pp4/3P1NP1/PP1NPPBP/R2Q1RK1 b kq -,c5e7
8/5k2/8/1b1P3p/4P3/5PQ1/5B1K/2q5 b - -,b5e2
r1bqkbnr/1p1ppp1p/p5p1/8/3pP3/2NB4/PPPP1PPP/R1BQK2R w KQkq -,c3e2
8/1P5p/8/1KR5/6pk/8/5r1P/8 b - -,f2h2
8/8/4k1Kp/5Rp1/1r6/3B3P/8/8 b - -,b4h4
r2q1rk1/pp2bppp/4pn2/8/2PN1B2/8/PP2QPPP/R2R2K1 b - -,d8b6
8/8/2k3p1/3p1p2/2pK1B1P/2P2b2/8/8 b - -,c6b5
r1bq1rk1/1ppnbppp/p1np4/1B2p3/2P1P3/2NP1N1P/PP3PP1/R1BQ1RK1 w - -,b5a4
7r/pkb2pp1/4pnb1/8/2PN3p/6P1/PP1RKP1P/6R1 b - -,h4g3
rnb1kbnr/1p3ppp/p3p3/2pq4/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq -,g8f6
6R1/8/8/5r2/8/7p/4K2k/8 b - -,f5f4
