8/7r/7P/P2pkN2/6P1/3B1K2/2Pb4/8 b - -,d2h6
5Q2/r3r3/6p1/2q1p3/p3PPk1/PpP4R/1P6/2KR1N2 w - -,h3g3
2b1n3/2q2n1k/p1N2pp1/1p1Pp2p/1P2P2P/2Q3N1/P5PK/3B4 b - -,e8d6
2r1nrk1/5p1p/3p2pQ/pb1Pp1P1/1q2P2P/2N3N1/RP3P2/4K2R w K -,e1d2
b2r2k1/p3r2p/P1p2bp1/1p3p2/1P1Pn3/1N2P1P1/2R2PBP/2R1B1K1 w - -,b3a5
r3k2r/pp1qn1pp/2nbbp2/2p1p3/2PpPP2/3P1NP1/PP2N1BP/R1BQ1R1K w kq -,f4f5
r1b1r1k1/ppp1qppp/3b2n1/2p1p3/P1N1P3/1P1P4/1BP2PPP/R2QNRK1 w - -,g2g3
rnbqkbnr/pp3ppp/4p3/2p5/2BP4/4PN2/PP3PPP/RNBQK2R b KQkq -,c5d4:g8f6
5k2/5ppp/8/R7/4n1P1/P7/6PP/4rBK1 b - -,e4d2
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPPP3/2NB1P2/PP4PP/R1BQK1NR b KQkq -,c7c5
5rk1/2r1ppb1/p2p2pp/1b3P2/2qPP3/2P1Q1N1/1B1R2PP/R6K b - -,g8h7
8/5kpp/4p3/3pP3/8/r1K1PP2/p6P/R7 w - -,c3b4
8/5kp1/ppn3pb/2pNr3/2Pp3P/1P1P4/PB4K1/R7 w - -,a1f1
r1bq1rk1/pp2bppp/2n1p3/8/2PpN3/P2P2P1/1P2QPBP/R1BR2K1 w - -,b2b4
r1bq1rk1/ppp1b2p/2np1np1/5pB1/2PPp2N/2N3PB/PP2PP1P/R2Q1RK1 w - -,f2f3
8/p4k2/2p5/P4p1P/1n1P3P/1p4K1/8/2B5 w - -,g3f3
8/8/3k4/K5pp/6p1/8/P4P1P/8 b - -,d6c5
8/pp1bk3/3p2pp/3Pppn1/4P2P/1P1B1P2/P1N2KP1/8 b - h3,g5h7
1r1q1r1k/3b1pbp/p2p2p1/2p5/1nPpPPP1/7P/PPQB2B1/2N1RRK1 w - -,d2b4
4rrk1/3q2bp/2pp2b1/p3pp2/P1P2P2/1P1P1NPP/7K/1R1Q1RB1 w - e6,g1e3
3r1r2/2pnqpkp/bp1p2p1/p2P4/1P2PP2/P1N4Q/2B3PP/3RR1K1 b - b3,a5b4
8/8/1q6/8/2R5/2R3P1/1K4k1/8 w - -,c3b3
5k2/2Q2p2/4p3/8/P2q3p/1PR3p1/K7/3r4 w - -,c7c8
r2qk2r/1b3ppp/p7/1p2p3/5n2/2PQN3/PP3PPP/2KR1B1R w kq -,d3d8
3r4/2p1k1p1/b3Pp2/r1pP4/2B2KpP/1P1R2P1/8/4R3 b - -,a6c4
r1bqr1k1/pp1nppbp/3p1np1/8/2PB4/1P3NP1/P2NPPBP/R2QR1K1 b - -,e7e5
2r3k1/2q2p1p/4p3/3p4/8/2B4P/P4QP1/R5K1 b - -,c7c3
rnbqkb1r/pp3ppp/4pn2/2p5/2BpP3/5NN1/PPPP1PPP/R1BQK2R b KQkq -,f8e7
R7/5b2/4pkp1/P2p3p/7r/1P6/1KP2P2/5B2 b - -,e6e5
r3kb1r/pp1b1pp1/1qn1p3/3pPn2/3P3p/1BN1B3/PP2NPPP/R2Q1RK1 w kq -,h2h3
8/5pk1/6pp/3rp3/8/4KP2/8/2R5 b - -,f7f5
2kr1b1r/1bqp4/p1n1p1p1/1p3p2/3pPP1p/1B1P4/PPPBQNPP/R4RK1 b - -,f8c5
3r4/p5k1/1p3p2/1Bq2Pp1/P1p2rn1/4R1Q1/2P1R1P1/6K1 w - -,e2e1
3nk2r/2qbbp1p/pB1p4/4pPPp/1p2P3/1N6/PPPQ3P/1K1R3R b k -,c7b6
8/1r2k1p1/4q1bp/8/5p2/KPQ5/P2R4/8 w - -,c3g7
3r2k1/1p1bR2p/1p1p2p1/3P4/P5P1/7P/1P3PB1/6K1 w - -,g2f1
2rr2k1/3b1ppp/4pn2/2b5/1p1N1B2/1BP4P/1P3PP1/3RR1K1 w - -,c3c4
4rk1r/5q1p/p1pPp1pP/1p3pQ1/8/1P3PR1/P1P2P2/2KR4 b - -,f7d7
3k4/2p4p/1p1p2p1/p2Pp1Pn/P1B1P2P/1P2P1r1/7K/4R3 b - -,g3g4
6k1/2q2ppp/b3pn2/p7/N1p5/5BP1/1P1RPP1P/R5K1 w - -,a4c5
5r1k/p5pp/3pbrq1/b1p1p3/2P1P3/1P1NN3/P3QPPP/2R2RK1 w - -,f2f3
r1bqr1k1/1p4bp/3Pn3/p1p2p2/2Pp1P2/1P1P1N1P/P1BB1Q1K/R5R1 b - -,a8a6
7k/2pQr3/1p2np1b/pPq3p1/4R2P/4PNB1/5PPK/8 w - -,d7c8
3r2k1/2p3b1/3p4/1bnPp3/1p4P1/1P5P/P1N1N1B1/5RK1 w - -,f1f2
r2q1rk1/pbpnbppp/1p1p1n2/4p3/2P1P3/2NP1N1P/PP2BPP1/R1BQ1RK1 w - -,b2b4
1r2qrk1/3bppbp/1p1p2p1/p3P3/n1PP1P2/4B1PP/2Q1N1B1/R4RK1 w - -,f1b1
2rqkb1r/1p3ppp/p1n1pn2/3p4/3P1B2/P1NQPN2/1P3PPP/2R1K2R b Kk -,f8e7
2rq1rk1/ppp2b2/4p1pp/4Qp2/2NPP3/2P5/PP4PP/R4RK1 b - -,a7a6
1r4k1/1bpnqrb1/p2p1p1p/N1PPp1pP/2B1PnP1/1QN1BP2/P7/2KR3R w - -,a5b7
7r/8/2R5/2Pp1k1P/3P1P2/4PK2/8/8 b - -,h8h5
r1bqk2r/pppp1ppp/2n2n2/8/4P3/4Q3/PPPN1PPP/R3KBNR w KQkq -,e1c1
6k1/p4rpp/qp6/8/5PP1/1N5P/1PP2Q2/2K5 b - -,a6c4
r1bqr1k1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,c1e3:f1e1:b2b3:d4e5:d4d5
1r1qnrk1/pp1b1pbp/3p2p1/1PpPp3/P1N1P3/3P2PP/3B1PB1/1R1Q1RK1 w - -,f2f4
2r5/p4k1p/1n2p3/2b2p2/8/4N1P1/P1RBKP1P/8 w - -,f2f4
r4r2/1pp1q1kp/2bp2p1/pN2p3/PnP1P3/1P3P2/3Q2PP/3RRBK1 b - -,b7b6
r2qk2r/pppbBp2/2n3pp/4p3/2B1P2Q/2P2N2/PP3PPP/R3K2R b KQkq -,d8e7
r2r2k1/p3ppbp/1p4p1/q2nP3/4BP2/1P2BP2/P4Q1P/2RR2K1 w - -,b3b4
rn1qkbnr/pbpp2pp/1p2p3/5p2/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,g8f6
r1r3k1/p4p1p/1pn1pb2/2Np1p2/3P4/P3PN1P/1P2KPP1/R1R5 w - -,c5d7
4q1k1/R4p1p/4p3/5rPP/1p3Q2/2b1BP2/P4PK1/8 w - -,f4c7
B7/2q3bk/p5pp/P1p2b2/1p6/2P3P1/1P2Q2P/3R2K1 b - -,b4c3
r2q1rk1/pp1bppbp/2np1np1/8/2P2P2/1PN1P1PP/P3N1B1/R1BQ1RK1 w - -,c1b2
2r2rk1/p3ppbp/3p1np1/1p3P2/2qPP3/2P2RN1/P5PP/R1B1Q1K1 w - b6,a1b1
8/1R6/7k/5K1p/1p6/1P6/8/4b3 w - -,b7b6
r1bqkb1r/pp1p1ppp/2n2n2/4p3/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,g2g3:b1c3
4k2r/rp2np2/p2p4/2pPn2p/P3Pqp1/4R3/1PQ1BPPP/3N1RK1 b k -,e7g6
8/5pp1/8/1pR2kPb/p2K3P/PB6/4r3/8 b - -,f5f4
8/k1n5/1R2p3/2P1K1p1/3P2P1/4N2P/5P2/7r b - -,h1h3
5rk1/pR4p1/2p1p2p/8/2P5/6bq/6QN/7K b - -,f8f1
7r/p1Q2pk1/1p3q1p/6p1/1P6/P4PP1/5PK1/4R3 b - -,a7a6
r6r/ppp1kp2/6p1/3b3p/5P2/1P1B3P/P1P3P1/2KR3R w - -,h1e1
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,f8e7:d7d6:d7d5
r3k3/4bp2/1np1p1p1/p2p2P1/1n1P1PBr/1PN4P/1P6/R2KB2R b q -,h4h8
r1br4/p3qpkp/1pp3p1/8/3pPR2/P2P3P/1PPQ2PN/5RK1 b - -,c8e6
2r2k2/B2rp2p/R3nppb/1p5q/1P6/1Q1PPNPb/4PK1P/4R2B b - -,h3g4
r4rk1/1pq1ppbp/p5p1/n2pPb2/1B1P4/2P2N1P/P4PP1/R2QRBK1 b - -,f8e8
rnb2rk1/ppq3bp/2p2np1/4pp2/2P5/1PN1PN2/P1QBBPPP/R4RK1 w - -,a1d1
8/1p3rk1/8/2P2r1p/KP1R3R/8/8/8 b - -,g7g6
6b1/7k/7p/5P2/4P2p/8/6BK/8 w - -,h2h3
5rk1/7p/4p1pb/ppN1p3/8/1P3qP1/P4P1P/2R1Q1K1 w - -,c1d1
1k1r4/1pn2R1p/p3q1p1/3n4/B1QP2P1/7P/PP2N3/6K1 w - -,f7c7
