2k5/1N4R1/4p3/p2pP3/8/5K2/1r6/4b3 w - -,b7d6
r1q2rk1/1pbn1pp1/p2pb2p/P3p3/N1P1P3/1P1Q2P1/3B1PBP/R4RK1 w - -,a4c3
r1b2rk1/5p2/p1p1pQ1p/3p4/4Pq2/2NB4/PPP2PPb/4RR1K w - -,f6f4
5rrk/2qnpn1B/1p3p1p/p1pPp1p1/P1P2PPP/2P5/2Q2R1B/5R1K w - -,h7g8
2r3k1/6pp/p2B4/8/3R2P1/P3PP2/2p4P/2K1n3 b - -,c8c3
6k1/4r1pp/4rn2/3Q3q/P7/2P3P1/1P3PP1/R4RK1 w - -,d5h5
2Q3k1/5p1p/6p1/5n2/3q4/7K/6B1/8 b - -,g8g7
8/2r1kp1p/6p1/R1P3P1/1p5P/3KB3/Pb6/8 w - -,a5a6
5r2/pR5p/6k1/P2Bp3/N3P1p1/P5P1/6KP/2r5 b - -,c1c2
1r5k/2p4p/p1Bb1rp1/3Pp3/2R5/4P3/PPK1R1PP/8 b - -,h8g7
8/k7/8/3Qpqpp/8/P6P/3KN1P1/8 b - -,g5g4
rn1q1r1k/pp1b2pB/3p1p2/2pn2B1/2Q5/P3PN2/1P3PPP/R3K2R w KQ -,h7g6
1r3rk1/2qb1ppp/p2b1n2/3pp3/1PP5/P1Q1PN2/1N3PPP/1R2KB1R b K -,f6e4
3r1rk1/1b2b1pp/ppqppn2/5P2/2P2B2/1PN3QP/P4PP1/1BRR2K1 w - -,f4e3
r1bq1rk1/p2nbppp/1ppp1n2/4p3/P1BPP3/2N2N2/1PP1QPPP/R1B2RK1 w - -,f1d1
rnbqk2r/ppp1ppbp/6pn/8/2Pp4/5NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d3
5r2/p1n1p1k1/3p1pp1/R3PbQp/7P/KN3P2/P5P1/3q4 w - -,e5f6
1k6/1p6/p4p2/P4R2/2r5/2P5/6PP/6K1 w - -,g1f2
5rk1/pp5p/6p1/1P1p4/N2b3R/3ppP2/P1n3PP/3R3K w - -,h4d4
2r3k1/5pb1/4p1pp/p2r2B1/1q2PP2/3B3Q/1P4P1/1R5K w - -,e4d5
8/2k5/p3p3/2p1Ppp1/B1P5/P4K1P/3b4/8 w - -,a4e8
8/8/3n4/1BN1k2p/8/4P3/5K2/8 w - -,b5c6
3rr2k/1p1n3p/p3pqp1/3B4/3P1P2/4R1PP/PP2Q3/4R1K1 b - -,f6d4
8/8/p7/P1b1k3/2P5/3K1pp1/4N1P1/8 w - -,g2f3
2b3k1/2r2p1p/q3p1p1/3pP1P1/3B1P2/1P6/P2Q3P/1K1R4 w - -,d1c1
3r2k1/pp3pp1/3qp3/3rN1Pp/3P2bP/4Q3/PP1R1P2/4R1K1 b - -,d5d4
8/6p1/3kpp1p/8/1p4P1/1PbBK3/5P1P/8 b - -,g7g5
r1b1nr1k/1pp1q1b1/7p/p1pPp3/2P1Pp2/2N2N1P/PPQ1BP2/2K3RR w - -,h3h4
r4rkb/pp1q3p/3ppn1P/2p3B1/8/6P1/PPP1QPB1/2KR3R b - -,a8e8
8/6p1/1k6/p2R4/P3KPP1/2r5/8/8 w - -,d5b5
3r1r1k/pp1P2pp/6q1/2N1pn2/8/4P2P/PP1QB1K1/2R2R2 w - -,e2g4
r3k2r/1pq1bpp1/pnp1bn1p/3p4/3P1P1B/1PNBPN1P/P1Q3P1/R3K2R b KQkq -,f6g8
