3Q4/5pk1/1p6/p3P3/4K3/5P2/1P6/6q1 b - -,g1e1
2BR4/pp3ppk/5n1p/8/8/1Pb3P1/r4PKP/2B5 w - -,d8f8
8/p2r2pk/8/2P1p3/7p/2R4K/P7/8 b - -,g7g5
8/8/3pB3/4b3/4P1pk/7p/8/6K1 b - -,e5d4
3r4/1b3k2/1p6/1P1pqp2/P1p4b/2N1PB2/4R3/2Q2K2 b - -,h4f6
r2qk2r/2p1ppb1/n5p1/p2P1b1p/P1p4P/2N1B3/1PPQNPP1/2KR3R w kq -,e2d4
6k1/2R3p1/2P5/p7/5PP1/1P3K2/r7/8 b - -,a2a3
r1b5/1p2kp2/3rn1pQ/pp6/2P5/5N2/P1B3PP/6K1 b - -,b5c4
r2qr1k1/p1p2pp1/2ppbn1p/2b5/4PB2/3B1Q1P/PPP1NPP1/3R1RK1 b - -,d8e7
r3kn1r/1bq1bpp1/pp1pp3/2n1P1Np/3N1P2/3B4/PPPBQ1PP/4RR1K w kq -,e5d6
r2q1rk1/p4pp1/1pb1n2p/8/3P4/2N5/PP1R1PPP/3QKB1R b K -,f8e8
r3r1k1/pp1q1ppp/1n1p1bn1/2pP1N2/2P2PP1/1PN4P/P1QB2K1/R4R2 w - -,g2h2
r5k1/1p2q2p/p1p5/2Pp4/PPnPp1b1/6Q1/5PBP/R3B1K1 b - -,e7g7
r2qkb1r/pb1p2pp/np1Ppp2/1Np1P3/8/P2BQN2/1PP2PPP/R3K2R w KQkq -,e3f4
R1r5/2r2qpk/Rp2p2p/3p4/1Pn1pP2/2P4P/6P1/2Q2NK1 b - -,f7f6
6k1/8/2p1pb2/5p2/5P2/4PK2/2r2P2/3RB3 w - -,e1a5
1rr3k1/3n1ppp/R3p3/6P1/5P2/1PqNQ3/2P4P/2R3K1 b - -,d7c5
r4rk1/1q3ppp/2n1pn2/p1P5/Rp1P4/4PN2/1B2QPPP/2R3K1 w - -,f3d2
5kn1/8/3Q4/4P2p/5q2/7P/2B1KP2/8 b - -,f8g7
8/5pb1/4p1k1/pp1bP1p1/6P1/P2q4/1P1N1QP1/5RK1 b - -,g6h7
1k6/pp1nR1pp/5p2/3B4/3p4/PPr3P1/5PKP/8 b - -,d7c5
r2qkn1r/p7/1p1pBpp1/1NpPp1bp/PP2P3/5Q1P/2P2PP1/RR4K1 w kq -,b4c5
r1bq1rk1/pp2p1bp/2p2ppn/2p5/4P3/2NPBN1P/PPP2PP1/R2Q1RK1 b - -,b7b6
r1b2rk1/1p1p1ppp/pqn1pn2/4P3/1b3B2/2N3P1/PPP1NPBP/R2Q1RK1 b - -,f6e8
4B2k/2n3bp/6p1/2p1p3/2r5/2B4P/1R3PP1/R5K1 w - -,b2b8
8/8/2k5/4N3/8/2r2PKp/7B/8 b - -,c6d5
rn1qk2r/pp3pb1/2pp2p1/3P1n1p/8/5PP1/PP2NPBP/1RBQ1RK1 b kq -,c6c5
r2bk1nr/p2q1p2/1pb1p1p1/3pP1Pp/PP1P1P2/2N2N1P/3B4/R2Q1RK1 w kq -,b4b5
8/8/8/6pk/pR6/r5p1/6K1/8 w - -,b4c4
7r/Rpkb1p2/2p2n2/2P1p1pp/4P3/2N2PP1/1P2BKP1/8 w - -,c3a4
1n4k1/1b2ppb1/1q1p2pp/pp6/3PP3/3Q2PP/PPNN1P2/5BK1 b - -,b7c6
1rbq2k1/4n1bp/p2p1r2/3Pp1p1/2N1B1P1/1P2B2P/5P2/2RQ1RK1 b - -,e7g6
4rr1k/4q2n/1N1p3p/pPpPbbp1/2P2p2/P7/1B4PP/Q2BRRK1 w - -,d1h5
r1br2k1/ppq1bppp/2nppn2/8/2P1PB2/1N4PP/PP3PB1/RN1Q1RK1 b - -,c6e5
1r2r1k1/pp1nqpp1/5n1p/2Pp1P2/4p1P1/1RP5/P1PBBPQP/4R1K1 b - -,d7c5
3R4/8/3k4/1p5p/1P4p1/2PK2P1/6r1/8 b - -,d6e7:d6e6
3r2k1/5pp1/4p3/1p2P2p/p1n1RB1P/P4P2/K1P3P1/8 b - -,d8d1
2r1r1k1/3n1pp1/p1bqp1p1/1p6/8/1P1PQ1P1/PB3PB1/2RR2K1 w - -,c1c6
r6k/1pb1r1pp/2pp1p2/7q/1PPR1PR1/3QP2P/6PK/2B5 w - -,c1b2
8/8/8/Q1k1Pp2/5P2/Pb5P/2p3PK/3q4 b - -,c5d4
8/2p3bk/p2pN1p1/3P1p1p/2P5/3P2PB/7K/3n4 b - -,a6a5
8/6p1/8/5pkb/R7/5r2/B2K4/8 w - f6,a2d5
4r3/7R/2pBk3/1pP3pN/p3p1P1/6PP/Pb4K1/8 w - b6,h5g7
r3r3/1pb1q1k1/p5p1/6N1/2QP1PPp/4P2P/PP4K1/3R1R2 w - -,e3e4
rr4k1/5ppp/3qp3/p2p4/8/2Q1P2P/PPR2PP1/3R2K1 b - -,d6b4
8/8/4p2p/4k1p1/6P1/1P1R3P/1r6/5K2 w - -,f1e1
8/4b3/5p1k/2Ppp3/3P4/5N1r/4KP2/6R1 w - -,g1g8
rn1qk2r/p3bppp/1p3n2/1RpPN3/5B2/2N5/P1P3PP/3Q1RK1 b kq -,e7d6
2r2rk1/pp4p1/2b2n1p/2b5/4p3/2N1B3/PP2BPPP/2R2RK1 b - -,c5e3
2r4k/R4Bp1/1p4Pp/p2pP2K/2bb4/B5P1/P3P3/8 w - -,e5e6
8/5p2/2k3pp/p7/8/1PKR3P/5rb1/3B4 w - -,b3b4
rq3rk1/1p4pp/p1bbpn2/2ppNp2/P2P1B2/2PBPP1P/1PQ3P1/R4RK1 b - -,f6d7
8/np2kp2/4p1pp/3pP3/P2P4/3K1NPP/5P2/8 w - -,f3d2
1k1r1r2/1p4pp/1Ppb4/p2n4/P1B5/2N1BQ1P/4KPPq/2R5 w - -,f3e4
3r2k1/1qr1bpp1/1p1p1n1p/1B2pP2/1BP1P3/P2Q2P1/4R2P/3R3K b - -,g8h7
2kr1b1r/ppqn1pp1/2p1p1bp/4P3/5PP1/1BN5/PPPBQ2P/2KR1R2 b - -,d7c5
r6k/1pp2prp/3p1N1n/p7/2B2q2/P1Q4P/1PP2K2/6R1 w - -,f2e2
4r1k1/4qpb1/1pp3pp/p1n5/1B2p1P1/1P2P1NP/P1P2P2/3R1Q1K w - a6,b4c5
3r4/5p2/p2k2p1/1p1p3p/7R/P1P1KPP1/1P4P1/8 b - -,d8e8
6k1/2p3p1/p4pbp/b1pP4/8/BP5P/P2rNPP1/2R3K1 w - -,e2f4
r4rk1/p3ppbp/2pnb1p1/2q1N3/2PB4/1Q2P1P1/P2N1P1P/R4RK1 b - -,c5a5
2r2rk1/p4p1p/2p3p1/q3bb2/N3p3/1P4P1/P4PBP/2RQR1K1 w - -,g2e4
r1q1rbk1/1p3ppp/1n6/pNpnPP2/P7/1Pp2QPP/3B2B1/3RR2K w - -,b5c3
2r1k2r/3n1p1b/4p3/1ppq2P1/3p2P1/pP1P2N1/P1PQ4/R3BRK1 b k -,h7g6
2r1r1k1/p3qp1p/1pp1p1p1/3pb3/4N3/1Q4P1/PP4BP/2RR2K1 w - -,e4d2
r4rk1/pppn1ppp/4pq2/8/2BPb3/4PNP1/PP3PP1/2RQ1RK1 b - -,f8d8
5bk1/2n2ppb/2q1rn1p/1p1ppN1P/1P2P3/2P2QN1/2BB1PP1/4R1K1 w - -,e4d5
