8/8/6k1/8/7B/5K2/8/8 w - -,h4g5
8/5k2/5q2/p2Pb3/P5Q1/6P1/5B2/5K2 w - -,f1g2
r1bq1rk1/pp1nppbp/5np1/2pp4/3P1P2/3BPN2/PPP3PP/RNB1QRK1 w - c6,c2c3
6k1/3b3p/1p2R1p1/p4p2/P1p5/2N2P2/1P1r2PP/6K1 w - -,e6b6
4r1k1/1pp1pp2/4P1rB/n3n3/6R1/P4B2/4K3/R7 w - -,a1f1
rn1qkb1r/pp2pppp/2p2n2/3PNb2/3P4/6P1/PP2PP1P/RNBQKB1R b KQkq -,c6d5
4r1k1/1p3ppb/1Bn2n1p/p7/Pp2P3/5P2/1P2BNPP/3R2K1 w - -,e2b5
8/p4p2/1pNbpk2/1P4p1/r2Pp1p1/4P2P/1R3PK1/8 w - -,h3g4
6k1/3R1pp1/p3p3/4N2p/4r2P/2r3P1/P2RK3/8 w - -,e2f2
6k1/p4b1p/B1p2ppb/2P1p3/4P3/6P1/2KP1P1P/B7 b - -,h6f8
2r2rk1/pb1R2pp/1p2p1p1/5qP1/2P1pP2/PP2P3/1B4QP/5RK1 b - -,f8f7
r4rk1/p2q1p1p/bpNb1p2/8/1P2B3/6P1/P3PP1P/2RQ1RK1 b - -,a8c8
8/pP1n1k1p/1p1pp3/5p2/1P3PP1/P2K1B1P/1B6/6b1 b - g3,f5g4
r1qb1rk1/1n1b1p1p/p2p2p1/np1Pp3/4P3/1PP2NNP/R1BB1PP1/R3Q1K1 b - -,d8b6
r4rk1/ppp2pp1/1q3n1p/8/6b1/2BBP3/PP3PPP/2RQ1RK1 w - -,d1a4
r2q1rk1/pbp2pbp/1p4p1/4p3/8/2P1P2P/PP1QBPPB/R2R2K1 b - -,d8g5
r1br2k1/pp3ppp/1qn1p3/8/8/2Q2NP1/PP2PPBP/R2R2K1 b - -,c8d7
r5k1/5pp1/3qp2p/3b4/p2P4/2Q2P1P/6P1/R2R2K1 w - -,c3c5
r1bqkb1r/pp1npp1p/3p1np1/1Bp5/P3P3/5N2/1PPP1PPP/RNBQR1K1 b kq a3,f8g7
R5bk/6p1/3b3p/pP6/P2r1P2/6P1/5K2/8 w - -,a8a5
1r6/5pk1/p1npb1p1/1pp4p/2P1P3/1P4P1/P2N1P1P/1R3BK1 w - -,f2f4
