8/2k2b2/3np3/pB2P1P1/Pp1KP3/8/8/8 w - -,e5d6
1r5k/2R4p/1p6/p4p2/5P2/5KP1/PP5P/8 w - a6,c7f7
r4r1k/1q2bpp1/p1bppn1p/4P3/Pp1B1P2/2NB2RQ/1PP3PP/5R1K b - -,d6e5
2bk1r2/1p5p/rNnpp1p1/p4p2/1bP2P2/1P3BP1/1P2PBKP/R2R4 w - -,b6a4
5k1Q/3r1qr1/1p1b1pR1/2p2P2/1p1p3R/1P1P2PP/5P1K/8 b - -,f7g8
r4k2/pb3ppp/1p1n1n2/3p4/3N4/4P3/PP1NBPPP/2rR2K1 w - -,d1c1
r1b2r1k/ppQ3b1/4p3/3pP1qp/4p3/1P2P2B/PB3PPP/2R2R1K b - -,g5h4
4b3/5pkp/1p4p1/p3q3/8/P4B1P/1P1Q1PP1/6K1 w - -,h3h4
3rrqk1/b1pb1pp1/p2p1nnp/1p6/3NP3/1BP3BP/PP1N1PP1/R2QR2K w - -,a2a4
4rbk1/3R3p/5pp1/1ppq4/8/1P3NBP/P4PP1/6K1 w - -,d7d5
r3r1k1/1p3ppp/2p1b3/1p4q1/4Pn2/1P1P3P/P1Q3PB/R4RK1 w - -,h2f4
4N3/8/p4kB1/3pr2P/1K6/6n1/8/8 b - -,f6g5
8/3n1k1p/2q1Npp1/3n4/2p5/8/Q4PPP/4R1K1 b - -,c6e6
3b4/2rk2p1/R2p1p1p/2pPpP2/1p2P3/1K1PB2P/1P4P1/8 b - -,d8e7
r5k1/p5pp/2pbp1r1/3n4/8/1PN1B3/P4PPP/2R2RK1 w - -,e3d2
3rqr2/5nbk/1pbp2p1/p1p2p1p/PNPPp3/1NR1P2P/1P3PPB/R2Q1BK1 b - -,a5b4
r6r/pp3pk1/3p4/2pp4/2PbPNb1/3B2R1/PP3RP1/6K1 b - -,h8h4
r3kb1r/ppqn1pp1/2p2n1p/4p3/4P1b1/1BN2N2/PPP1QPPP/R1BR2K1 w kq -,a2a3
5rk1/Q3ppbp/6p1/4q1P1/4B2P/1P3P2/P1P5/1K1R4 w - -,b1c1
2n5/5pb1/ppkp2pp/1P6/P1NP1B2/2PK4/5PPP/8 b - -,a6b5
3q1rk1/r3bppp/bp2pn2/p7/P2P1B2/2N3P1/1P3PBP/R1RQ2K1 b - -,a6c4
3r4/3r4/2p1p3/2P2kPp/1B1P4/P3K1PP/8/3R4 b - -,f5g5
r1b2rk1/pppnb1pp/3pp1q1/8/2PPR3/5NP1/PP3PBP/R1BQ2K1 w - -,d1e2
r1b1rnk1/pp2qpb1/2pR2pp/2P5/1PB1Pp2/P1N2N1P/2Q2PP1/5RK1 w - -,e4e5
8/7p/1bk2pp1/p1p5/2PpN3/3K3P/PP3PP1/8 b - -,b6d8
8/5r2/2ppnr2/p1p1p1kp/2P1P3/1P1P1PK1/P3N2R/5R2 w - -,g3g2
4r1k1/4qp2/4b1p1/p3p2p/1Pp1P2P/2P1PBP1/1P3Q2/3R2K1 b - -,a5b4
