8/4k1p1/2p5/pP1PKPPp/7P/8/P7/8 b - -,c6b5
r1bq1r2/p3ppkp/1pp3p1/2p1P3/3n4/2NP1N1P/PPPQ1PP1/R4RK1 w - -,f3d4
2r5/1pnbpqbk/3p1npp/3P1p2/1P6/1NNQ2P1/1B2PPBP/r2R2K1 w - -,b2a1
8/5B1k/p1p2P1r/P7/1p2NP2/8/1PP3K1/8 b - -,h6h4
4q1k1/2pr4/1pp2Q1p/p1n2Np1/P1P1P3/3P4/2P4P/5R1K w - -,f5h6
8/8/6kp/1p6/1P3R1P/1r6/6PK/8 w - -,g2g4
7k/6p1/p4p1p/4p3/p3P3/P6P/1Pr3P1/5R1K b - -,c2b2
2rq1rk1/5ppp/pn1bp3/2p1N3/1n2NB2/3P2P1/1P2PPKP/R2Q1R2 b - -,d6e5
1b5k/pp3qp1/2p4B/2P2b2/8/P1Qp2P1/1P3P1P/4R1K1 w - -,h6g7
2r4k/7p/8/p7/Pb4R1/3B1P2/5PKP/8 w - -,d3f5
3rr1k1/pppb1pb1/2n2qpp/4p2n/1P2P3/2P1BN1P/P1QN1PP1/3RRBK1 b - b3,a7a6
r5k1/p3qp2/2pr4/3pb1pp/8/1P1QP3/P3BPPP/2RR2K1 b - -,g5g4
r3rb2/ppqn1ppk/2p1bn1p/P3pN2/4P1P1/2N2Q1P/1PP2P2/R1B1RBK1 w - -,f3g3
r3k1nr/2qbbppp/p1np4/1pp1p3/2NPP3/2P2N2/PP3PPP/R1BQRBK1 w kq b6,c4e3
5r1k/2q3pp/5n2/3Qp1r1/1BPp1p2/3P2P1/4PPK1/4R2R w - -,d5d6
r3k1nr/pp1qppbp/3p2p1/2p5/3nPP2/3P1N2/PPP3PP/RNB1QRK1 w kq -,f3d4
3b4/2p4p/2k1p1p1/1p2P3/1Pp2PP1/2P1BK2/7P/8 b - -,c6d5
8/4bp1k/1R4p1/7p/5B1P/3p2P1/4rPK1/8 w - -,b6b7
rnr3k1/1bq1bppp/3pp3/pB2n3/P1PNP3/1N2BP2/5QPP/2RR2K1 b - -,b8d7
2r5/2qn1k2/p1r1p2p/1p1pPp2/2P2Q2/PP3P2/2R3KP/2R2B2 b - -,c7e5
r1bqr1k1/pp3pbp/1np2np1/2P5/3P4/6P1/PB1NNPBP/R2Q1RK1 b - -,b6a4
rn1q1rk1/3pbppp/p3p3/1p1BP3/3N4/P5P1/1PP2P1P/R1BQ1RK1 b - -,e6d5
2kr3r/p1qp1p2/Qpbbp3/5p1p/7P/4P1N1/PPP2PP1/R4RK1 b - -,c7b7
r3k2r/pp3pbp/2np2p1/5b2/4p3/1QP5/PP3PPP/R3KB1R w KQkq -,b3b7
5k2/2R1b3/2P5/5p2/3P2B1/3K4/8/5r2 w - f6,g4h5
3rr1k1/1bq2pp1/p4n2/1p1PpPQ1/8/bNN2B2/1PP4P/3R1R1K b - -,a3f8
r6r/3qnkbp/b2p1p2/1p1PpPp1/1Q2P1P1/1PN1B2P/P7/2R1RBK1 b - -,h8b8
r2r4/4k1p1/7p/p2p1QP1/4pP2/2P5/PP5P/6K1 b - -,h6g5
