8/pp4K1/1kp1PQ2/8/8/P5q1/8/8 w - -,g7f7
8/k5p1/p2r4/7p/NP6/3p2P1/1P4BP/2K5 b - -,d3d2
3rk2r/1p3ppp/p7/8/3nP1P1/2N4P/1P6/1K3B1R b k -,b7b5
rn3rk1/4p1b1/p1p1pnpp/1p2B3/3NP3/3q1NP1/PQ3P1P/R3K2R w KQ -,b2e2
2rr2k1/p3ppb1/1p4p1/2p4p/2R5/P2PB1P1/1P2PP1P/1R4K1 w - h6,b2b3
5nk1/4n1p1/1p1p3q/pPpPp3/P1P1B3/5NPP/4Q1K1/8 b - -,h6f6
1rb1rbk1/ppq2ppp/2pp1n2/P3n1B1/2BNPQ2/2N5/1PP2PPP/R3R1K1 w - -,c4b3
8/5pkp/3n2p1/2rP4/8/3BP1P1/P1R2P1P/6K1 b - -,c5d5
1r4k1/1B3ppb/4p2p/p3P3/3N1P2/3n2P1/P2b3P/5RBK w - -,b7f3
3r3k/1R2R3/1p1p2p1/p2P4/b1p2P1P/8/6P1/7K w - -,f4f5
8/PQ3pk1/7p/4p1p1/8/2K1q1PP/8/8 w - -,c3c4
rnb1kbnr/pp2pppp/2p5/3qP3/3p4/6N1/PPPP1PPP/RNBQKB1R w KQkq -,f2f4
r1r3k1/3q2bp/1p3pp1/p2Ppn2/1B6/1N3Q1P/PP3PP1/R2R2K1 w - a6,b4c3
8/2r5/2pp1k1p/p2p1pp1/1r3P2/1P1B2PP/P3NK2/2R5 b - -,d5d4
5r2/p7/1pp2Nkp/4P2R/2P5/3r1nP1/P6P/5R1K w - -,g3g4
r3k2r/ppbq1ppp/2pp1n2/4pPB1/5n2/1BPPN3/PP3PPP/R2Q1RK1 b kq -,f4d5
4rk2/4r1p1/3R1qp1/8/p5P1/Q4B2/5PK1/8 b - -,f6g5
rr4kb/2p1qp1p/3p1npP/pNnPp1B1/4P3/6N1/PP1Q1PP1/RB2K2R b KQ -,b8b5
r4k1r/3n4/bq2pb1p/p2p2P1/Pp1P4/3B1N2/1P2Q2P/R1B1K2R b KQ -,a6d3
kbRR4/1p5p/4q1p1/p7/4N3/P4P2/1P5P/1K6 b - -,e6h3
r1b2rnk/1p1q2b1/pB1p3p/P2Pnp1P/2N1P3/2P5/2QNB1P1/R4RK1 w - -,b6d4
6k1/p4rp1/4R1Qp/Pqbp1n2/2p5/2P4P/1P3PPB/R5K1 w - -,e6e2
r4rk1/pp1q2p1/2p4p/3pPb2/3PpP2/1Q5B/PP2P1KP/R4R2 b - -,a8e8
8/8/2k5/5K1p/7P/8/8/8 b - -,c6d6
1rn2rk1/1ppbqpp1/p2bp2p/2N5/2RP4/P4NP1/1PQ1PPBP/2R3K1 w - -,f3e5
rn4k1/5ppp/p2B1b2/1pp5/8/5P2/PPP3PP/2K2B1R b - -,c5c4
2r5/p2bkppp/1pn5/b3p3/8/3PBB2/P4PPP/1RR3K1 w - -,c1c4
r4rk1/6p1/3P1n1p/8/p7/4RN1P/6PB/7K w - -,e3a3
8/8/2P3pk/3K1p1p/7P/6q1/1Q6/8 b - -,g3f3
8/8/8/1P2n1p1/P2R2P1/1r2k3/2K1B3/8 b - -,b3b5
8/8/R3k3/1p3n2/1Bp5/P1P1P2r/5K2/8 b - -,e6d5
r1b2rk1/ppq1bppp/2p2n2/8/2B2P2/2N1P3/PP2Q1PP/R1B1R1K1 w - -,h2h3
r1bqkb1r/ppp1nppp/3p1n2/3Pp3/2P5/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,g7g6
1r4k1/3b2np/p2p1Ppb/2pP4/2n5/5p1P/P4PB1/R1QN1RK1 b - -,h6c1
5r2/pp2ppk1/4q1p1/3pP2p/2rP4/2P4R/P2Q1PPP/R5K1 w - h6,a1f1
6b1/p2k4/1p2r3/2p4R/5P1P/1P3PP1/P1P2K2/8 b - -,e6d6
8/p1rn1pk1/2p4p/2P1p1p1/2P3P1/P3BP1P/P3K3/1R6 b - -,d7f6
8/p4pkp/4p3/p3P1PP/5K2/P4RP1/4r3/8 w - -,f3e3:h5h6
1rbqk1nr/p3p1bp/2pp2p1/2p5/8/2NP2NP/PPP2PP1/R1BQR1K1 b k -,g8f6
2r3k1/5p2/2n1p3/4P1qp/2P1Q3/6P1/P4P2/1R2R1K1 w - -,e4f4
r4rk1/pppqppb1/6pn/4Pb1p/2P2P2/3pP1PP/PP3NB1/R1BQ1RK1 w - -,e3e4
r1bqk2r/pp2ppbp/6p1/2pn4/8/2N1P3/PP1PBPPP/R1BQ1RK1 w kq -,d1a4
3r2r1/1p4k1/8/3n1R2/p2B4/P7/BP6/K3R3 b - -,g7g6
6k1/3R3p/p5pn/1pbN4/8/1P6/P2RKrPP/8 w - -,e2e1
r1r3k1/5ppp/b3p3/p2nR3/PpB5/1P3P2/5BPP/2R3K1 b - -,c8c6
r2qkb1r/1p1bpppp/p2p1n2/6B1/3QP3/5N2/PPP2PPP/RN3RK1 b kq -,e7e6
6k1/1p3r1p/2p1n1p1/p2pP1qr/P2P1p2/1R3P1P/1P1QN1P1/R4K2 b - -,e6g7
4q2k/p2r2p1/3p3p/3R4/3Q3P/4rPB1/P5PK/8 b - -,e3e2
r2q1rk1/pp2bpp1/4pn1p/2pp1b2/3P1P2/1PP1P3/PB1NB1PP/2RQ1RK1 b - -,d8a5
1r3rk1/5bb1/p2p4/2p1pB1p/q1P4Q/6P1/P1R1PP2/2B2RK1 w - -,g3g4
4r1k1/pppb2bp/3p4/3P1Qp1/2P5/PP2P1P1/1B5P/5RK1 b - -,d7f5
r1bq1rk1/pppnbppp/4p3/3n4/3PP3/P1N5/1PQ1NPPP/R1B1KB1R b KQ -,d5c3
8/1QpknR2/4r2p/4p3/8/P2PP2q/1PPK4/5R2 b - -,d7d6
