8/5pk1/6pp/8/2RN1P2/4pKP1/3b3P/r7 w - -,d4c2
r5k1/2q2pbp/4b1p1/N1B1p3/1P1pPn2/3B2P1/P4P1P/R1Q3K1 w - -,g3f4
rnbqk1nr/pp1pppbp/6p1/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq -,e2e4
r2qk2r/pb1nbp1p/2p1p1pQ/1p1nP1N1/2pP4/2N3P1/PP3PBP/R1B2RK1 b kq -,e7f8
8/1R2b1k1/5pP1/p3r3/2Pp4/P7/2N2Q1K/2Bq4 b - -,d1c1
1r3rk1/4qn2/2p1bp2/p2Pp2p/B2P2pP/2P1Q3/1P1N2P1/2KR1R2 b - -,c6d5
r3k2r/1b2bppp/p2ppn2/1p6/4PP2/P1N1B1N1/1PP3PP/2KR3R w kq -,e3d4
7R/p7/4npk1/5N2/1p4P1/3r1K2/PP6/8 w - -,f3e4
2rr2k1/pb2qppp/1ppp1nn1/3Pp3/1PP1P3/P4B2/1B1Q1PPP/R2RN1K1 w - -,g2g3
3R1rk1/pp2qpp1/1np2np1/8/4P3/PQ2NPP1/1P2BK1P/2R5 b - -,f8d8
r1b2k1r/pp1ppq2/5pp1/7p/7P/2QBBP2/1R2K1P1/2R5 w - -,c3d4
1r3r2/3q1pk1/p5p1/3p3p/1PbQ3P/P5P1/5PB1/1R1K3R b - -,g7g8
4r3/1q1b1pkp/3R2p1/2Q1p3/1P6/2N2P2/1KP3PP/8 w - -,c3e4
r7/1p3k2/2p3p1/p2p1p1p/Pn1P1K1P/1P2P1P1/5P2/1BR5 b - -,f7f6
r2qkbnr/ppp2ppp/2n1p3/8/Q1pPP3/2N2P2/PP3P1P/R1B1KB1R b KQkq e3,a7a6
2R5/3P1p1p/p4k2/b5N1/6P1/r7/6KP/8 w - -,g5h7
r2q1rk1/1p3pbp/p2pbnp1/2p5/Pn2PP2/2N2N1P/1PP3P1/R1BQRBK1 w - -,f3g5
6k1/3r1p2/np2b2p/p1p5/6PB/P2rNPK1/1P6/2R1R3 b - -,d3b3
6k1/5p2/r2p1q1p/6p1/1p1bP3/6P1/3Q1PP1/2R1R1K1 w - -,c1c8
2k4r/1pp1b1pp/1B2q3/5p2/r3p3/P2P2PP/2P2PBK/R2Q1R2 b - -,e6b6
rnb2r1k/6pR/p1n1P3/1p1Q2P1/1P3P2/P3q3/2P1B1P1/3RK3 b - -,h8h7
r1q3k1/4bp1p/2b3pB/ppNrP3/6n1/P5QR/1PB2PPP/R5K1 w - -,c5d3
2b2b2/1p4kp/2pN2p1/4r3/PnP5/6PP/6B1/1R1R2K1 b - -,f8d6
2Q5/R1p1q2p/1p1p1n1k/3P1Bp1/1P2P3/5p1P/6PK/8 w - -,c8e6
r4rk1/ppq2ppp/2p5/3pnn2/8/2PN1P2/PPP2BPP/R2Q1RK1 b - -,e5c4
4nk2/5p1p/1N4p1/q1p5/8/4Pb2/2R3rP/2QR1K2 b - -,g2c2
8/p1N1k1pp/2b5/2p5/2P5/4K3/P1P3PP/8 w - -,g2g3
R7/3p4/2rk4/2p2p2/P1Bp4/1P1N4/3K1P1r/8 b - -,h2h1
4R3/8/1r5P/p5K1/8/1Pkp4/P7/8 b - -,b6b5
r4rk1/1b2q1pp/4p3/pp1p1p2/2pP2P1/2P1PP2/PP4RP/1BK1Q2R b - -,b5b4
r6r/4kp1p/p2n4/1p2p3/8/N1P5/PP1R2PP/5RK1 b - -,f7f5
