8/8/2k3rp/pp6/3K2P1/P3RP2/8/8 w - -,e3e5
r1bqk2r/1p1n1pb1/p2p2pp/2pP4/Pn2PP2/2N2N2/1P2B1PP/R1BQ1RK1 w kq -,c1e3
r1q1nrk1/pp3pbp/3p2p1/2pb4/2PnPP2/3PB2P/PP2N1BK/R2Q1R2 w - -,c4d5
3r1rk1/pp3p2/2pR2pp/4P2q/2P1P3/4Q3/PP3P2/R4K2 w - -,a1d1
2r1rnk1/8/R7/2p3B1/2p1bP2/4P1PP/P7/2R3K1 w - -,g3g4
7k/pp4p1/4q2p/3p4/2p1r3/P1Q2r2/1PP2PPP/5R1K w - -,c3f3
1br2rk1/pp1n1pp1/2p1qnp1/P3p3/1PN1P2P/4B1P1/2P1QPB1/R4RK1 b - h3,f8d8
r1q2rk1/1p3pp1/2p4p/p7/N2P3b/P2BP2b/1PQ2PPP/R4RK1 w - -,g2h3
r1b2rk1/pp1nqppp/2pbpn2/3p4/2PPP3/5NP1/PPQN1PBP/R1B2RK1 b - e3,d5e4
r1b2rk1/pp1n1pbp/1qn1p1p1/1B1pP3/Q2P4/5N2/PP1N1PPP/R1B1R1K1 b - -,a7a6
r4rk1/4Qpp1/2N1p2p/2Pp4/1R6/p2q3P/P4PP1/1R4K1 w - -,c6e5
rr4k1/1q2bppp/3p4/ppp1p3/4Nn2/PBPP1Q1P/1P3PPK/R3R3 b - -,d6d5
8/p7/1pp4P/6Pk/2P5/6R1/r7/4rRK1 b - -,a2a1
5nrk/p4p1n/1p2rN1Q/3pP3/3P2P1/q4P2/3R3P/5R1K b - -,g8g6
3R4/1p3p1k/7p/1P4p1/2N3P1/br5P/5PK1/8 w - -,d8d7
3r2n1/7k/1pp2p1P/p7/P6Q/5P2/1Pnqr1P1/6KR w - -,h1h3
Q1b3k1/p1q4p/1p4p1/5p2/6B1/P3P1P1/5P1P/6K1 w - f6,g4f3
8/8/p7/3b4/1k6/7p/3K3N/8 w - -,d2c2
r2q1rk1/ppp2pb1/n2p3p/3N1P2/2Pp2P1/8/PP2BPP1/R2Q1RK1 b - -,a6c5
3Q4/8/6p1/2p1p3/2P1k3/2K2q2/8/8 w - -,c3c2
8/2R5/5p2/3r3p/P5pP/1p4P1/5P2/1k3K2 w - -,f1e2
8/1r5p/3k2p1/8/6PP/2nN4/5B2/4KB2 w - -,f1g2
r2q1r2/pp1nppkp/1np3p1/3p1b2/2P5/1P1P1NP1/P2NPPBP/2RQ1RK1 w - -,f3h4
r2q1rk1/pp3pbp/2npb1p1/2p5/2P1N3/4P2P/PP2BPP1/R1BQ1RK1 b - -,d8h4
8/p3k3/1p3pp1/2P5/1P2r1P1/1PR5/2K5/8 w - -,c5b6
Q7/5pk1/4pbpp/1P6/3r3P/P1p2PP1/8/2K5 b - -,d4d2
r1bq1rk1/2p1bppp/p2p1n2/np2p3/4P3/2PP1N1P/PPB2PP1/RNBQ1RK1 b - -,c7c5
8/3p4/p2kp3/1p5p/2p3r1/2P2K2/PPP3p1/4R1B1 w - -,g1h2
3rr1k1/5pqp/p5p1/1pNP4/1n6/5B2/1B4PP/R2Q1R1K b - -,g7b2
2rq1rk1/p2nbppp/bpp1p3/3p3n/2PP1B2/1PN2NP1/P1Q1PPBP/R2R2K1 w - -,f4c1
1qr2rk1/4ppbp/bp1p2p1/p1n1P3/P1PN1P2/1P2BB2/3R2PP/1R1Q2K1 b - -,d6e5
r3kb1r/pp3ppp/1nn1b3/q2p4/2pP4/P1P2N2/BP1NQPPP/R1B1K2R w KQkq -,f3g5
rnbqk1nr/pp1p1ppp/2p5/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5a4
8/5p1p/4pkn1/3p4/3P4/2P2PKP/2RB4/r7 b - -,f6f5
3rk2r/pp4p1/1qp1Pn2/4B2p/6n1/6P1/PP2Q1BP/R4R1K b k -,h5h4
8/1KP5/8/8/4k1b1/6P1/8/8 b - -,e4f3
R7/8/8/8/4p1r1/1k4p1/6K1/8 b - -,b3c3
1r6/3k4/1p1pp2r/p7/2PPR2p/7P/P5P1/1R4K1 w - -,a2a4
r2q1rk1/pb2bpp1/1p1p1nnp/2pP1NB1/8/2N3P1/PP2PPBP/R2Q1RK1 w - -,g5d2
r1bqr1k1/p4p1p/2p2Pp1/2pp1P2/7Q/2NP4/PPP3NP/R4R1K b - -,e8e5
3rn2k/1pqbb1p1/p4r1p/3BPp1Q/P7/4B2R/1PP3PP/R6K w - -,e5f6
rn1q1rk1/ppp1ppbp/6p1/3n4/3P2b1/1BP2N2/PP2QPPP/RNB2RK1 b - -,b8c6
