8/5k2/4p3/3bPp1p/1p6/4K1PP/PR6/8 b - -,h5h4
3r2k1/5p1p/2p1p1p1/1q1rP3/p2P3P/P3Q3/1P1R2P1/2R4K b - -,h7h5
6k1/3q1ppp/p3p3/2bp4/5N2/1P1QP3/P4PPP/6K1 b - -,d7b7
1rb2r1k/p1q3p1/2P4p/1pRQpp1n/3p4/1N3NP1/P3PP1P/R5K1 b - -,f8e8
rn3rk1/p3qpp1/b3pn1p/2p1N3/Q6B/P7/1P2PPPP/2R1KB1R b K -,f8d8
3r1rk1/ppb2pp1/2p2qnp/4pN2/2B1P1n1/2P2NPb/PP1BQP1P/R2R2K1 b - -,c7b6
r1bqk2r/pp1nbppp/2pp1n2/4p3/2PPP3/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
2q1rbk1/2Bb1p1p/p4np1/3P4/3N4/5N1P/2Q2PP1/3R2K1 w - -,d5d6
4k2r/1b2qpb1/ppn1p1pp/2p1n3/P3PB1P/6P1/1PP1NPB1/1NQR2K1 b k -,f7f6
r1b1k2r/pp2qppp/2p2n2/2nP4/5P2/2N5/PPPQ2PP/R2K1B1R w kq -,f1c4
6R1/3k4/1p1p4/1P1Pb1p1/2pp4/3P4/8/2K5 w - -,d3c4
3r1rk1/1p1nqp1p/4b1p1/2Pp4/1P1P4/4RB2/1Q3PPP/4R2K w - -,f3d5
5R1k/1pp3qp/3pQ3/3P2n1/1P6/6PB/5P2/7K b - -,g7f8
2rrbk2/pp2npq1/2p1p1p1/4N2p/3P1P2/2PR3P/PPB2QP1/5RK1 b - -,b7b6
r2qkb1r/pp1npppp/2p2n2/3p3b/8/3P1NPP/PPPNPPB1/R1BQ1RK1 b kq -,e7e6
3r1rk1/p4p1p/2npb1p1/1pp1n3/2P1N2N/1PQ1q1PP/P5B1/R6K w - -,c3e3
3r2k1/pqn2ppp/1p2p3/4P3/1P6/6P1/PB2QP1P/2R3K1 w - -,b4b5
5k2/3bppb1/pq1p2p1/n1pP2Bp/1rP1P3/P5P1/1nQN1P1P/1R1N1BK1 b - -,d7a4
r2q1rk1/p4pbp/1pb2np1/3p4/8/P1N3P1/1P2PPBP/R1BQ1RK1 w - -,c1g5
1r3rk1/1bqn1pbp/3p2p1/np2P3/1NpPP3/2P1BB1P/1P1N2P1/2RQ1RK1 b - -,d6e5
3r2k1/pb1q1pp1/1p2p1np/8/1P2P2P/P3QNP1/5PK1/1BR5 w - -,h4h5
3q1rk1/rbp1bppp/p1n1pn2/1p6/3P4/4PNP1/PPQB1PBP/RN3RK1 w - -,f3e1
1r6/2b3k1/1p3n1p/2p1pB2/P3P1p1/3P2P1/3B1P2/1R3K2 w - -,f1e2
8/p3r3/2B2kpp/3P1p2/5r1P/5N2/PP3K2/4R3 w - -,d5d6
1q1r2k1/p4p2/1bp3p1/8/2B1Qn2/P1N5/1P3BPP/5RK1 w - -,f2b6
1nr2rk1/pb3ppp/1p1ppq2/1B6/P2PP3/1PB1QPP1/7P/2RR2K1 b - -,b7a6
3r2k1/ppp2p2/2n2np1/3p1q2/3P1N1p/P1N1RP2/1PPQ2PP/6K1 b - -,g8g7
7k/5pq1/pp3b1n/3Q4/3P4/8/PP2PPB1/3R2K1 w - -,d1d3
1n2k3/2b2p2/ppN1p3/3p1p1p/PP1P3P/2K1PPP1/4N3/8 w - -,c6a7
