8/8/pp4pk/8/4nN1P/1P6/P2K1P2/3B1b2 w - -,d2e1
2bRrr2/1p4pk/2p2p1p/p1n5/P3P1P1/1P2P1KP/2P2NB1/3R4 w - -,d8e8
3r2k1/3rbp2/4q1p1/1pppP2p/p4P1P/2P3P1/PP1R1Q1K/2NR4 w - b6,f2e2
r4rkb/pp3p1p/1q1p1Pp1/3P2B1/2Pp2n1/3B4/PP1Q2PP/R4RK1 w - -,f1f4
r2q1rk1/pp1b1pbp/1nn1p1p1/3pN3/3P1P2/1PN1B1P1/P3P1BP/R2Q1RK1 w - -,a1c1
rr4k1/4ppbp/b2p2p1/3P4/PP6/3p2PP/3Bq1BK/1RQ2R2 w - -,f1e1
r5k1/2p2rpp/1pPpb3/p7/2P1pP2/2B1P1R1/P5PP/2R3K1 b - -,g7g6
4k2r/1pqbbpp1/p2ppn2/7p/P1r1PP2/2N1B1P1/1PP1Q1BP/R4R1K b k -,f6g4
kbr5/pp6/4Q1q1/8/P3R1p1/2B5/KP4P1/8 b - -,g6e6
r2qr1k1/pb1n1pbp/1pp1pnp1/3p4/2PP4/1PN1PNP1/PB3PBP/R2QR1K1 w - -,c4d5
8/8/8/3N2p1/8/5k2/r7/6K1 w - g6,d5e7
8/1p3k2/2pr2p1/p1R4p/P2pB2P/1K1P4/4PP2/4b3 w - -,f2f4
1k1r3r/pp3p2/3pb1p1/6Pp/4NPn1/2R2BK1/PP2P2P/7R b - -,d6d5
8/8/R4P2/2kNp3/3bP2P/3K4/p6r/8 b - -,a2a1q
r1r2bk1/1bqn1p1p/p2p1np1/1p1Pp3/4P3/1P1BBNNP/P4PP1/R2QR1K1 w - -,f3d2
4r1k1/1p4p1/p1pp3n/5b1p/4P1p1/1P5P/PBPPRNP1/6K1 w - -,e2e3
2r2rk1/p2bpp1p/6p1/q2n4/P7/N3BNP1/2p1QPBP/R5K1 w - -,a3c2
r2q1rk1/ppn1bpp1/7p/3pPN2/3p2P1/7P/PPQ2PK1/R1B1R3 w - -,f5d4
8/7p/3k2p1/3p2P1/3Kb2P/4P3/8/3B4 b - -,d6e6
