8/8/8/2k5/6K1/6P1/8/8 b - -,c5d5
r3k2r/pp2pp1p/2npbnp1/q7/2P1P3/2P2P2/P1N1B1PP/R1BQK2R w KQkq -,c1d2
2r2rk1/1b2qp1p/pp4p1/3p4/8/1P2P3/Pb1RBPPP/2RQ2K1 w - -,d2b2
5nr1/pp2rpb1/2pk2p1/3p2P1/3P1N2/4PR1B/PP1K1P2/7R b - -,g8h8
r1br2k1/pp2qp1p/2p3pB/4b3/2n1P3/2N3P1/PPQ2PBP/3R1RK1 b - -,c8g4
6k1/pb3ppp/1p2p3/1P1r4/P1r2Pn1/5NP1/1B3K1P/R3N3 w - -,f2g1
r2qk2r/1p1nppb1/p2p2pp/2pP1b2/2P1nB2/2N1PN1P/PP2BPP1/R2Q1RK1 w kq -,c3e4
3k4/3P3R/p7/1p1p1Pp1/8/4rP2/PPP5/6K1 w - -,f5f6
2rq1rk1/1b1n1p1p/5np1/p1pp4/8/1PN1PN2/P3BPPP/2RQ1RK1 b - -,d8e7
r2r4/p3bnkp/p4pp1/4p3/1P2P3/2Pp1NN1/1P1P1PPP/2B2RK1 w - -,f1e1
r3kb1r/pp3ppp/1qn1p3/2ppPn2/3P4/2PQBN2/PPN2PPP/R4RK1 b kq -,c5c4
2rq1rk1/1b1nb2p/pp1pp1p1/5pP1/P3PP2/2NBBQn1/1PP2R1P/R5K1 w - -,f3g3
6r1/ppp1kppp/1bp1N3/4P2N/8/1P3P2/P1P1R1PP/B2n3K b - -,f7e6
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N3P1/PPPP1PBP/R1BQK1NR b KQkq -,f8e7:d7d6:f8c5
r2q1rk1/pp1n1ppp/5n2/2bPpb2/2B5/2N1P3/PP3PPP/RNBQ1RK1 b - -,e5e4
6k1/p2r1p1p/1p2b1p1/8/4PP2/2PB4/4K1PP/R7 b - -,d7c7
r1b2r2/2q1ppk1/1npp1np1/pp4Np/3PP2P/P1N5/1PPQBPP1/R3K1R1 w Q a6,c3d1
r1bq1k2/ppppnBp1/2n4p/2b4Q/3pP3/8/PPP2PPP/RNB2RK1 w - -,f7b3
8/7k/6Rp/2n1N1p1/4P3/4KPPP/r7/8 w - -,g6c6
6k1/pp3pp1/1b5p/1P6/4nN2/4P1B1/3r1PPP/R4K2 b - -,e4c3
r2r4/4bbkp/p1pp1p2/q3p1p1/N3P3/1P2R3/PBP1QPPP/3R2K1 w - -,h2h4
5rk1/q6p/p2np1pQ/8/7R/2Bp3P/P5PK/8 w - -,h6d2
r3r1k1/5p1p/6p1/3Pn3/1Q1BPb1q/1P3P2/6PP/R2R3K w - -,d4g1
8/5ppk/6n1/1p1q4/1P5p/P1Qr3P/6PB/6RK w - -,c3c5
7r/8/p1bpk2p/5pp1/P2R3P/4N3/1PPK4/8 w - -,h4g5
1r2k2r/2qb1p2/2p2npp/4p3/2BpP3/bP4NP/P1PBQPP1/R3R1K1 w k -,e2f3
2kr3r/pp1q1p2/2np1b1p/4PP2/6p1/8/PPN1QPPP/R1BR2K1 b - -,f6e5
bqr1nrk1/n3bppp/4p3/1pPp4/pP1N4/3PP3/1B1NBPPP/QRR3K1 w - -,f2f4
1k6/2p1q3/1n5R/6pp/p7/6P1/6BP/5R1K w - -,h6h5
r1bq1rk1/5ppp/p2p1n2/1P2n3/4P3/2N5/1PQ2PPP/R1B2RK1 w - -,g1h1
q2rn1k1/2b3p1/b1p2p2/2Ppp2p/1P5P/4PN2/1Q3PP1/BN2K2R w K -,b1a3
r4rk1/pp1qbppp/2n1bn2/3p4/3PpN2/PQN1P3/1P1BBPPP/R3K2R w KQ -,a1c1
r1b1k2r/1pqp1ppp/p3pn2/8/1bBNPP2/2N1B3/PPPQ2PP/R4RK1 b kq -,c7c4
8/k1p3p1/2P2p1p/1N6/p7/P2P2Pn/5P2/4K3 b - -,a7b6
8/3R3p/6p1/r2b1p2/3k1P2/1B2p1P1/7P/4K3 w - -,e1e2
2rq1rk1/pp2bppp/4pn2/3pBb2/3P4/2N1P3/PP2BPPP/2RQ1RK1 b - -,a7a6
r1bqr1k1/pp1p1ppp/2p2n2/4p3/1bP5/2NP2P1/PP1BPPBP/R2Q1RK1 b - -,h7h6
rn2k2r/pp2ppbp/1q3np1/3p1b2/2pP1B2/2P1P3/PP1N1PPP/R1Q1KBNR w KQkq -,g1f3
8/1r6/4k1p1/4Pp1p/5P1K/1p2P3/1R6/8 w - -,h4g5
3r4/pp2kp2/2p4p/4n1bB/N3P3/1P6/P1P1K1PP/3R4 b - -,d8g8
r3k2r/1pp2p2/pb1p4/5P1p/3P1ppP/1BP5/PP3PK1/R2R1N2 w kq -,d1e1
r2r2k1/pp3ppp/2n1b3/5q2/3p4/1P4PP/P2QPPB1/R2RN1K1 b - -,e6d5
3rk2r/ppq1bppp/2p1p3/3n4/2NP4/2PQ4/PP3PPP/R1B1R1K1 b k -,e8g8
2r2rk1/5ppp/p4qn1/1ppb4/1P2P3/7P/P1Q1BPP1/R2R2K1 w - -,e4d5
2r5/2r2k2/8/N5pp/PPpp4/5nP1/5P2/2RR1K2 w - -,b4b5
1r4k1/5p1p/2Q1pqp1/1P6/3b4/6P1/R3PPKP/2R5 b - -,f6f2
r1b1kb1r/1p3ppp/pqnppn2/8/4PP2/1NNB4/PPP1Q1PP/R1B1K2R b KQkq -,f8e7
4r1k1/p4rpp/1pp5/3P4/5n2/b5NP/3R1BP1/5RK1 b - -,f4d5
4r1k1/p4p2/bpp1r1q1/3p2pp/2nPP1P1/P1P2PBP/5QB1/R3R1K1 w - h6,a3a4
8/8/5rk1/5p2/3Qp3/5rP1/1PK2P2/8 w - -,b2b4
1r1q1r2/5pbk/3p2pp/p1pBp3/1nP5/1P1PP1P1/1B1Q1P1P/1R3RK1 w - -,d5g2
5rk1/2r1ppbp/1p1p2p1/pPn5/2P1PP2/1P2B3/4B1PP/2R2RK1 w - -,e3c5
1r1q2k1/3b1n2/R2p1b1p/3P1p2/1NP2B2/7P/3Q1NP1/6K1 b - -,f7e5
rn1qkb1r/pb2npp1/1p2p2p/2p1P3/3p4/3P1NP1/PPP1QPBP/RNB2RK1 w kq -,h2h4
rn1qkb1r/1bp1pppp/8/1p2P3/2pP4/2P2N2/5PPP/R1BQKB1R w KQkq -,a1a8
