8/8/3q2pk/5p2/2Br4/1P1N1Q1P/6PK/8 w - -,f3g3
r3r1k1/p4ppp/2B5/B1P5/6b1/3n2K1/P6P/R7 b - -,e8e3
7k/6bP/6P1/p2q4/P3p3/1P2B1R1/3R3K/8 b - -,d5a8
2k5/2p5/2p5/4p1b1/p1p1P3/P1P5/1P1KR3/4N2r w - -,d2c2
r1b2rk1/1p1nqpp1/2p1pn1p/p7/PbpPPB2/2N2NP1/1PQ2PBP/R2R2K1 b - -,b7b6
6k1/6q1/p3pR1p/1p1pP1nK/2pP1QP1/2P5/Pn5N/8 b - -,b2d3
r1b1k1nr/pp1pppbp/1qn3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R b KQkq -,b6d8:b6c7
3q2k1/p1r1np2/1pp1p1pp/8/1P1rBP2/P1R2QP1/5P1P/2R3K1 w - -,e4c6
2R5/1pR4p/r2p1knb/pN1Pp3/P3PN1q/4B1p1/1P2B1P1/6K1 b - -,h6f4
r3rbk1/p1q2pp1/2b2n1p/1p2p3/2p1P2N/1BP3NP/PP2QPP1/R3R1K1 w - -,b3c2
8/p1Q3kp/6p1/8/8/1P2P1P1/P4PPK/3q4 b - -,g7g8
rn1qr1k1/1b3pb1/p2p1Bpp/1Pp5/P3P3/N2B1N1P/1PQ2PP1/R4RK1 b - -,d8f6
8/1R4p1/5bk1/pP3r2/3p1Bp1/P2K2P1/5P1P/8 b - -,f5c5
2k5/4Q1p1/p1p2p2/B2p4/3P3p/8/PPP2P2/2K3q1 w - -,c1d2
r4rk1/2q2pp1/2p4p/4R1nP/p1B2Q2/1P6/P5P1/5R1K w - -,f4e3
rn2r1k1/p2q1pb1/1pp3pp/3p4/3P1N2/1B2P1Q1/PP3PPP/2R2RK1 w - -,c1c3
r1bq1rk1/1p3pbn/p2p4/2pPn1p1/P3P2p/2N1BP1P/1P2BNP1/R2Q1RK1 b - -,d8f6
3rrk2/2q2ppQ/pp1p1b1p/3PpB2/2P1R3/1P6/P4PPP/3R2K1 b - -,f8e7
2rrb1k1/4ppbp/nq4p1/pppPP3/8/PP1PNNPB/2Q2P1P/1R2R1K1 b - -,c8b8
2r3k1/1b1n1p2/pn4p1/1pq4p/3Np3/1P2N2P/PQ2BPP1/3R2K1 w - -,a2a4
3r4/p4k1p/1p1q2p1/2nP1p2/4pN1P/2Q3P1/P2R1P2/6K1 w - -,f4e6
5rk1/pp4rp/2p1qp2/8/3pPQbR/1P1P2N1/P1P3P1/2K2R2 b - -,b7b6
r4r2/8/2ppbkp1/p3p3/4P2R/2pP4/PPP1B1K1/R7 w - -,b2c3
2r1r1k1/3b1pbp/pqnp1np1/1p2p3/3PP3/1P3NNP/PBB2PP1/R2QR1K1 w - -,d1d2
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq d6,e2e3:c1f4:g2g3:c2c4:c2c3
r1b3k1/ppb4B/4p3/3p4/8/5rB1/PP3P1P/R4RK1 b - -,g8h7
r4nk1/1R1b2p1/r4p2/p1pPp3/2P1P2P/2B3P1/6B1/R5K1 w - -,b7c7
2Nr2k1/pp2bpp1/6q1/4P2p/1p1Q2b1/1P3N2/R1PP2P1/2K2R2 b - -,g4c8
2r1kb1r/3b1p1p/p1n1p2p/qpNpP3/3P4/PQ3N2/4BPPP/2R2RK1 b k -,c6d4
r1b2rk1/pp1qppbp/6p1/8/3P4/6P1/PP3PBP/R1BQ1RK1 w - -,c1e3
