8/6k1/1N6/8/3R2pP/2p1P1P1/5K2/2r5 w - -,d4g4
2r3k1/2q2p1p/3pb1p1/4p3/1p2P2P/1P1R1PN1/r1PQ2P1/3K3R b - -,a2c2
r3k2r/3p1pp1/1pbq1n2/p3pP1p/2P1P3/P1NBb2P/1P2Q1P1/2RR2K1 w kq -,e2e3
1r1n2k1/2pbrpp1/1b4qp/1p1Bp2n/1P2P3/2P2N1P/Q4PPK/R1BR1N2 w - -,f1g3
r2qkbnr/pp3ppp/2n5/2P1p3/1PP5/P3P3/4NPPP/RNBQK2R b KQkq -,d8d1
3r4/7k/p5p1/5p1p/2N5/1Pbp1P1P/P5P1/3R1K2 w - -,d1c1
2r1q3/p1r2k2/2PRp3/1Q2Pp2/P5pp/6P1/5P2/2R3K1 b - -,h4h3
8/4R3/4p3/4k3/5nK1/3B4/4P3/3r4 b - -,f4d3
2r3k1/pp3ppp/3qpn2/3p4/PPrP3N/2PQPPP1/7P/R1R3K1 b - -,d6c7
1k6/8/1NK5/pP6/P7/6b1/8/8 b - -,g3e1
3r2k1/pb1r2b1/1p3p1p/2p1p1pn/P1N1P3/2P2NBP/1P3PP1/R3R1K1 w - -,g3h2
r2q1rk1/1p2bppp/p1n5/3pP3/2pP2b1/2P2N2/PB1QBPPP/R4RK1 b - -,b7b5
5b2/p4R2/8/6pP/4k3/2P4P/r7/6K1 w - -,f7f8
8/8/K6Q/8/3q4/6p1/6k1/8 b - -,g2f2
r4rk1/1b1nb1p1/p3p3/4Pp1B/1p3P1q/7P/PP1BQN1K/R4R2 b - -,a6a5
rn1q1rk1/ppp1bppp/5n2/3p2B1/3P2b1/2N1P3/PPQ2PPP/R3KBNR w KQ -,f1d3
2r2rk1/pb1q2pp/1pn1pb2/5p1Q/2NP4/1P4P1/PB3PBP/R4RK1 w - -,a1d1
1r4k1/7p/R7/p1pPp2P/P7/1P6/2B3r1/1R3K2 w - -,c2e4
rn3rk1/pb2qpbp/1ppp1np1/4p3/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 w - -,h2h3
