8/5pkp/6p1/4P3/r7/p3K1PP/R7/8 b - -,g7f8
4r1k1/4pp1p/p2p2p1/qp6/2r1P3/2PQ4/PP3PPP/R3R1K1 b - -,e8c8
4r3/1pnr1kbp/p1p2pp1/2Pp4/3P4/1PP3P1/2R2PBP/3RBK2 w - -,c2e2
2b2rk1/pr3ppp/4n3/2p1Q1q1/2PpR3/1P1B2NP/P4PP1/3R2K1 w - -,e5g5
rnbqkb1r/ppp1pppp/5n2/8/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,g7g6:e7e6:c8f5
r1r3k1/1p2b1p1/p2ppn1p/4p3/2P1P3/BP3N2/P4PPP/R3R1K1 b - -,f6d7
r1b1r1k1/1p3p1p/2pb2pn/3p2q1/NP1P4/3NP2P/2Q1BPP1/RR5K b - -,h6f5
6k1/8/3p2P1/6P1/2P2Q1P/1P3RK1/r7/4q3 w - -,g3g4
3Q4/5p1k/p1q3p1/8/3B4/6K1/8/8 b - -,g6g5
6B1/8/1pp5/p1k3n1/2N5/1P3n2/PK6/8 w - -,b2c3
r1bq1rk1/pp3ppp/3bpn2/3pN3/1n1P4/1P6/PBP1BPPP/RN1Q1RK1 b - -,d8c7
2bq2k1/p5pp/1nn1pp2/2B4Q/2BPN3/1P6/5PPP/6K1 w - -,e4d6
2R5/pq3nkp/3pp3/3p2p1/1P1Pp3/4P1P1/3N1P1P/2R3K1 w - -,c1c7
r1b4r/pp3Q1p/3Np1pk/8/8/2bRq3/PPP3PP/1K5R b - -,e3e5
r1bqkb1r/p2n1ppp/2n1p3/1pppP3/5P2/3P1NP1/PPP3BP/RNBQ1RK1 b kq -,d8b6
1r3r1k/4N1bp/pqbPQ1p1/1pp2p2/2n2B2/1N4PP/PP6/3RR1K1 b - -,c6e4
r7/pp1b3p/2p2kp1/4N3/8/1B2N2P/PP3PP1/6K1 w - -,e5d7
4r3/ppQ2kpp/3P4/4qp2/8/6P1/PP3P1P/R5K1 b - -,f7f8
r2q1rk1/ppp1bppp/2n1b3/8/1n1p4/1PN1PB2/PB2NPPP/R2QK2R w KQ -,e3d4
3r1rk1/2q2pbp/6p1/p7/P7/1NP2Q1P/5PP1/RR4K1 w - -,b1c1
r4Q2/pb2rp1k/1p3qp1/2p4p/2B4P/P1R1P3/1P3PP1/3R2K1 w - -,d1d8
4r1k1/2bq1npp/2p2p2/p1Pp4/3P1PP1/P1Q4P/2K1RN2/2B2R2 b - -,e8e2
1r6/8/5R2/K5pk/8/8/8/8 w - -,f6f7
3rr1k1/1bq2pbp/p2p2pN/1p2n2n/2pNP3/P1P1BP1P/1PBQ2P1/R4RK1 b - -,g8h8
1rb1rqk1/2n2pbp/3p1np1/1ppP4/4P3/1PN2B1P/1BQN1PP1/1R2R1K1 b - -,b5b4
r5k1/3q1pbp/3p2p1/1ppP1b2/5P2/1P1r1B1P/4Q1PN/2R1R2K b - -,d3b3
2rq3k/pp1bbrpp/2n1p3/3p1n1P/3P1B2/P1NBPP2/1PQ1N3/2KR2R1 w - -,c1b1
1r4k1/r1qnppb1/P2p2pp/2pP4/1nN1P3/R1N3P1/1P2QPKP/R1B5 w - -,a3a5
2krr3/pq3pb1/5n1p/5Pp1/1p1p4/5NQ1/PPP3PP/1KNR1R2 w - -,c1b3
3rrbk1/1p3p2/1n4p1/1P3N2/4P3/3Q3P/1B6/2R3RK b - -,d8d3
4R3/p5pk/5r1p/1Pq5/8/P5QP/1P4PK/8 w - -,a3a4
4rrk1/2bqn1B1/1pn2p2/p1p4N/2PpN3/PP1P2P1/5PBP/R2bR1K1 w - -,e4f6
8/8/1p3kR1/2pP1p1P/6p1/1p3r2/1P4K1/8 b - -,f6f7
8/6k1/8/1nbBP1B1/1p1p4/3P4/2P3K1/8 b - -,g7g6
r3k2r/pp2bppp/2n1p3/q6b/3P4/PQn1BN1P/1P2BPP1/R4RK1 w kq -,b2c3
2br2kb/p1q1pp1p/2np1npB/6Q1/4P3/P1NB1N1P/1r3PP1/2R1R1K1 b - -,c7a5
