8/6kp/1n3R2/3PppB1/1r6/7P/5PPK/8 w - -,f6f5
r1r3k1/2q2pp1/2b1p2p/p7/2PQ4/4P1P1/4BP1P/RR4K1 b - -,a5a4
1r4k1/ppnrqp1p/2p1p1p1/2P1P1N1/3PQ2P/1R6/P4PP1/5RK1 b - -,e7d8
R7/5pkp/6p1/8/1p6/1Pb1P1PP/P4P2/2r2BK1 w - -,a8a7
2r5/4k2p/8/4PP2/1pP3p1/1P4P1/5KBr/7R b - -,h2h1
4rr2/1p1q2k1/2p2n1p/3p1p2/5Q2/1BP3P1/PP3P1P/3RR1K1 b - -,e8e4
r1b1k2r/ppp1q1pp/2n2n2/4pp2/4P3/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,e8g8
8/8/3b3R/4kP2/5r2/4NK2/3p1P1P/8 w - -,f3g3
r2q1rk1/pp3ppp/2n1bn2/2bp4/1P6/P1NBP1N1/5PPP/R1BQ1RK1 b - b3,c5d6
3r1r2/1k5p/p2p4/1p1nnp2/1P5P/3B1PP1/1R1B1K2/7R w - -,d3e2
1r1k1b1r/1p3pp1/p2pb2p/3N4/2B1Pp2/8/PPP3PP/R3K2R w KQ -,e1c1
r3r1k1/5ppn/pq1p3p/1pbP1P2/2p1P3/5P2/PP2B2P/R1B1QR1K b - -,c5e3
r6k/1ppbqp1p/p2p4/3Pp3/2B1PP2/4Q1r1/PP4PP/5RK1 w - -,e3g3
7k/8/4R1p1/p7/5P2/r7/7P/7K b - -,h8g7
8/pp2q1k1/6n1/2pPp2p/4Pp2/5P1P/PP3Q1K/5B2 b - -,e7g5
8/ppQ2pkp/8/4r1p1/4n3/4P3/PP3P1q/2R1KR2 w - -,c1c2
r1bqkbnr/pp3p1p/2n1p1p1/3pP3/3p2Q1/3B1N2/PPP2PPP/RNB1K2R w KQkq -,e1g1
8/8/pp3ppp/3k4/P2P4/3K1PP1/1P5P/8 b - -,d5d6
r4rk1/pp2q1pp/2ppbn2/2P2p2/PPnPp3/4P1P1/1BQ1NPBP/R1R3K1 b - a3,a7a6
