8/2k5/KR6/8/1P6/8/8/7r b - -,h1a1
8/8/5Bp1/1R6/3P1k2/5n1r/1P6/2K5 w - -,d4d5
3rr3/pkn1b1pp/1ppn1p2/4pP2/P3P3/1BPNBP1P/1PK3R1/3R4 b - -,e7f8
r3r1k1/1bqn1pbp/p1p2np1/1p1pP3/P3P3/1PPB1NNP/1B3PP1/R2QR1K1 b - -,d7e5
rn1qr1k1/pbp1bppp/1p3n2/3p4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,a7a6
3rn1k1/r3bppp/p1q5/P1p1Pp2/1pP5/3BB3/2P1Q1PP/R4R1K w - -,f1f5
bq4k1/5pp1/3Np2p/p2nP3/3Q4/P7/1P1B1PPP/2r3K1 w - -,d2c1
r1bqr1k1/1pp1ppbp/1nn3p1/p7/3P4/2N1PNP1/PP3PBP/R1BQR1K1 w - a6,d1e2:f3h4:d1c2:d4d5:b2b3
7r/1pkb1p2/3ppp1r/p4P1p/P1P1P2R/1P2K1P1/4BR1P/8 w - -,e3d4
b3k1r1/3pb3/2n1pBp1/1qp5/4N3/3P2PP/1PP1Q1B1/5RK1 b - -,g8f8
r4rk1/pb1n1p2/1pp1p1pp/q2nP3/P2PQ2B/5N2/5PPP/1BR2RK1 b - -,c6c5
6k1/3R2p1/5p2/3bp2P/6P1/R5K1/8/6r1 w - -,g3f2
r5k1/p1rn2pp/1n3p2/NRp1p3/2P1P3/4B1P1/P4P1P/3R2K1 b - -,g8f7
2rr1bk1/pb1p1ppp/1p2p3/n7/2PN4/P1N3P1/1P2PPBP/2RR2K1 b - -,b7g2
8/4kpp1/pr1pbn2/2r4p/1p1NP2P/1P3P2/P2R1KP1/1B2R3 w - -,d2c2
r1b2rk1/pp2qppp/2nbpn2/2pp4/5P2/PP1BPN2/1BPP2PP/RN2QRK1 b - -,e6e5
1r3k2/b4p2/4p1p1/P5Pp/3pKP1P/3B4/2P5/R7 w - -,a1a4
1r2rbk1/p1p2pp1/3q3p/4N3/3p1P2/P2P1Q2/1P4PP/4RRK1 w - -,e1e2
r3r1k1/ppp2ppp/3p1q2/4B3/1PP3b1/P3PN2/4QPPP/R4RK1 b - -,d6e5
1r4k1/R3bpp1/2p3bp/3p4/3P2P1/4PB2/4NP1P/1rR3K1 b - -,b1c1
k3r1r1/1p2P2p/p7/2QP2p1/P3P3/4B3/1q4PP/2R4K b - -,b7b6
8/pp2kpp1/6p1/2r1n3/2n1P1P1/P1N4P/BP6/K2R4 w - -,c3d5
3b4/1p1K4/p1pB4/P1P5/1P6/5k1p/8/8 b - -,d8h4
r2qr1k1/1pp2pb1/3p2p1/1P5p/2P1N1n1/3PPQP1/5P1P/1RB2RK1 b - -,g4e5
r1bq1r1k/4b1pp/1pp1p3/3p4/2nPPB2/1QN3P1/PP2B2P/R4RK1 b - -,c8a6
r4rk1/1pq1ppbp/p5p1/8/Q2pb1n1/5NN1/PP1B1PPP/R3K2R w KQ -,g3e4
8/6p1/5k1n/1p2p2P/1P2P3/5K2/3B4/8 b - -,h6f7
r1b2rkq/p4p1p/4p1p1/3n4/PQ6/3B1N2/2P2PPP/1R3RK1 w - -,b4d6
8/2p1k3/pp1bP1p1/3P3p/2PB4/3K2P1/PP5P/8 b - -,h5h4
5k2/8/R7/4KP2/p3N3/8/8/r7 w - -,a6a8
5rk1/1p1r1qbp/p1pp1np1/P1n2p2/2P2N2/4P1P1/1PQ2PBP/R2RB1K1 b - -,f8d8
