8/pbR4k/3r2pp/1B3p2/8/7P/P4PP1/6K1 b - -,h7h8
r3nr1k/3b1p1p/p6R/2bNp3/p3P3/7P/BPP2PP1/R1B3K1 w - -,c1g5
5k2/5p2/1bp4r/p1N2b1p/BP1r4/4pP2/P1P3PP/2KR4 w - -,d1d4
4r1k1/4P2p/p5p1/2r2p2/4bP2/4P3/P1p1K1PP/2R1B3 b - -,c5b5
8/2r4k/7p/R4p1P/3N2n1/2p3PK/4P3/8 w - -,d4c2
r1bq1rk1/1p1n2pp/p1p1pn2/3p1p2/1PPP4/NQ3NP1/P3PPBP/R4RK1 b - -,d8e7
R7/p4p2/1r4p1/1NK1bk1p/P6P/1P2P1P1/5P2/8 w - -,a8a7
6R1/p3r3/2p2k2/5b2/2B2Pp1/1PP1p2p/P6P/5K2 b - -,e7e4
r7/ppb1rk2/2p1np2/2Pp2pp/PP1P4/1N5P/3B1PP1/R3R1K1 b - -,a8e8
8/8/Rp6/1P4p1/7p/1r2k2P/1b4K1/5B2 b - -,b2d4
r1b2r1k/ppbNq1pp/5n2/4Np2/3PpP2/PQ2P3/1B4PP/2R2RK1 b - -,c7e5
2r1k2r/1q1bbpp1/pp1ppn2/4n2p/1PP1P3/PNN1BP2/4BQPP/2R2RK1 b k -,e7d8
8/1p3k2/2p5/p1P1PBP1/8/K7/8/3b4 w - -,g5g6
4k3/8/2p1P3/8/pbPBK3/8/P7/8 w - -,d4e3
6rr/1p6/p1nkp3/3p2pp/R1PP4/1P2PB1P/6P1/4K2R w K -,g2g4
r2qkb1r/5ppp/p1p1p3/3nPb2/8/4B3/PP2BPPP/RN1Q1RK1 w kq -,d1a4
rnbq1rk1/p1p2ppp/1p1ppn2/8/2P5/P1Q2NP1/1P1PPP1P/R1B1KB1R w KQ -,f1g2
8/5p1p/1p4p1/4N1k1/2b5/2P1KP2/5P1P/8 b - -,c4e6
8/8/p5p1/5k2/2P5/P3K3/8/8 w - -,e3d4
8/8/8/2Q5/6p1/1K6/3q1p2/6k1 w - -,b3a3
r4rk1/pp1q2p1/4pn1p/2bPn3/P7/2N4N/1PP3PP/R1BQ1R1K b - -,f6d5
1rbq1rk1/1p1pppbp/p1n2np1/2p5/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -,a1b1
1rb2rk1/2qnbpp1/p3p2p/2n1P3/1p1NN3/P2B2B1/1PP1Q1PP/2KRR3 w - -,a3a4
r2qr1k1/1pp2ppp/3p1b2/1Pn5/PBPN4/1Q2P3/5PPP/R4RK1 w - -,b3c2
8/6R1/p4p1k/7p/8/5P2/2q3RK/8 b - -,c2f5
8/8/2bk4/1p3Pp1/1P6/P3K3/4N3/8 w - -,e2d4
8/1p4p1/p4n2/2r2k1p/3R1P2/1PN3P1/P2K3P/8 w - -,h2h3
8/5ppk/4b2p/1p6/1P3PP1/4q2P/1Q6/rNKR4 w - -,b2d2
r2q1r1k/pb1nbppp/1pp1pn2/8/2NPP3/1PN3P1/PB3PBP/R2Q1RK1 b - -,b6b5
