8/6p1/1k6/p7/Pp6/1PnB4/1KPr4/4R3 b - -,d2d1
r1bqr1k1/1p1nbppp/p1npp3/6P1/3NPP1P/2N1B3/PPP5/R2QKB1R w KQ -,d1f3
5q1k/2p4n/3p1r2/3P4/1PQ5/6N1/7P/4R1K1 b - -,f6f4
8/5rk1/5p1p/5Qq1/4P2p/3B4/2P1KRP1/8 b - -,f7e7
8/1q4kp/2p2pp1/1p2p3/2p1P3/3r1N1P/Q4PPK/R7 w - -,a2a5
rn3bnr/pp2pkpb/2pq3p/3p4/3P1PPP/8/PPP5/RNBQKBNR b KQ -,g8f6
3r2k1/p2qnp1p/bp1p2p1/3P4/3b1B2/Q1N3P1/P4PBP/4R1K1 w - -,c3e4
8/7p/4k3/5p2/1N2p2P/K5P1/2R2P1r/8 b - -,f5f4
r7/4Bp2/6b1/1R1P2kp/r4R2/2P3P1/P2K4/8 b - -,g5h6
1k5r/1r4N1/5p1P/2qpp1n1/1p3nB1/1Q6/PPP4R/K3R3 b - -,g5f7
4r3/p2r2pn/1pR1p1k1/1N1pP1p1/1P1B2P1/5N2/5P2/5K2 b - -,h7f8
r7/2p1r2k/3n3p/5p1P/P2Pp3/Kp1q4/1P3QB1/2R3R1 w - -,c1c5
1r1qk1nr/1p1b1pb1/p3p1p1/2p1p2p/2Pn1P2/2NPB1PP/PP2N1B1/R2Q1RK1 w k -,f4e5
r4r1k/1b1qbp1p/pp1p4/4pp2/2P1P1Q1/2N1N3/PP3B1P/3R1BK1 w - -,g4f5
8/8/4q1k1/3b2pp/1Q6/6P1/5P2/6K1 b - -,g6g7
1r6/3k1p1p/3p1p2/3p1N2/P2N4/1P2P1P1/4KP1P/n7 w - -,d4b5
4r1k1/p5pp/1pp1q3/3p4/2N5/7P/PPQ2PP1/R5K1 b - -,d5c4
2krr3/ppq2pp1/3bpn1p/2p4P/2PP4/2B2N2/PP2QPP1/1K1R3R w - -,d4c5
r1b1k2r/1p1n1ppp/p1nP4/4p1B1/1q1p4/1P3N2/P1P2PPP/R2QKB1R w KQkq -,g5d2
r1bqkbnr/pp2pp1p/2np2p1/2p5/5P2/5NP1/PPPPP1BP/RNBQK2R w KQkq -,e1g1
8/5pkp/p3p3/6P1/r7/5K2/P6R/8 b - -,g7g6
1R6/5k2/2r5/4KP2/8/8/8/8 w - -,b8h8
r5k1/pbpq1ppp/1p6/3Pr3/3QP3/6P1/P4PBP/R4RK1 b - -,e5e8
2r2rk1/pp2qpbn/3p1n1p/3Pp1pP/4P1P1/2N1B3/PP1N1P2/R2QK2R b KQ -,f6d7
1r1q1k1r/bppb1pp1/p2p2n1/3PpN1p/2P1P1nP/5QP1/PP3PBN/R1B2RK1 b - -,g4h2
r2qk2r/4bppp/p1nppn2/1p6/2pPP1b1/1NP2N2/PP3PPP/R1BQRBK1 w kq -,b3d2
3r4/1p2npkp/p2p1q2/2pRP1p1/P7/2P2PPP/1P3Q2/5B1K b - -,f6e6
3rq2k/p1Q3pp/2pp4/2p1p3/2b5/1P1P2P1/P1P3PP/5RK1 w - -,b3c4
4q3/5kb1/p2p1pp1/2pP1b2/P1P2P2/2B2NpP/6P1/Q5K1 w - -,a1e1
r3qr1k/1pp3bp/3p4/3Pnp2/1pP2B2/8/P2QB1PP/4RRK1 w - -,d2b4
8/6p1/KP2np1p/3k4/1B1r2P1/5P2/6P1/2R5 w - -,a6b5
r3k2r/pp2bp2/4p3/3qPp1N/4p3/2P5/PP2QPPP/R3K2R w KQkq -,a1d1
1r1r2k1/1pn2pbp/p1pnpqp1/P7/1P1P1PP1/1Q1NB3/5P1P/1B1RR1K1 b - -,f6h4
rnbqk1nr/2p1ppbp/p2p2p1/1p6/3PP3/2N1B3/PPPQ1PPP/R3KBNR w KQkq b6,a2a3:f2f3:a2a4:g1f3:f1d3:h2h4:e1c1
3rr1k1/pp3pp1/1q5p/3p1Pn1/3R3Q/2P1N1RP/PP4PK/8 b - -,e8e4
rn1qk2r/pp4pp/1npbbp2/3p4/3P1P1N/2N3P1/PP2P1BP/R1BQ1RK1 w kq -,e2e4
r1bqk2r/ppp2pb1/3p2pp/7n/4PB2/2N2P2/PPPQ2PP/R3KB1R b KQkq -,h5f4
2R5/6pk/PR5p/5p2/1p1b4/rP1K3P/6P1/8 b - -,d4b6
7k/R6P/1r6/5P2/1K6/p7/P7/8 w - -,b4c4
1k5r/p7/1b2p3/3p4/3P3p/5p1N/PR1K1P2/8 b - -,b8c8
2r2rk1/1b2bppp/p1n1pn2/3P4/Pq6/4BN2/1P2BPPP/R2Q1RK1 w - -,d5c6
8/2K5/2p1R1R1/1pr4k/1P2P3/8/2r5/8 b - b3,c5c4
2r2rk1/1pq1bpp1/p2pbn1p/4pN2/P3P3/2NQB2P/1PP2PP1/R2R2K1 b - -,e6f5
3br3/p2bqkrp/1p1p1np1/2pP1B2/2P2N2/PP2PPR1/2QB3P/6RK b - -,d7f5
8/p5pp/2p1k3/2p2rP1/2R1Kp1P/1P6/P4P2/8 w - -,c4a4
rnb1kb1r/pp3ppp/2p2n2/4q3/3Np3/2NPP1P1/PP3P1P/R1BQKB1R b KQkq -,f8b4
r2qk2r/5pbp/p1b1p3/1p1p2P1/2n5/P2BB3/1PPQN1PP/R4RK1 w kq -,d3c4
2r3r1/3q1p1R/kp2pB2/p3P3/2nP1N2/2P1nP2/Q1P2K2/7R w - -,h7h4
8/PR6/4K3/7k/8/8/r7/8 w - -,e6d6
rn2kb1r/1bq2ppp/p3p3/2npP3/1p1N1PP1/3BBQN1/PPP4P/R4RK1 b kq -,b8d7
1r1q1rk1/4ppbp/2np1np1/1p6/2b1P3/2N1BP2/PPNQB1PP/R2R2K1 w - -,e2c4
rnbqk2r/pp2ppbp/2p3p1/3p4/2PP1B2/2P1PN2/P4PPP/R2QKB1R b KQkq -,e8g8
8/3q2kp/3P1pp1/p3r3/2Q5/5PP1/3R2KP/8 w - a6,g3g4
4r1k1/p4p2/1p2r3/4Pqpp/2PQ1P2/4R1P1/P6P/5RK1 w - -,d4e4
rnbq1rk1/ppppp1bp/5np1/5p2/1P1P4/5NP1/P1P1PPBP/RNBQ1RK1 b - b3,c7c6:d7d6:d7d5
r6q/1prk1pRB/p2ppP1p/7Q/5P2/2N5/PPP4P/2K5 w - -,h5f7
8/5kp1/p2b1n1p/B2p1p2/b1pP1P2/P3P2P/1P2B1K1/4N3 w - -,e1f3
3r1rk1/ppq2p2/2np1bpp/3Bp3/4P3/2P2N2/PP1RQPPP/R5K1 b - -,g8g7
8/8/4k1pp/N4p2/3P1P2/4N1n1/K7/8 w - -,d4d5
1r1r2k1/2p2pp1/2n1bn1p/p1b1p3/1p2PP1N/2P3PP/PP1NR2K/R1B2B2 b - f3,e5f4
2r3k1/4bp2/p2pp3/1p4p1/r2P2Pp/4B2R/1P2RPKP/8 b - -,a4c4
8/p1Q2k1p/5q2/2pp4/7P/2p3P1/P6K/8 b - -,f7e6
rnbqkb1r/ppp1pppp/8/3p2B1/3Pn2P/8/PPP1PPP1/RN1QKBNR w KQkq d6,e2e3:b1d2
8/5p2/PR6/6kp/6p1/r7/5PK1/8 b - -,f7f5
