8/8/8/5pk1/3R4/1P6/P1p2p1r/2Rb1K2 b - -,d1g4
5rk1/1Bp1bpp1/8/4r2p/1p4q1/1Q2B1P1/1P1N1P1P/5RK1 w - h6,b7f3
6k1/pp1q3p/2b2pp1/4n3/2P1p2N/1P1BP1P1/P1Q4P/3R2K1 b - -,e4d3
1r4k1/p3p1bp/2p2pp1/r3P3/3P1P2/4B3/P1R1K1PP/2R5 w - -,e2f3
8/1p1k1p1p/p3pp2/3p4/P4PPP/1P6/2RNK3/6r1 w - -,g4g5
1r1b3k/3R2r1/4pq1p/p3N3/1p2Q3/1P4P1/1PR2P1P/5K2 w - -,c2d2
8/pp6/3p2p1/4k3/4p1P1/4K3/PPP1N2r/6R1 w - -,c2c4
r5k1/6pp/2P5/8/1p3n2/1P3NpP/5qB1/3Q3K w - -,f3h4
8/4k3/6p1/4p3/1P2N3/2R3PP/r5n1/5K2 b - -,a2c2
8/4k3/2B3p1/3PP2p/8/4B1PP/2r5/6K1 b - -,c2c3
1k1r3r/p2q4/1pbppppp/n1p5/P1P1P3/2PPB1P1/R1Q2PBP/4R1K1 b - -,b8c7
8/8/p3k1p1/2pb4/4pP2/P2NP1P1/1b1K4/8 w - -,d3b2
3q2k1/5pp1/2Q1p2p/2B5/8/6P1/5P1K/8 w - -,c6e4
r1bqk1nr/3nppbp/p1pp2p1/1p6/3PP1P1/2N1BP2/PPPQ3P/R3KBNR w KQkq -,h2h4
r3r1k1/p2qbpp1/2p2n1p/3p4/N2B4/6Pb/PP2PPBP/2RQ1RK1 w - -,g2h3
2r1nrk1/B3R1bp/3p1pp1/1p1N1b2/8/5B2/PP3PPP/4R1K1 b - -,c8d8
r1b1r1kb/p4p1p/1p3Pp1/3q4/2PP4/R2N4/6PP/2BQ1RK1 b - -,d5d6
r4rk1/p1p1q1pn/1p1p3p/n2Ppb2/2P3B1/P1P1B3/3N1PPP/R2Q1RK1 b - -,e7d7
2r3k1/6p1/p7/4N2q/1PP5/P2Q4/5pKP/3R4 w - -,d3d5
4r1k1/pp3pp1/1bp4p/3prN2/5qP1/5N2/PPP3Q1/1K1R3R w - -,f3e5
8/1ppkb1p1/p1n1bp1p/4p3/4P3/P1PBB1P1/1P1N1P1P/6K1 b - -,c6d8
1r2r1k1/5pp1/p1p2b1p/q1Bp4/N3PPb1/1Pn5/P1RQ2BP/5RK1 w - -,c2c3
4rrk1/2q2p1p/p5p1/1pb5/2p1P3/2P3Q1/PPB2PPP/R3R1K1 b - -,c7b6
8/7p/6p1/5p2/1K6/4PNk1/6P1/8 w - -,f3g5
rnb2rk1/p3qpbp/1ppp4/4p1p1/P2PPn2/1BP2N2/1P1N1PPP/R1B1RQK1 w - -,d4e5
2b4r/3n1p2/4k1p1/Nn1Rp1Pp/1P2P2P/1P3P2/1KP5/3R4 b - -,b5d4
3Q4/4nk2/1pr4p/3p2pP/P2Pp1P1/4P3/6K1/8 w - -,g2f2
4r3/3R4/2p5/2PP1pR1/P3pK2/3k4/8/8 w - -,g5g3
8/8/8/1n6/8/1k6/1p1K4/1B6 b - -,b5a3
8/1pk5/2p1bp2/P5pp/4R3/r5PP/5K2/5B2 b - -,c7d6
8/4k3/p3pbBp/2r4P/2P1KP2/8/P7/2R5 w - -,c1c2
1r2r1k1/5p1p/1q1p1npB/1ppPb3/4P3/5P2/1P1QN1B1/R3R1K1 b - -,f6h5
1rr5/1p2kppp/p2bp3/3p4/3RP3/1P1B1P2/1P1B2PP/R5K1 b - -,d6c5
5nk1/2p2rp1/1r2p2p/3pP2P/2bP1N2/qp1BQ1P1/1R3P2/2R3K1 w - -,c1b1
r1b3k1/pp3rpp/2p1p2q/2BnP3/5P2/6P1/PP2Q1BP/R4RK1 b - -,c8d7
3r4/5bk1/5Rp1/p4qP1/3p3p/P4BP1/3Q1PK1/8 b - -,h4h3
8/6K1/4N3/4n2P/p7/8/1k6/8 b - -,e5g4
r1bq1rk1/1pp2ppp/2n2n2/p1b5/2Pp4/3P1NP1/PPN2PBP/R1BQ1RK1 w - -,f1e1
r4rk1/p2nbppp/4pn2/1q6/Np2P3/3PB1P1/1P1RQPBP/R5K1 b - -,f8c8
5rk1/2q2pp1/2bn1n1p/1p2p3/4P3/3RQ1PP/2PN2BK/R7 b - -,d6c8
r1b2rk1/2q1ppbp/pp3np1/P1p1p3/2N1P3/2P5/1P1P1PPP/R1BQRBK1 b - -,b6b5
4r1k1/p2r4/1p1pp1p1/1Rn2p1p/2PB1P1P/P2PP1P1/6K1/5R2 w - -,f1d1
r1q1r1k1/p1p2ppp/np3n2/3p4/Qb1P4/2N1PN2/PP1B1PPP/R1R3K1 b - -,b4f8
8/1p2kpp1/p3n3/r3N2P/8/1P2RKP1/8/8 b - -,a5b5
8/1p3k2/4q1p1/PP3bP1/5P2/7p/3Q3K/5B2 b - -,e6e4
