8/5R2/P7/1P3kPp/3K4/r4p2/8/8 b - -,f5g6
5k2/1R6/4p3/1p1p4/3P1B2/5PK1/1r6/8 b - -,b2b1
r1bqk1nr/pppn1pbp/3p2p1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,g8f6:g8e7:e5d4
r1b2k1r/ppp3pp/2n5/3p3Q/8/3P4/PqPB1PPP/2R1K1NR b K -,c8e6
r1bqk2r/pp1pppbp/2n2np1/1N6/2P1P3/2N5/PP3PPP/R1BQKB1R b KQkq -,a7a6
6k1/4B2n/6r1/p1pPQN2/q1P1p1P1/P6P/4NK2/1r6 w - -,e7c5
4r1k1/3r1p1p/3Bn1p1/p3P3/3p4/6P1/P4RKP/3R4 w - -,f2b2
1r1qr1k1/pb2bp1p/1n1p2p1/1Bpn4/P4B2/1PN3N1/2Q2PPP/R2R2K1 w - -,c3d5
r2q1rk1/bp3ppp/p1n3n1/3p4/8/1N1Q1NB1/PPP2PPP/R4RK1 b - -,f7f5
8/5p2/1p1p1k2/p5PP/2B1K3/2P3b1/PP6/8 b - -,f6g5
r3r1k1/p1p2pp1/bp1p1q1p/n2Pp3/2P1P2P/P1PB2N1/5PP1/R2QK2R w KQ -,d1e2
2kr3r/2pb2b1/pp4np/2p1Pp2/5B2/1NN3P1/PPP4P/2KRR3 w - -,c3d5
5r1k/1p2b1pp/p3q3/5p2/3r1P2/P7/BP4PP/2R2R1K w - -,a2e6
rn1q2k1/1p3pbp/3pbnp1/pPr1p3/8/P3PN2/1B1NBPPP/2RQ1RK1 w - -,c1c5
r3k1r1/3bbp1p/pn1p1p2/2pPp3/p3PP1N/N1P3P1/PP3R1P/1K2RB2 b - -,a8a7
1Q6/5ppk/7p/3qP3/8/1P4P1/2n2PNP/r3R2K w - -,e1a1
2k2b1r/p4p2/4pP2/4q1B1/1pp1N3/3n2P1/1P2QP1P/3R2K1 w - -,e2e3
r2qk2r/pppn1ppp/1bp5/4p1N1/4P3/1b1P4/PPP2PPP/R1BQ1RK1 w kq -,a2b3
8/6k1/5BP1/5K2/1p6/8/P2b4/8 b - -,g7g8
1k1rr3/ppq1n1pp/6n1/2p5/3pPp1P/1B1P2P1/PPP1Q3/4RRKN w - -,h4h5
6k1/3R2pp/8/8/1KP5/3p3P/r5P1/8 w - -,g2g4
r1b2rk1/3nppbp/P2p1np1/q1pP2B1/4P2P/2N5/PP1QBPP1/R3K1NR b KQ -,c8a6
2rr2k1/p5bp/1p2q1p1/2n2p2/3p1B2/1P3PP1/PN1QP1KP/2R1R3 b - -,e6d5
4k3/3n4/ppbqp3/5p2/1PP2Pp1/2Q5/1B2B1PP/6K1 w - -,b2c1
r4qk1/1p2rp2/2pRn1p1/2P1N3/1PB1b1PQ/p7/P4P2/3R2K1 b - -,g6g5
8/p5pp/1p6/3k4/1P1p1PP1/P2Kp3/1B6/8 b - -,e3e2
r3k2r/ppqnnppp/2pb4/3p3b/3P4/3BBN1P/PPPN1PP1/R2QR1K1 b kq -,e8c8
r4rk1/bpp2pp1/p3b2p/3NQ1q1/2B1P3/2P3P1/PP3P1P/2KR3R w - -,e5g5
1rbqk2r/ppp2ppp/2n1pn2/8/QbpP4/2N2NP1/PP2PPBP/R1B1K2R w KQk -,e1g1
