8/6kp/5pp1/1r6/2B4P/6P1/4KP2/8 b - -,b5b4
2r3k1/4b1pp/p2p1p2/3Rp3/p3P1P1/3P1P2/1P5P/1KB5 w - -,d5a5
6rk/7p/2bN1pn1/p7/2R2P2/P5P1/2P4P/KR6 b - -,c6d5
r3k2r/2q1bpp1/2bp4/p3pPP1/1p2n3/4B3/PPPQB3/1KNR2R1 w kq -,d2e1
r6k/6p1/4n2p/p2R4/1pN5/8/PP4PP/1K6 b - -,a5a4
4rq1k/5rb1/3p3p/p2N3P/1pP1p1N1/5nR1/PP3P2/R2Q1K2 b - -,g7b2
8/5pkp/1p4p1/p2P2P1/4PK2/1PqpQ2b/P3B3/8 b - -,c3c7
6r1/4B3/3P4/1p2R1p1/2pKP1k1/p1P4r/6n1/5R2 w - -,e5b5
2n5/2p2b1p/2k2p2/1pbr4/5P2/1P2BNP1/P4K1P/2R5 w - -,b3b4
8/p3k3/1p5p/3p1P2/PK1P1Ppb/4B3/7P/8 b - -,a7a6
rnb2rk1/pp1p1p1p/4pQ2/q7/2Pp4/4P3/P2N1PPP/2R1KB1R w K -,e3d4
1r2b2k/2n2rb1/1p1q3p/1PpNppp1/2P5/2BPP1P1/5RBP/Q4RK1 b - -,e8d7
3rr1k1/pppqnpb1/3p1npp/4p3/1P2P3/2PPNNPb/PB2QP1P/R3R1KB b - -,c7c6
r3k1nr/1pqbppbp/2pp2p1/p7/PnPPPP2/2N1BN1P/1P1Q2P1/R3KB1R w KQkq -,f1e2
r3k2r/ppq1bppp/2n1pn2/1B6/2PNpPP1/2Q1B3/PP5P/R3K2R w KQkq -,h2h3
r1r3k1/5ppp/1q2n3/1p1pP3/3P3P/bP1Q1NP1/3B1P2/3RR1K1 w - -,f3g5
8/pp4R1/8/5k2/1PPK3p/7r/P7/8 w - -,g7b7
2kr3r/1p3ppp/p1bppn2/2q5/4PP2/P1NB4/1PPQ2PP/4RR1K b - -,d6d5
