2b5/8/8/3nBp1p/2k2P1P/8/3K4/8 b - -,c8a6
8/7p/2n5/p1Pppk2/P5p1/3K2P1/7P/4B3 w - -,e1c3
8/8/4kp1p/1p5P/1P1K4/2P4R/r7/8 b - -,a2e2
2r1k2r/1b3p2/p2Rp2p/1p6/4p3/P1P3P1/2P1R1PK/5B2 b k -,c8c3
5k2/n4pNp/1p2p2p/p3P3/P7/2q5/2p2PPP/2Q2RK1 b - -,f8g7
8/R7/4p1p1/pr5p/1k5P/1P4P1/2K2P2/8 b - -,b5c5
5r1k/1B2q1pp/2P5/8/1R1P1p2/5QP1/4rPKP/8 w - -,g3f4
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R b KQkq -,c6e7
r1r1n1k1/1p2ppbp/p5p1/3Pp3/4P3/N3BP2/PP4PP/R4RK1 b - -,e8d6
r2qr1k1/1p2bppp/2p1bn2/p2p4/3P4/P1NBP1B1/1P2QPPP/3R1RK1 w - -,h2h3
r1bqk2r/pp1nppbp/3p1np1/2p5/3PP3/2P2N2/PP1NBPPP/R1BQK2R b KQkq -,d8c7
4r1k1/1p1bqp1p/2p3p1/1P1p4/3P4/r2BP2P/2Q2PP1/1RR3K1 w - -,b5c6
4r1k1/p4p1p/5Pp1/3P4/1p2B2Q/1P4PP/P1p5/5K2 b - -,c2c1q
8/4k3/2R5/1p5p/1P2PPr1/6P1/6K1/8 w - -,c6h6
8/6p1/4R3/1p3n1p/4bB2/P2k4/1P3P1P/6K1 w - -,f4g5
rn1qkb1r/1p3ppp/p1p1pn2/3p3b/2PP4/1Q1BPN1P/PP1N1PP1/R1B1K2R b KQkq -,d8c7
5k2/7p/2p2Pp1/p1q5/1P1p4/b2N2P1/P2K1P1P/8 w - -,b4c5
8/6p1/R6p/5kpP/8/4PP1K/8/6r1 w - -,a6a5
r4rk1/4qp1p/pb1pb3/1p2p3/1N2Pp2/2P2P2/PPB1Q1PP/R2R3K w - -,b4d5
r1b2rk1/pp3ppp/2p1p3/P2n2q1/2NP4/2P1P1PP/5QB1/R4RK1 w - -,h3h4
4b2R/1p3pk1/4pNp1/3pP3/8/pP5P/r5PK/8 w - -,h8e8
r3r1k1/ppp2p1p/6pb/1N1P4/3Pn3/1P5P/R1B3P1/5RK1 b - -,a8d8
1r1q1rk1/2n1b1pp/bn1p1p2/2pP4/pp2PP1N/1P3QPB/PB2N2P/4RRK1 w - -,f1f2
4kr2/Rp2p2p/1np1B1p1/1p2b3/3rPP2/6P1/7P/2R3K1 w - -,f4e5
